"Alue"	"Vuosi"	"Yhteensa"
"Askola"	"2021"	4834
"Askola"	"2022"	4795
"Askola"	"2023"	4763
"Askola"	"2024"	4734
"Askola"	"2025"	4709
"Askola"	"2026"	4686
"Askola"	"2027"	4665
"Askola"	"2028"	4642
"Askola"	"2029"	4619
"Askola"	"2030"	4598
"Askola"	"2031"	4577
"Espoo"	"2021"	297990
"Espoo"	"2022"	302449
"Espoo"	"2023"	306735
"Espoo"	"2024"	310835
"Espoo"	"2025"	314747
"Espoo"	"2026"	318468
"Espoo"	"2027"	322009
"Espoo"	"2028"	325376
"Espoo"	"2029"	328580
"Espoo"	"2030"	331612
"Espoo"	"2031"	334475
"Hanko"	"2021"	7883
"Hanko"	"2022"	7732
"Hanko"	"2023"	7596
"Hanko"	"2024"	7467
"Hanko"	"2025"	7348
"Hanko"	"2026"	7236
"Hanko"	"2027"	7126
"Hanko"	"2028"	7024
"Hanko"	"2029"	6924
"Hanko"	"2030"	6829
"Hanko"	"2031"	6744
"Helsinki"	"2021"	663243
"Helsinki"	"2022"	668263
"Helsinki"	"2023"	673155
"Helsinki"	"2024"	677923
"Helsinki"	"2025"	682559
"Helsinki"	"2026"	687053
"Helsinki"	"2027"	691402
"Helsinki"	"2028"	695599
"Helsinki"	"2029"	699653
"Helsinki"	"2030"	703540
"Helsinki"	"2031"	707244
"Hyvinkää"	"2021"	46664
"Hyvinkää"	"2022"	46737
"Hyvinkää"	"2023"	46813
"Hyvinkää"	"2024"	46900
"Hyvinkää"	"2025"	46983
"Hyvinkää"	"2026"	47068
"Hyvinkää"	"2027"	47151
"Hyvinkää"	"2028"	47236
"Hyvinkää"	"2029"	47324
"Hyvinkää"	"2030"	47409
"Hyvinkää"	"2031"	47495
"Inkoo"	"2021"	5282
"Inkoo"	"2022"	5244
"Inkoo"	"2023"	5213
"Inkoo"	"2024"	5184
"Inkoo"	"2025"	5161
"Inkoo"	"2026"	5137
"Inkoo"	"2027"	5116
"Inkoo"	"2028"	5096
"Inkoo"	"2029"	5076
"Inkoo"	"2030"	5059
"Inkoo"	"2031"	5046
"Järvenpää"	"2021"	45188
"Järvenpää"	"2022"	45873
"Järvenpää"	"2023"	46531
"Järvenpää"	"2024"	47160
"Järvenpää"	"2025"	47765
"Järvenpää"	"2026"	48340
"Järvenpää"	"2027"	48892
"Järvenpää"	"2028"	49414
"Järvenpää"	"2029"	49909
"Järvenpää"	"2030"	50377
"Järvenpää"	"2031"	50820
"Karkkila"	"2021"	8630
"Karkkila"	"2022"	8572
"Karkkila"	"2023"	8517
"Karkkila"	"2024"	8469
"Karkkila"	"2025"	8424
"Karkkila"	"2026"	8386
"Karkkila"	"2027"	8349
"Karkkila"	"2028"	8315
"Karkkila"	"2029"	8285
"Karkkila"	"2030"	8260
"Karkkila"	"2031"	8236
"Kauniainen"	"2021"	10311
"Kauniainen"	"2022"	10434
"Kauniainen"	"2023"	10555
"Kauniainen"	"2024"	10679
"Kauniainen"	"2025"	10803
"Kauniainen"	"2026"	10924
"Kauniainen"	"2027"	11038
"Kauniainen"	"2028"	11147
"Kauniainen"	"2029"	11256
"Kauniainen"	"2030"	11358
"Kauniainen"	"2031"	11453
"Kerava"	"2021"	37535
"Kerava"	"2022"	37908
"Kerava"	"2023"	38263
"Kerava"	"2024"	38599
"Kerava"	"2025"	38915
"Kerava"	"2026"	39218
"Kerava"	"2027"	39499
"Kerava"	"2028"	39767
"Kerava"	"2029"	40022
"Kerava"	"2030"	40261
"Kerava"	"2031"	40493
"Kirkkonummi"	"2021"	40483
"Kirkkonummi"	"2022"	40828
"Kirkkonummi"	"2023"	41152
"Kirkkonummi"	"2024"	41463
"Kirkkonummi"	"2025"	41761
"Kirkkonummi"	"2026"	42041
"Kirkkonummi"	"2027"	42305
"Kirkkonummi"	"2028"	42561
"Kirkkonummi"	"2029"	42810
"Kirkkonummi"	"2030"	43050
"Kirkkonummi"	"2031"	43279
"Lapinjärvi"	"2021"	2594
"Lapinjärvi"	"2022"	2568
"Lapinjärvi"	"2023"	2546
"Lapinjärvi"	"2024"	2527
"Lapinjärvi"	"2025"	2508
"Lapinjärvi"	"2026"	2491
"Lapinjärvi"	"2027"	2474
"Lapinjärvi"	"2028"	2458
"Lapinjärvi"	"2029"	2445
"Lapinjärvi"	"2030"	2433
"Lapinjärvi"	"2031"	2424
"Lohja"	"2021"	45632
"Lohja"	"2022"	45373
"Lohja"	"2023"	45131
"Lohja"	"2024"	44897
"Lohja"	"2025"	44669
"Lohja"	"2026"	44451
"Lohja"	"2027"	44243
"Lohja"	"2028"	44047
"Lohja"	"2029"	43865
"Lohja"	"2030"	43691
"Lohja"	"2031"	43522
"Loviisa"	"2021"	14625
"Loviisa"	"2022"	14514
"Loviisa"	"2023"	14415
"Loviisa"	"2024"	14325
"Loviisa"	"2025"	14238
"Loviisa"	"2026"	14153
"Loviisa"	"2027"	14078
"Loviisa"	"2028"	14008
"Loviisa"	"2029"	13940
"Loviisa"	"2030"	13874
"Loviisa"	"2031"	13813
"Myrskylä"	"2021"	1847
"Myrskylä"	"2022"	1826
"Myrskylä"	"2023"	1808
"Myrskylä"	"2024"	1790
"Myrskylä"	"2025"	1773
"Myrskylä"	"2026"	1756
"Myrskylä"	"2027"	1745
"Myrskylä"	"2028"	1734
"Myrskylä"	"2029"	1723
"Myrskylä"	"2030"	1713
"Myrskylä"	"2031"	1705
"Mäntsälä"	"2021"	20794
"Mäntsälä"	"2022"	20817
"Mäntsälä"	"2023"	20851
"Mäntsälä"	"2024"	20890
"Mäntsälä"	"2025"	20927
"Mäntsälä"	"2026"	20970
"Mäntsälä"	"2027"	21011
"Mäntsälä"	"2028"	21048
"Mäntsälä"	"2029"	21087
"Mäntsälä"	"2030"	21127
"Mäntsälä"	"2031"	21169
"Nurmijärvi"	"2021"	44061
"Nurmijärvi"	"2022"	44432
"Nurmijärvi"	"2023"	44794
"Nurmijärvi"	"2024"	45148
"Nurmijärvi"	"2025"	45488
"Nurmijärvi"	"2026"	45820
"Nurmijärvi"	"2027"	46142
"Nurmijärvi"	"2028"	46449
"Nurmijärvi"	"2029"	46748
"Nurmijärvi"	"2030"	47039
"Nurmijärvi"	"2031"	47322
"Pornainen"	"2021"	5064
"Pornainen"	"2022"	5062
"Pornainen"	"2023"	5061
"Pornainen"	"2024"	5062
"Pornainen"	"2025"	5067
"Pornainen"	"2026"	5075
"Pornainen"	"2027"	5087
"Pornainen"	"2028"	5097
"Pornainen"	"2029"	5110
"Pornainen"	"2030"	5126
"Pornainen"	"2031"	5143
"Porvoo"	"2021"	50851
"Porvoo"	"2022"	51027
"Porvoo"	"2023"	51191
"Porvoo"	"2024"	51346
"Porvoo"	"2025"	51486
"Porvoo"	"2026"	51620
"Porvoo"	"2027"	51740
"Porvoo"	"2028"	51849
"Porvoo"	"2029"	51947
"Porvoo"	"2030"	52037
"Porvoo"	"2031"	52117
"Pukkila"	"2021"	1804
"Pukkila"	"2022"	1780
"Pukkila"	"2023"	1759
"Pukkila"	"2024"	1744
"Pukkila"	"2025"	1728
"Pukkila"	"2026"	1717
"Pukkila"	"2027"	1706
"Pukkila"	"2028"	1697
"Pukkila"	"2029"	1690
"Pukkila"	"2030"	1684
"Pukkila"	"2031"	1678
"Raasepori"	"2021"	27352
"Raasepori"	"2022"	27180
"Raasepori"	"2023"	27017
"Raasepori"	"2024"	26860
"Raasepori"	"2025"	26709
"Raasepori"	"2026"	26564
"Raasepori"	"2027"	26427
"Raasepori"	"2028"	26297
"Raasepori"	"2029"	26173
"Raasepori"	"2030"	26057
"Raasepori"	"2031"	25949
"Sipoo"	"2021"	22094
"Sipoo"	"2022"	22483
"Sipoo"	"2023"	22865
"Sipoo"	"2024"	23240
"Sipoo"	"2025"	23604
"Sipoo"	"2026"	23960
"Sipoo"	"2027"	24302
"Sipoo"	"2028"	24631
"Sipoo"	"2029"	24947
"Sipoo"	"2030"	25253
"Sipoo"	"2031"	25552
"Siuntio"	"2021"	6164
"Siuntio"	"2022"	6172
"Siuntio"	"2023"	6182
"Siuntio"	"2024"	6191
"Siuntio"	"2025"	6200
"Siuntio"	"2026"	6207
"Siuntio"	"2027"	6212
"Siuntio"	"2028"	6217
"Siuntio"	"2029"	6220
"Siuntio"	"2030"	6228
"Siuntio"	"2031"	6239
"Tuusula"	"2021"	38930
"Tuusula"	"2022"	39045
"Tuusula"	"2023"	39149
"Tuusula"	"2024"	39253
"Tuusula"	"2025"	39359
"Tuusula"	"2026"	39465
"Tuusula"	"2027"	39570
"Tuusula"	"2028"	39666
"Tuusula"	"2029"	39759
"Tuusula"	"2030"	39854
"Tuusula"	"2031"	39956
"Vantaa"	"2021"	241350
"Vantaa"	"2022"	244962
"Vantaa"	"2023"	248431
"Vantaa"	"2024"	251752
"Vantaa"	"2025"	254929
"Vantaa"	"2026"	257964
"Vantaa"	"2027"	260859
"Vantaa"	"2028"	263624
"Vantaa"	"2029"	266264
"Vantaa"	"2030"	268791
"Vantaa"	"2031"	271206
"Vihti"	"2021"	29200
"Vihti"	"2022"	29234
"Vihti"	"2023"	29278
"Vihti"	"2024"	29330
"Vihti"	"2025"	29379
"Vihti"	"2026"	29422
"Vihti"	"2027"	29462
"Vihti"	"2028"	29495
"Vihti"	"2029"	29526
"Vihti"	"2030"	29556
"Vihti"	"2031"	29586
"Aura"	"2021"	3953
"Aura"	"2022"	3956
"Aura"	"2023"	3959
"Aura"	"2024"	3962
"Aura"	"2025"	3967
"Aura"	"2026"	3973
"Aura"	"2027"	3982
"Aura"	"2028"	3988
"Aura"	"2029"	3992
"Aura"	"2030"	3995
"Aura"	"2031"	3999
"Kaarina"	"2021"	35181
"Kaarina"	"2022"	35659
"Kaarina"	"2023"	36110
"Kaarina"	"2024"	36541
"Kaarina"	"2025"	36948
"Kaarina"	"2026"	37335
"Kaarina"	"2027"	37701
"Kaarina"	"2028"	38046
"Kaarina"	"2029"	38365
"Kaarina"	"2030"	38669
"Kaarina"	"2031"	38961
"Kemiönsaari"	"2021"	6540
"Kemiönsaari"	"2022"	6475
"Kemiönsaari"	"2023"	6418
"Kemiönsaari"	"2024"	6365
"Kemiönsaari"	"2025"	6320
"Kemiönsaari"	"2026"	6278
"Kemiönsaari"	"2027"	6238
"Kemiönsaari"	"2028"	6200
"Kemiönsaari"	"2029"	6164
"Kemiönsaari"	"2030"	6129
"Kemiönsaari"	"2031"	6094
"Koski Tl"	"2021"	2265
"Koski Tl"	"2022"	2239
"Koski Tl"	"2023"	2217
"Koski Tl"	"2024"	2198
"Koski Tl"	"2025"	2177
"Koski Tl"	"2026"	2157
"Koski Tl"	"2027"	2139
"Koski Tl"	"2028"	2118
"Koski Tl"	"2029"	2100
"Koski Tl"	"2030"	2083
"Koski Tl"	"2031"	2065
"Kustavi"	"2021"	980
