"139f -- Väestöennuste 2021: Väestö iän ja sukupuolen mukaan alueittain, 2021-2040"

"Alue"	"Vuosi"	"Yhteensä Yhteensä Väestö 31.12. (ennuste 2021)"	"Yhteensä 0 - 6 Väestö 31.12. (ennuste 2021)"	"Yhteensä 7 - 12 Väestö 31.12. (ennuste 2021)"	"Yhteensä 13 - 15 Väestö 31.12. (ennuste 2021)"	"Yhteensä 16 - 18 Väestö 31.12. (ennuste 2021)"	"Yhteensä 19 - 49 Väestö 31.12. (ennuste 2021)"	"Yhteensä 50 - 64 Väestö 31.12. (ennuste 2021)"	"Yhteensä 65 - 74 Väestö 31.12. (ennuste 2021)"	"Yhteensä 75 - Väestö 31.12. (ennuste 2021)"	"Miehet Yhteensä Väestö 31.12. (ennuste 2021)"	"Miehet 0 - 6 Väestö 31.12. (ennuste 2021)"	"Miehet 7 - 12 Väestö 31.12. (ennuste 2021)"	"Miehet 13 - 15 Väestö 31.12. (ennuste 2021)"	"Miehet 16 - 18 Väestö 31.12. (ennuste 2021)"	"Miehet 19 - 49 Väestö 31.12. (ennuste 2021)"	"Miehet 50 - 64 Väestö 31.12. (ennuste 2021)"	"Miehet 65 - 74 Väestö 31.12. (ennuste 2021)"	"Miehet 75 - Väestö 31.12. (ennuste 2021)"	"Naiset Yhteensä Väestö 31.12. (ennuste 2021)"	"Naiset 0 - 6 Väestö 31.12. (ennuste 2021)"	"Naiset 7 - 12 Väestö 31.12. (ennuste 2021)"	"Naiset 13 - 15 Väestö 31.12. (ennuste 2021)"	"Naiset 16 - 18 Väestö 31.12. (ennuste 2021)"	"Naiset 19 - 49 Väestö 31.12. (ennuste 2021)"	"Naiset 50 - 64 Väestö 31.12. (ennuste 2021)"	"Naiset 65 - 74 Väestö 31.12. (ennuste 2021)"	"Naiset 75 - Väestö 31.12. (ennuste 2021)"
"KOKO MAA"	"2021"	5547045	355759	372225	186746	181593	2112440	1058005	703342	576935	2741831	181924	190312	95486	92795	1088090	526703	333833	232688	2805214	173835	181913	91260	88798	1024350	531302	369509	344247
"KOKO MAA"	"2022"	5555002	349605	367353	188447	184588	2118914	1043987	695173	606935	2746967	178682	187959	96346	94478	1091647	520369	330214	247272	2808035	170923	179394	92101	90110	1027267	523618	364959	359663
"KOKO MAA"	"2023"	5562569	345595	359543	190792	186178	2128666	1031217	684221	636357	2751874	176820	183679	97591	95243	1097086	514722	325308	261425	2810695	168775	175864	93201	90935	1031580	516495	358913	374932
"KOKO MAA"	"2024"	5569645	343909	350248	191276	188543	2132703	1022349	677181	663436	2756466	176022	178944	97764	96577	1099645	510818	322295	274401	2813179	167887	171304	93512	91966	1033058	511531	354886	389035
"KOKO MAA"	"2025"	5576186	344811	338384	190601	190250	2135100	1016562	672865	687613	2760752	176202	173244	97382	97439	1101125	508962	320412	285986	2815434	168609	165140	93219	92811	1033975	507600	352453	401627
"KOKO MAA"	"2026"	5582076	347325	326014	187966	192564	2136059	1012053	671435	708660	2764660	177605	166636	96104	98663	1102081	507478	320046	296047	2817416	169720	159378	91862	93901	1033978	504575	351389	412613
"KOKO MAA"	"2027"	5587372	348807	315144	185630	193061	2138053	1007199	668517	730961	2768235	178335	161141	94958	98851	1103666	505478	319296	306510	2819137	170472	154003	90672	94210	1034387	501721	349221	424451
"KOKO MAA"	"2028"	5591887	347189	309251	181475	192372	2141469	1001261	668755	750115	2771410	177507	158030	93018	98454	1105747	503248	320092	315314	2820477	169682	151221	88457	93918	1035722	498013	348663	434801
"KOKO MAA"	"2029"	5595724	345519	305453	176400	189747	2145435	996321	667526	769323	2774209	176650	156281	90065	97182	1108466	501272	320521	323772	2821515	168869	149172	86335	92565	1036969	495049	347005	445551
"KOKO MAA"	"2030"	5598821	343844	304027	169487	187433	2147617	993574	665457	787382	2776649	175804	155602	86507	96054	1109870	500622	320142	332048	2822172	168040	148425	82980	91379	1037747	492952	345315	455334
"KOKO MAA"	"2031"	5601111	342276	305143	161917	183308	2148748	991925	662782	805012	2778706	175000	155902	82814	94127	1110903	500372	319437	340151	2822405	167276	149241	79103	89181	1037845	491553	343345	464861
"MA1 MANNER-SUOMI"	"2021"	5516596	353595	370105	185673	180614	2101521	1051878	699531	573679	2726704	180818	189235	94935	92288	1082463	523735	332011	231219	2789892	172777	180870	90738	88326	1019058	528143	367520	342460
"MA1 MANNER-SUOMI"	"2022"	5524338	347446	365207	187387	183569	2107965	1037850	691411	603503	2731752	177584	186882	95793	93949	1086006	517382	328439	245717	2792586	169862	178325	91594	89620	1021959	520468	362972	357786
