City,2010_18_vuotta_tayttaneet_yhteensa_ko,2011_18_vuotta_tayttaneet_yhteensa_ko,2012_18_vuotta_tayttaneet_yhteensa_ko,2013_18_vuotta_tayttaneet_yhteensa_ko,2014_18_vuotta_tayttaneet_yhteensa_ko,2015_18_vuotta_tayttaneet_yhteensa_ko,2016_18_vuotta_tayttaneet_yhteensa_ko,2017_18_vuotta_tayttaneet_yhteensa_ko,2018_18_vuotta_tayttaneet_yhteensa_ko,2019_18_vuotta_tayttaneet_yhteensa_ko,2020_18_vuotta_tayttaneet_yhteensa_ko,2021_18_vuotta_tayttaneet_yhteensa_ko
Askola,3650.0,3696.0,3745.0,3742.0,3815.0,3832.0,3785.0,3755.0,3748.0,3774.0,3762.0,3777.0
Espoo,189988.0,193881.0,197581.0,200910.0,204547.0,207945.0,211708.0,215375.0,219129.0,224726.0,227394.0,231444.0
Hanko,7755.0,7712.0,7620.0,7544.0,7492.0,7378.0,7232.0,7139.0,7058.0,6942.0,6836.0,6801.0
Helsinki,491617.0,497839.0,505439.0,512641.0,519072.0,524678.0,529941.0,535923.0,539516.0,544085.0,546100.0,546926.0
Hyvinkää,35873.0,36078.0,36303.0,36899.0,37137.0,37308.0,37490.0,37691.0,37598.0,37708.0,37967.0,38241.0
Inkoo,4305.0,4335.0,4322.0,4358.0,4343.0,4343.0,4365.0,4343.0,4326.0,4320.0,4303.0,4352.0
Järvenpää,30184.0,30535.0,31181.0,31474.0,31870.0,32311.0,32810.0,33772.0,34493.0,34798.0,35460.0,36141.0
Karkkila,7299.0,7316.0,7255.0,7241.0,7176.0,7143.0,7104.0,7132.0,7058.0,7043.0,7064.0,7122.0
Kauniainen,6597.0,6702.0,6830.0,7035.0,7248.0,7339.0,7268.0,7460.0,7433.0,7573.0,7880.0,8064.0
Kerava,27015.0,27310.0,27448.0,27859.0,28239.0,28251.0,28399.0,28411.0,29062.0,29560.0,29818.0,29908.0
Kirkkonummi,26896.0,27135.0,27522.0,27848.0,28238.0,28728.0,29184.0,29441.0,29686.0,30129.0,30721.0,31207.0
