City,2010_alimpaan_tuloluokkaan_kuuluvat_asukkaat_hr,2011_alimpaan_tuloluokkaan_kuuluvat_asukkaat_hr,2012_alimpaan_tuloluokkaan_kuuluvat_asukkaat_hr,2013_alimpaan_tuloluokkaan_kuuluvat_asukkaat_hr,2014_alimpaan_tuloluokkaan_kuuluvat_asukkaat_hr,2015_alimpaan_tuloluokkaan_kuuluvat_asukkaat_hr,2016_alimpaan_tuloluokkaan_kuuluvat_asukkaat_hr,2017_alimpaan_tuloluokkaan_kuuluvat_asukkaat_hr,2018_alimpaan_tuloluokkaan_kuuluvat_asukkaat_hr,2019_alimpaan_tuloluokkaan_kuuluvat_asukkaat_hr,2020_alimpaan_tuloluokkaan_kuuluvat_asukkaat_hr,2021_alimpaan_tuloluokkaan_kuuluvat_asukkaat_hr
Askola,659.0,697.0,688.0,682.0,693.0,708.0,720.0,717.0,716.0,713.0,702.0,699.0
Espoo,32044.0,32607.0,33657.0,35494.0,36778.0,37392.0,38441.0,38777.0,39026.0,40062.0,40997.0,41296.0
Hanko,1182.0,1203.0,1257.0,1251.0,1260.0,1246.0,1193.0,1179.0,1167.0,1159.0,1135.0,1130.0
Helsinki,94043.0,95316.0,98647.0,100241.0,102100.0,102694.0,102833.0,101962.0,100451.0,100649.0,102707.0,101496.0
Hyvinkää,5871.0,5919.0,5877.0,6186.0,6228.0,6161.0,6236.0,6182.0,6233.0,6195.0,6234.0,6390.0
Inkoo,777.0,774.0,777.0,791.0,765.0,757.0,759.0,758.0,749.0,739.0,734.0,790.0
Järvenpää,4582.0,4553.0,4604.0,4687.0,4808.0,4773.0,4802.0,4997.0,5079.0,5038.0,5025.0,5299.0
Karkkila,1275.0,1279.0,1268.0,1265.0,1254.0,1242.0,1254.0,1326.0,1369.0,1379.0,1345.0,1399.0
Kauniainen,1210.0,1208.0,1254.0,1315.0,1363.0,1403.0,1351.0,1325.0,1275.0,1237.0,1231.0,1244.0
Kerava,3969.0,4050.0,4062.0,4174.0,4341.0,4294.0,4233.0,4301.0,4375.0,4472.0,4554.0,4651.0
Kirkkonummi,3885.0,3918.0,4030.0,4152.0,4328.0,4470.0,4651.0,4671.0,4659.0,4741.0,4925.0,4931.0
Lapinjärvi,541.0,522.0,554.0,531.0,519.0,541.0,528.0,516.0,493.0,483.0,504.0,490.0
Lohja,6105.0,6149.0,6184.0,6402.0,6423.0,6464.0,6397.0,6311.0,6441.0,6385.0,6253.0,6526.0
Loviisa,2425.0,2430.0,2386.0,2364.0,2405.0,2401.0,2409.0,2466.0,2413.0,2440.0,2441.0,2435.0
Myrskylä,431.0,408.0,389.0,381.0,397.0,383.0,375.0,372.0,371.0,356.0,383.0,354.0
Mäntsälä,2500.0,2454.0,2512.0,2503.0,2536.0,2575.0,2599.0,2596.0,2604.0,2710.0,2585.0,2613.0
Nurmijärvi,4030.0,4021.0,4065.0,4177.0,4315.0,4314.0,4345.0,4446.0,4572.0,4650.0,4845.0,4865.0
Pornainen,566.0,577.0,605.0,601.0,619.0,623.0,638.0,616.0,631.0,607.0,630.0,625.0
Porvoo,6346.0,6519.0,6449.0,6481.0,6517.0,6518.0,6533.0,6610.0,6616.0,6684.0,6753.0,6803.0
Pukkila,329.0,336.0,344.0,330.0,320.0,326.0,342.0,315.0,331.0,323.0,317.0,323.0
Raasepori,4342.0,4338.0,4433.0,4505.0,4546.0,4399.0,4348.0,4324.0,4356.0,4350.0,4335.0,4275.0
Sipoo,2072.0,2070.0,2107.0,2179.0,2250.0,2339.0,2382.0,2446.0,2491.0,2603.0,2643.0,2691.0
Siuntio,745.0,760.0,749.0,736.0,750.0,743.0,773.0,785.0,801.0,843.0,846.0,832.0
Tuusula,3769.0,3866.0,3993.0,4075.0,4064.0,4177.0,4166.0,4124.0,4213.0,4176.0,4350.0,4426.0
Vantaa,23421.0,23748.0,24120.0,25220.0,25891.0,26776.0,27852.0,28556.0,29655.0,30705.0,32163.0,33119.0
Vihti,3270.0,3346.0,3317.0,3453.0,3468.0,3369.0,3511.0,3483.0,3543.0,3517.0,3583.0,3559.0
Aura,482.0,493.0,493.0,491.0,487.0,467.0,487.0,507.0,507.0,494.0,482.0,479.0
Kaarina,3361.0,3351.0,3424.0,3524.0,3594.0,3707.0,3718.0,3777.0,3824.0,3861.0,3805.0,3922.0
Kemiönsaari,1231.0,1223.0,1210.0,1219.0,1237.0,1194.0,1164.0,1227.0,1256.0,1242.0,1233.0,1218.0
Koski Tl,529.0,547.0,535.0,542.0,531.0,474.0,503.0,493.0,493.0,494.0,488.0,495.0
Kustavi,163.0,168.0,162.0,170.0,170.0,180.0,179.0,188.0,171.0,167.0,150.0,156.0
Laitila,1432.0,1397.0,1420.0,1348.0,1350.0,1354.0,1375.0,1423.0,1373.0,1406.0,1418.0,1426.0
Lieto,2122.0,2211.0,2214.0,2225.0,2237.0,2291.0,2304.0,2334.0,2316.0,2397.0,2441.0,2377.0
Loimaa,3102.0,3073.0,2987.0,3054.0,3041.0,2963.0,2942.0,2948.0,3018.0,3031.0,3035.0,2970.0
Marttila,372.0,365.0,372.0,366.0,372.0,372.0,370.0,373.0,366.0,365.0,378.0,352.0
Masku,970.0,975.0,1006.0,1029.0,1041.0,1067.0,1014.0,1019.0,1042.0,1036.0,1023.0,998.0
Mynämäki,1251.0,1252.0,1236.0,1233.0,1210.0,1192.0,1128.0,1201.0,1184.0,1142.0,1147.0,1148.0
Naantali,2223.0,2213.0,2313.0,2387.0,2370.0,2344.0,2338.0,2340.0,2406.0,2449.0,2346.0,2355.0
Nousiainen,637.0,603.0,595.0,589.0,596.0,594.0,575.0,590.0,581.0,568.0,573.0,582.0
Oripää,243.0,243.0,241.0,247.0,238.0,241.0,224.0,240.0,255.0,234.0,254.0,248.0
Paimio,1288.0,1243.0,1265.0,1247.0,1232.0,1230.0,1272.0,1295.0,1286.0,1266.0,1298.0,1310.0
Parainen,2201.0,2164.0,2168.0,2195.0,2187.0,2158.0,2128.0,2140.0,2165.0,2105.0,2084.0,2140.0
Pyhäranta,328.0,344.0,333.0,321.0,310.0,316.0,308.0,315.0,303.0,303.0,298.0,301.0
Pöytyä,1377.0,1391.0,1402.0,1395.0,1421.0,1378.0,1358.0,1331.0,1361.0,1359.0,1352.0,1405.0
Raisio,2911.0,3011.0,3023.0,3059.0,3058.0,3146.0,3172.0,3143.0,3166.0,3105.0,3125.0,3238.0
Rusko,642.0,649.0,680.0,703.0,699.0,707.0,705.0,718.0,685.0,722.0,690.0,681.0
Salo,8459.0,8672.0,8743.0,9331.0,9057.0,9013.0,9091.0,8960.0,8831.0,8752.0,8673.0,8721.0
Sauvo,486.0,498.0,506.0,541.0,508.0,483.0,472.0,462.0,486.0,490.0,465.0,489.0
Somero,1716.0,1751.0,1724.0,1695.0,1719.0,1694.0,1659.0,1620.0,1667.0,1651.0,1662.0,1668.0
Taivassalo,370.0,357.0,336.0,320.0,307.0,290.0,276.0,268.0,285.0,293.0,266.0,287.0
Turku,33092.0,33627.0,34450.0,35662.0,36637.0,37191.0,37487.0,37317.0,37588.0,37719.0,38559.0,38629.0
Uusikaupunki,2490.0,2430.0,2363.0,2244.0,2176.0,2085.0,2116.0,2108.0,2153.0,2126.0,2161.0,2236.0
Vehmaa,416.0,423.0,414.0,409.0,417.0,359.0,374.0,373.0,392.0,382.0,368.0,384.0
Eura,1899.0,1908.0,1936.0,1919.0,1890.0,1847.0,1852.0,1782.0,1820.0,1761.0,1755.0,1747.0
Eurajoki,1440.0,1355.0,1370.0,1322.0,1287.0,1330.0,1324.0,1277.0,1289.0,1324.0,1330.0,1267.0
Harjavalta,1076.0,1071.0,1047.0,1037.0,1040.0,1011.0,1072.0,1072.0,1077.0,1092.0,1113.0,1160.0
Huittinen,2085.0,2107.0,2029.0,2001.0,1931.0,1872.0,1858.0,1861.0,1822.0,1871.0,1812.0,1844.0
Jämijärvi,457.0,459.0,476.0,456.0,459.0,447.0,449.0,435.0,440.0,415.0,392.0,385.0
Kankaanpää,2932.0,2931.0,2872.0,2891.0,2833.0,2788.0,2719.0,2731.0,2714.0,2714.0,2710.0,2623.0
Karvia,681.0,655.0,637.0,622.0,606.0,587.0,584.0,601.0,612.0,592.0,572.0,554.0
Kokemäki,1555.0,1530.0,1502.0,1497.0,1481.0,1478.0,1482.0,1449.0,1462.0,1418.0,1410.0,1409.0
Merikarvia,808.0,764.0,751.0,700.0,690.0,672.0,661.0,664.0,657.0,660.0,653.0,633.0
Nakkila,930.0,963.0,949.0,923.0,926.0,943.0,933.0,944.0,929.0,928.0,906.0,912.0
Pomarkku,517.0,521.0,444.0,457.0,443.0,454.0,470.0,449.0,433.0,443.0,424.0,425.0
Pori,13832.0,13857.0,13916.0,13969.0,13911.0,13883.0,14129.0,13767.0,13826.0,14086.0,14190.0,14499.0
Rauma,5859.0,5978.0,6050.0,6139.0,6205.0,6218.0,6325.0,6024.0,6054.0,6187.0,6211.0,6149.0
Siikainen,449.0,454.0,448.0,448.0,434.0,415.0,403.0,407.0,410.0,415.0,417.0,374.0
Säkylä,1169.0,1167.0,1123.0,1087.0,1059.0,1030.0,1036.0,1035.0,1039.0,1036.0,1032.0,1038.0
Ulvila,1945.0,1935.0,1912.0,1906.0,1872.0,1851.0,1836.0,1898.0,1826.0,1869.0,1907.0,1915.0
Forssa,3018.0,3035.0,2978.0,3011.0,3000.0,2985.0,2951.0,2987.0,3006.0,3135.0,3126.0,3138.0
Hattula,1214.0,1270.0,1293.0,1274.0,1308.0,1269.0,1238.0,1263.0,1295.0,1270.0,1218.0,1252.0
Hausjärvi,1202.0,1222.0,1217.0,1210.0,1230.0,1227.0,1210.0,1227.0,1211.0,1208.0,1155.0,1155.0
Humppila,442.0,436.0,428.0,444.0,412.0,441.0,429.0,421.0,409.0,406.0,394.0,389.0
Hämeenlinna,9424.0,9676.0,9747.0,9922.0,9808.0,9950.0,9955.0,10151.0,10067.0,10088.0,10061.0,10280.0
Janakkala,2119.0,2082.0,2097.0,2111.0,2110.0,2084.0,2079.0,2165.0,2183.0,2176.0,2146.0,2199.0
Jokioinen,821.0,803.0,752.0,753.0,779.0,747.0,726.0,738.0,763.0,753.0,744.0,763.0
Loppi,1276.0,1288.0,1314.0,1246.0,1240.0,1266.0,1201.0,1243.0,1201.0,1216.0,1256.0,1245.0
Riihimäki,3906.0,3968.0,3989.0,4053.0,4053.0,4091.0,4058.0,4042.0,4033.0,4105.0,4136.0,4169.0
Tammela,1062.0,1033.0,1024.0,1028.0,997.0,1000.0,949.0,968.0,948.0,940.0,951.0,951.0
Ypäjä,497.0,497.0,496.0,501.0,513.0,502.0,500.0,483.0,477.0,502.0,476.0,476.0
Akaa,2460.0,2477.0,2471.0,2436.0,2413.0,2512.0,2556.0,2526.0,2524.0,2562.0,2531.0,2609.0
Hämeenkyrö,1730.0,1711.0,1671.0,1635.0,1627.0,1632.0,1665.0,1664.0,1618.0,1639.0,1662.0,1660.0
Ikaalinen,1521.0,1527.0,1463.0,1417.0,1385.0,1380.0,1335.0,1375.0,1352.0,1387.0,1362.0,1385.0
Juupajoki,373.0,355.0,340.0,345.0,339.0,344.0,343.0,352.0,337.0,348.0,321.0,344.0
Kangasala,3803.0,3823.0,3786.0,3866.0,3927.0,3873.0,4027.0,4088.0,4131.0,4163.0,4231.0,4360.0
Kihniö,544.0,510.0,541.0,499.0,474.0,456.0,461.0,443.0,423.0,428.0,435.0,427.0
Kuhmoinen,617.0,589.0,583.0,595.0,570.0,573.0,531.0,514.0,560.0,545.0,571.0,539.0
Lempäälä,2468.0,2413.0,2475.0,2593.0,2594.0,2673.0,2717.0,2750.0,2776.0,2865.0,2748.0,2808.0
Mänttä-Vilppula,1788.0,1819.0,1796.0,1752.0,1678.0,1659.0,1686.0,1739.0,1741.0,1788.0,1724.0,1732.0
Nokia,3908.0,3977.0,4035.0,3972.0,4060.0,4065.0,4221.0,4273.0,4368.0,4456.0,4454.0,4552.0
Orivesi,1697.0,1716.0,1701.0,1654.0,1668.0,1670.0,1648.0,1649.0,1683.0,1652.0,1606.0,1583.0
Parkano,1294.0,1370.0,1316.0,1252.0,1217.0,1225.0,1239.0,1247.0,1244.0,1283.0,1236.0,1179.0
Pirkkala,1958.0,2070.0,2041.0,2125.0,2134.0,2162.0,2161.0,2184.0,2257.0,2215.0,2237.0,2225.0
Punkalaidun,780.0,787.0,739.0,725.0,684.0,700.0,676.0,657.0,649.0,671.0,645.0,643.0
Pälkäne,1232.0,1246.0,1210.0,1199.0,1189.0,1159.0,1118.0,1129.0,1153.0,1187.0,1123.0,1143.0
Ruovesi,1011.0,989.0,985.0,976.0,900.0,911.0,933.0,912.0,929.0,923.0,922.0,904.0
Sastamala,4705.0,4617.0,4554.0,4525.0,4512.0,4545.0,4445.0,4445.0,4488.0,4543.0,4391.0,4516.0
Tampere,39631.0,39981.0,40216.0,41348.0,41879.0,42622.0,42982.0,43309.0,43617.0,44351.0,45053.0,44873.0
Urjala,1109.0,1101.0,1026.0,1028.0,998.0,1025.0,999.0,1010.0,1026.0,1006.0,991.0,973.0
Valkeakoski,2807.0,2916.0,2912.0,2901.0,2864.0,2923.0,3043.0,3095.0,3135.0,3139.0,2997.0,3027.0
Vesilahti,679.0,685.0,672.0,642.0,649.0,674.0,699.0,664.0,662.0,633.0,669.0,651.0
Virrat,1625.0,1608.0,1659.0,1575.0,1476.0,1417.0,1410.0,1424.0,1374.0,1377.0,1392.0,1390.0
Ylöjärvi,3769.0,3870.0,3860.0,3898.0,4011.0,4087.0,4133.0,4096.0,3970.0,4067.0,4020.0,4004.0
Asikkala,1420.0,1460.0,1454.0,1459.0,1422.0,1373.0,1410.0,1421.0,1436.0,1319.0,1341.0,1324.0
