City,2011_alueella_asuvia_jotka_ovat_syntyneet_alueella,2012_alueella_asuvia_jotka_ovat_syntyneet_alueella,2013_alueella_asuvia_jotka_ovat_syntyneet_alueella,2014_alueella_asuvia_jotka_ovat_syntyneet_alueella,2015_alueella_asuvia_jotka_ovat_syntyneet_alueella,2016_alueella_asuvia_jotka_ovat_syntyneet_alueella,2017_alueella_asuvia_jotka_ovat_syntyneet_alueella,2018_alueella_asuvia_jotka_ovat_syntyneet_alueella,2019_alueella_asuvia_jotka_ovat_syntyneet_alueella,2020_alueella_asuvia_jotka_ovat_syntyneet_alueella,2021_alueella_asuvia_jotka_ovat_syntyneet_alueella,2022_alueella_asuvia_jotka_ovat_syntyneet_alueella
Askola,1615.0,1624.0,1639.0,1632.0,1666.0,1674.0,1663.0,1654.0,1628.0,1603.0,1576.0,1538
Espoo,72289.0,73483.0,74976.0,76518.0,77688.0,78985.0,80082.0,81167.0,82176.0,82756.0,83556.0,84626
Hanko,4217.0,4183.0,4115.0,4081.0,4007.0,3966.0,3905.0,3863.0,3802.0,3722.0,3699.0,3651
Helsinki,247087.0,249222.0,251891.0,254173.0,256247.0,257860.0,259627.0,260588.0,261528.0,262441.0,262606.0,262583
Hyvinkää,16085.0,16075.0,16207.0,16293.0,16300.0,16336.0,16343.0,16276.0,16239.0,16216.0,16250.0,16209
Inkoo,1758.0,1745.0,1745.0,1751.0,1738.0,1729.0,1690.0,1674.0,1663.0,1628.0,1639.0,1619
Järvenpää,10227.0,10333.0,10478.0,10595.0,10727.0,10862.0,10962.0,11039.0,11098.0,11156.0,11228.0,11293
Karkkila,3513.0,3487.0,3472.0,3439.0,3440.0,3435.0,3387.0,3354.0,3316.0,3268.0,3248.0,3197
Kauniainen,1304.0,1304.0,1291.0,1303.0,1301.0,1270.0,1268.0,1273.0,1288.0,1275.0,1280.0,1271
Kerava,8278.0,8283.0,8399.0,8509.0,8472.0,8497.0,8514.0,8498.0,8525.0,8521.0,8457.0,8446
Kirkkonummi,9171.0,9295.0,9436.0,9512.0,9575.0,9596.0,9624.0,9609.0,9561.0,9553.0,9543.0,9532
Lapinjärvi,1227.0,1188.0,1179.0,1155.0,1142.0,1114.0,1105.0,1091.0,1050.0,1036.0,1018.0,990
