City,2011_alueella_asuvia_jotka_ovat_syntyneet_muualla,2012_alueella_asuvia_jotka_ovat_syntyneet_muualla,2013_alueella_asuvia_jotka_ovat_syntyneet_muualla,2014_alueella_asuvia_jotka_ovat_syntyneet_muualla,2015_alueella_asuvia_jotka_ovat_syntyneet_muualla,2016_alueella_asuvia_jotka_ovat_syntyneet_muualla,2017_alueella_asuvia_jotka_ovat_syntyneet_muualla,2018_alueella_asuvia_jotka_ovat_syntyneet_muualla,2019_alueella_asuvia_jotka_ovat_syntyneet_muualla,2020_alueella_asuvia_jotka_ovat_syntyneet_muualla,2021_alueella_asuvia_jotka_ovat_syntyneet_muualla,2022_alueella_asuvia_jotka_ovat_syntyneet_muualla
Askola,3296.0,3364.0,3352.0,3432.0,3438.0,3372.0,3327.0,3304.0,3315.0,3275.0,3271.0,3225
Espoo,180150.0,183341.0,185777.0,189025.0,192114.0,195598.0,198962.0,202465.0,207555.0,210040.0,213576.0,220648
Hanko,5200.0,5084.0,4994.0,4940.0,4857.0,4697.0,4612.0,4516.0,4397.0,4320.0,4280.0,4181
Helsinki,348297.0,354746.0,360773.0,366542.0,371961.0,377321.0,383645.0,387454.0,392307.0,394479.0,395851.0,401445
Hyvinkää,29442.0,29517.0,29981.0,30073.0,30163.0,30260.0,30396.0,30228.0,30231.0,30360.0,30630.0,30588
Inkoo,3803.0,3793.0,3817.0,3809.0,3803.0,3856.0,3791.0,3729.0,3723.0,3693.0,3714.0,3765
Järvenpää,28739.0,29313.0,29475.0,29795.0,30173.0,30667.0,31610.0,32371.0,32613.0,33299.0,33998.0,34337
Karkkila,5677.0,5632.0,5602.0,5538.0,5529.0,5476.0,5513.0,5424.0,5398.0,5428.0,5469.0,5406
Kauniainen,7503.0,7606.0,7810.0,8054.0,8185.0,8127.0,8356.0,8342.0,8509.0,8903.0,9116.0,9013
Kerava,26271.0,26208.0,26514.0,26808.0,26821.0,27014.0,27040.0,27756.0,28231.0,28584.0,28775.0,29230
Kirkkonummi,28021.0,28272.0,28463.0,28708.0,29074.0,29437.0,29546.0,29653.0,30025.0,30529.0,30890.0,31190
Lapinjärvi,1621.0,1641.0,1641.0,1624.0,1632.0,1625.0,1601.0,1574.0,1556.0,1585.0,1562.0,1528
Lohja,27060.0,27184.0,27350.0,27215.0,27013.0,26941.0,26759.0,26433.0,26286.0,26399.0,26609.0,26621
Loviisa,7953.0,7954.0,7961.0,7993.0,7916.0,7901.0,7888.0,7835.0,7837.0,7866.0,7896.0,7925
Myrskylä,1136.0,1130.0,1133.0,1136.0,1128.0,1161.0,1165.0,1133.0,1119.0,1134.0,1092.0,1061
