City,2011_alueella_syntyneita_jotka_ovat_suomen_vaestossa,2012_alueella_syntyneita_jotka_ovat_suomen_vaestossa,2013_alueella_syntyneita_jotka_ovat_suomen_vaestossa,2014_alueella_syntyneita_jotka_ovat_suomen_vaestossa,2015_alueella_syntyneita_jotka_ovat_suomen_vaestossa,2016_alueella_syntyneita_jotka_ovat_suomen_vaestossa,2017_alueella_syntyneita_jotka_ovat_suomen_vaestossa,2018_alueella_syntyneita_jotka_ovat_suomen_vaestossa,2019_alueella_syntyneita_jotka_ovat_suomen_vaestossa,2020_alueella_syntyneita_jotka_ovat_suomen_vaestossa,2021_alueella_syntyneita_jotka_ovat_suomen_vaestossa,2022_alueella_syntyneita_jotka_ovat_suomen_vaestossa
Askola,3895.0,3919.0,3957.0,3963.0,4002.0,4024.0,4034.0,4035.0,4036.0,4039.0,4049.0,4045
Espoo,128411.0,131366.0,134487.0,137483.0,140204.0,142919.0,145566.0,148059.0,150624.0,153430.0,156394.0,159049
Hanko,8454.0,8434.0,8419.0,8399.0,8357.0,8359.0,8346.0,8320.0,8283.0,8251.0,8219.0,8184
Helsinki,477326.0,480460.0,483938.0,486858.0,489970.0,492517.0,495034.0,497062.0,499124.0,501852.0,504801.0,506116
Hyvinkää,30309.0,30649.0,30949.0,31256.0,31560.0,31805.0,32059.0,32273.0,32478.0,32666.0,32919.0,33100
Inkoo,3844.0,3838.0,3846.0,3842.0,3835.0,3817.0,3789.0,3790.0,3776.0,3760.0,3764.0,3752
Järvenpää,21506.0,21932.0,22374.0,22752.0,23160.0,23585.0,23957.0,24306.0,24628.0,24992.0,25411.0,25777
Karkkila,7720.0,7735.0,7758.0,7754.0,7764.0,7771.0,7752.0,7725.0,7699.0,7670.0,7645.0,7609
Kauniainen,3868.0,3911.0,3947.0,3997.0,4016.0,4033.0,4072.0,4125.0,4157.0,4202.0,4284.0,4333
Kerava,18154.0,18472.0,18835.0,19178.0,19505.0,19801.0,20083.0,20340.0,20598.0,20896.0,21225.0,21466
Kirkkonummi,18925.0,19296.0,19617.0,19938.0,20220.0,20487.0,20750.0,20982.0,21168.0,21409.0,21704.0,21924
Lapinjärvi,3695.0,3652.0,3619.0,3583.0,3537.0,3498.0,3465.0,3435.0,3390.0,3340.0,3321.0,3279
Lohja,36253.0,36411.0,36509.0,36628.0,36704.0,36719.0,36717.0,36776.0,36730.0,36717.0,36723.0,36634
