City,2010_ammatillisen_tutkinnon_suorittaneet_ko,2011_ammatillisen_tutkinnon_suorittaneet_ko,2012_ammatillisen_tutkinnon_suorittaneet_ko,2013_ammatillisen_tutkinnon_suorittaneet_ko,2014_ammatillisen_tutkinnon_suorittaneet_ko,2015_ammatillisen_tutkinnon_suorittaneet_ko,2016_ammatillisen_tutkinnon_suorittaneet_ko,2017_ammatillisen_tutkinnon_suorittaneet_ko,2018_ammatillisen_tutkinnon_suorittaneet_ko,2019_ammatillisen_tutkinnon_suorittaneet_ko,2020_ammatillisen_tutkinnon_suorittaneet_ko,2021_ammatillisen_tutkinnon_suorittaneet_ko
Askola,1833.0,1879.0,1922.0,1945.0,1990.0,2004.0,1994.0,2004.0,2028.0,2058.0,2052.0,2078.0
Espoo,58674.0,59471.0,60262.0,61505.0,62390.0,62760.0,63681.0,64651.0,65947.0,66647.0,66354.0,66077.0
Hanko,3180.0,3187.0,3163.0,3207.0,3230.0,3201.0,3161.0,3176.0,3181.0,3161.0,3155.0,3157.0
Helsinki,147597.0,148607.0,150229.0,153354.0,154954.0,155115.0,156157.0,157698.0,159413.0,158839.0,157034.0,155035.0
Hyvinkää,16773.0,16951.0,17219.0,17614.0,17880.0,17960.0,18092.0,18326.0,18425.0,18471.0,18532.0,18653.0
Inkoo,1834.0,1866.0,1881.0,1911.0,1908.0,1919.0,1942.0,1946.0,1959.0,1948.0,1949.0,1960.0
Järvenpää,13580.0,13796.0,14110.0,14419.0,14693.0,14842.0,15154.0,15650.0,16058.0,16209.0,16457.0,16608.0
Karkkila,3338.0,3400.0,3413.0,3464.0,3479.0,3439.0,3467.0,3518.0,3523.0,3550.0,3565.0,3623.0
Kauniainen,1564.0,1589.0,1602.0,1661.0,1687.0,1700.0,1741.0,1812.0,1800.0,1794.0,1847.0,1821.0
Kerava,11555.0,11703.0,11818.0,12092.0,12309.0,12276.0,12434.0,12506.0,12924.0,13212.0,13305.0,13268.0
Kirkkonummi,10475.0,10555.0,10657.0,10782.0,10962.0,11105.0,11246.0,11447.0,11578.0,11752.0,11901.0,11965.0
Lapinjärvi,1076.0,1077.0,1076.0,1088.0,1089.0,1079.0,1074.0,1076.0,1071.0,1057.0,1076.0,1053.0
Lohja,17234.0,17371.0,17623.0,17942.0,18110.0,18234.0,18360.0,18457.0,18466.0,18545.0,18674.0,18810.0
Loviisa,5654.0,5694.0,5760.0,5827.0,5945.0,5955.0,5941.0,5994.0,6031.0,6035.0,6083.0,6101.0
Myrskylä,783.0,799.0,812.0,813.0,810.0,813.0,830.0,837.0,816.0,827.0,817.0,810.0
Mäntsälä,7065.0,7201.0,7346.0,7482.0,7647.0,7773.0,7892.0,7956.0,8065.0,8141.0,8223.0,8323.0
Nurmijärvi,13059.0,13238.0,13476.0,13755.0,14011.0,14229.0,14346.0,14532.0,14987.0,15203.0,15521.0,15714.0
Pornainen,1745.0,1793.0,1830.0,1852.0,1902.0,1895.0,1933.0,1977.0,1978.0,2010.0,2058.0,2068.0
Porvoo,16727.0,16878.0,17135.0,17456.0,17714.0,17780.0,17941.0,18033.0,18241.0,18376.0,18447.0,18568.0
Pukkila,789.0,793.0,833.0,842.0,842.0,839.0,855.0,863.0,859.0,860.0,859.0,875.0
