City,2010_asukkaat_yhteensa_he,2011_asukkaat_yhteensa_he,2012_asukkaat_yhteensa_he,2013_asukkaat_yhteensa_he,2014_asukkaat_yhteensa_he,2015_asukkaat_yhteensa_he,2016_asukkaat_yhteensa_he,2017_asukkaat_yhteensa_he,2018_asukkaat_yhteensa_he,2019_asukkaat_yhteensa_he,2020_asukkaat_yhteensa_he,2021_asukkaat_yhteensa_he
Askola,4864.0,4911.0,4988.0,4991.0,5064.0,5104.0,5046.0,4990.0,4958.0,4943.0,4878.0,4847.0
Espoo,247970.0,252439.0,256824.0,260753.0,265543.0,269802.0,274583.0,279044.0,283632.0,289731.0,292796.0,297132.0
Hanko,9462.0,9417.0,9267.0,9109.0,9021.0,8864.0,8663.0,8517.0,8379.0,8199.0,8042.0,7979.0
Helsinki,588549.0,595384.0,603968.0,612664.0,620715.0,628208.0,635181.0,643272.0,648042.0,653835.0,656920.0,658457.0
Hyvinkää,45489.0,45527.0,45592.0,46188.0,46366.0,46463.0,46596.0,46739.0,46504.0,46470.0,46576.0,46880.0
Inkoo,5546.0,5561.0,5538.0,5562.0,5560.0,5541.0,5585.0,5481.0,5403.0,5386.0,5321.0,5353.0
Järvenpää,38680.0,38966.0,39646.0,39953.0,40390.0,40900.0,41529.0,42572.0,43410.0,43711.0,44455.0,45226.0
Karkkila,9209.0,9190.0,9119.0,9074.0,8977.0,8969.0,8911.0,8900.0,8778.0,8714.0,8696.0,8717.0
Kauniainen,8689.0,8807.0,8910.0,9101.0,9357.0,9486.0,9397.0,9624.0,9615.0,9797.0,10178.0,10396.0
Kerava,34282.0,34549.0,34491.0,34913.0,35317.0,35293.0,35511.0,35554.0,36254.0,36756.0,37105.0,37232.0
Kirkkonummi,36942.0,37192.0,37567.0,37899.0,38220.0,38649.0,39033.0,39170.0,39262.0,39586.0,40082.0,40433.0
Lapinjärvi,2872.0,2848.0,2829.0,2820.0,2779.0,2774.0,2739.0,2706.0,2665.0,2606.0,2621.0,2580.0
Lohja,47341.0,47374.0,47516.0,47703.0,47624.0,47353.0,47149.0,46785.0,46296.0,45965.0,45886.0,45988.0
Loviisa,15595.0,15552.0,15519.0,15493.0,15480.0,15311.0,15208.0,15085.0,14891.0,14772.0,14745.0,14643.0
Myrskylä,2006.0,2008.0,1992.0,1987.0,1985.0,1969.0,1986.0,1969.0,1922.0,1882.0,1871.0,1816.0
Mäntsälä,19975.0,20131.0,20478.0,20534.0,20621.0,20685.0,20853.0,20803.0,20686.0,20721.0,20783.0,20837.0
Nurmijärvi,39937.0,40349.0,40719.0,41178.0,41577.0,41897.0,42010.0,42159.0,42665.0,42993.0,43663.0,44127.0
Pornainen,5107.0,5122.0,5137.0,5145.0,5148.0,5125.0,5108.0,5121.0,5068.0,5035.0,5070.0,5066.0
Porvoo,48768.0,48833.0,49028.0,49426.0,49728.0,49928.0,50144.0,50159.0,50262.0,50380.0,50619.0,51149.0
Pukkila,2024.0,2016.0,2047.0,2036.0,2013.0,1971.0,1988.0,1940.0,1899.0,1860.0,1833.0,1848.0
Raasepori,29065.0,28959.0,28829.0,28695.0,28674.0,28405.0,28077.0,27851.0,27592.0,27536.0,27528.0,27484.0
