City,2010_asukkaiden_keski_ika_he,2011_asukkaiden_keski_ika_he,2012_asukkaiden_keski_ika_he,2013_asukkaiden_keski_ika_he,2014_asukkaiden_keski_ika_he,2015_asukkaiden_keski_ika_he,2016_asukkaiden_keski_ika_he,2017_asukkaiden_keski_ika_he,2018_asukkaiden_keski_ika_he,2019_asukkaiden_keski_ika_he,2020_asukkaiden_keski_ika_he,2021_asukkaiden_keski_ika_he
Askola,39.0,40.0,40.0,40.0,40.0,40.0,40.0,41.0,41.0,42.0,42.0,43.0
Espoo,37.0,37.0,38.0,38.0,38.0,38.0,38.0,38.0,39.0,39.0,39.0,39.0
Hanko,45.0,45.0,46.0,46.0,47.0,47.0,48.0,48.0,49.0,50.0,50.0,51.0
Helsinki,40.0,40.0,40.0,40.0,40.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
Hyvinkää,41.0,41.0,42.0,42.0,42.0,42.0,43.0,43.0,43.0,44.0,44.0,44.0
Inkoo,42.0,42.0,43.0,43.0,43.0,44.0,44.0,45.0,46.0,46.0,47.0,47.0
Järvenpää,39.0,39.0,39.0,40.0,40.0,40.0,40.0,41.0,41.0,41.0,41.0,42.0
Karkkila,43.0,43.0,43.0,44.0,44.0,44.0,45.0,45.0,46.0,46.0,46.0,47.0
Kauniainen,41.0,41.0,42.0,42.0,42.0,42.0,42.0,42.0,43.0,43.0,43.0,43.0
Kerava,39.0,40.0,40.0,40.0,40.0,41.0,41.0,41.0,41.0,42.0,42.0,42.0
Kirkkonummi,37.0,37.0,38.0,38.0,38.0,39.0,39.0,40.0,40.0,40.0,41.0,41.0
Lapinjärvi,45.0,46.0,46.0,47.0,47.0,47.0,47.0,48.0,48.0,48.0,48.0,48.0
Lohja,41.0,41.0,42.0,42.0,42.0,43.0,43.0,44.0,44.0,45.0,45.0,45.0
Loviisa,45.0,45.0,45.0,46.0,46.0,46.0,47.0,47.0,48.0,48.0,48.0,48.0
Myrskylä,44.0,45.0,45.0,45.0,45.0,45.0,46.0,46.0,46.0,47.0,47.0,48.0
Mäntsälä,39.0,39.0,39.0,39.0,40.0,40.0,40.0,41.0,41.0,41.0,42.0,42.0
Nurmijärvi,37.0,37.0,38.0,38.0,38.0,39.0,39.0,39.0,40.0,40.0,40.0,41.0
Pornainen,36.0,36.0,37.0,37.0,38.0,38.0,39.0,39.0,40.0,40.0,41.0,41.0
Porvoo,41.0,41.0,41.0,41.0,41.0,42.0,42.0,42.0,43.0,43.0,43.0,43.0
Pukkila,42.0,42.0,42.0,43.0,43.0,43.0,43.0,44.0,45.0,45.0,46.0,46.0
Raasepori,43.0,44.0,44.0,44.0,45.0,45.0,45.0,46.0,46.0,47.0,47.0,47.0
Sipoo,39.0,39.0,40.0,40.0,40.0,40.0,41.0,41.0,41.0,42.0,42.0,42.0
Siuntio,39.0,39.0,39.0,40.0,40.0,41.0,41.0,41.0,42.0,42.0,43.0,43.0
Tuusula,38.0,38.0,39.0,39.0,39.0,40.0,40.0,41.0,41.0,42.0,42.0,42.0
Vantaa,38.0,38.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,40.0
Vihti,38.0,39.0,39.0,39.0,40.0,40.0,41.0,41.0,41.0,42.0,42.0,43.0
Aura,39.0,39.0,39.0,40.0,40.0,40.0,40.0,41.0,41.0,42.0,42.0,42.0
Kaarina,40.0,40.0,41.0,41.0,41.0,41.0,42.0,42.0,42.0,42.0,42.0,42.0
Kemiönsaari,47.0,48.0,48.0,48.0,49.0,49.0,49.0,49.0,50.0,50.0,51.0,51.0
Koski Tl,47.0,47.0,47.0,48.0,47.0,48.0,48.0,49.0,49.0,50.0,50.0,50.0
Kustavi,51.0,51.0,52.0,53.0,53.0,53.0,54.0,54.0,54.0,54.0,55.0,55.0
Laitila,43.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,45.0,45.0
Lieto,39.0,39.0,39.0,40.0,40.0,40.0,41.0,41.0,41.0,41.0,42.0,42.0
Loimaa,45.0,46.0,46.0,46.0,46.0,47.0,47.0,47.0,48.0,48.0,48.0,48.0
Marttila,45.0,45.0,45.0,45.0,45.0,46.0,46.0,46.0,46.0,46.0,47.0,47.0
Masku,38.0,38.0,39.0,39.0,39.0,40.0,40.0,41.0,41.0,41.0,42.0,42.0
Mynämäki,43.0,43.0,44.0,44.0,45.0,45.0,45.0,46.0,46.0,46.0,47.0,47.0
Naantali,42.0,43.0,43.0,44.0,44.0,44.0,45.0,45.0,46.0,46.0,47.0,47.0
Nousiainen,39.0,39.0,40.0,40.0,40.0,40.0,41.0,41.0,42.0,42.0,42.0,42.0
Oripää,43.0,43.0,43.0,43.0,43.0,44.0,45.0,45.0,45.0,46.0,46.0,46.0
Paimio,41.0,41.0,41.0,41.0,41.0,42.0,42.0,42.0,42.0,43.0,43.0,43.0
Parainen,44.0,44.0,44.0,44.0,45.0,45.0,46.0,46.0,46.0,47.0,47.0,47.0
Pyhäranta,44.0,45.0,45.0,45.0,46.0,46.0,46.0,47.0,47.0,47.0,47.0,48.0
Pöytyä,43.0,43.0,43.0,43.0,43.0,43.0,44.0,44.0,44.0,44.0,45.0,45.0
Raisio,42.0,42.0,42.0,43.0,43.0,43.0,43.0,44.0,44.0,44.0,44.0,44.0
Rusko,39.0,39.0,39.0,40.0,40.0,40.0,41.0,41.0,41.0,41.0,42.0,42.0
Salo,43.0,43.0,43.0,44.0,44.0,45.0,45.0,46.0,46.0,47.0,47.0,47.0
Sauvo,43.0,44.0,44.0,44.0,45.0,45.0,45.0,45.0,46.0,47.0,47.0,47.0
Somero,46.0,47.0,47.0,47.0,48.0,48.0,48.0,48.0,49.0,49.0,50.0,50.0
Taivassalo,48.0,49.0,49.0,49.0,49.0,50.0,50.0,49.0,50.0,51.0,51.0,51.0
Turku,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
Uusikaupunki,45.0,45.0,46.0,46.0,46.0,46.0,47.0,46.0,47.0,47.0,48.0,48.0
Vehmaa,45.0,46.0,46.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,48.0
Eura,44.0,44.0,45.0,45.0,45.0,45.0,45.0,46.0,46.0,46.0,47.0,47.0
Eurajoki,43.0,43.0,43.0,43.0,43.0,44.0,44.0,44.0,44.0,45.0,45.0,45.0
Harjavalta,46.0,46.0,47.0,47.0,47.0,47.0,47.0,47.0,48.0,48.0,49.0,49.0
Huittinen,45.0,45.0,45.0,45.0,46.0,46.0,46.0,47.0,47.0,47.0,47.0,48.0
Jämijärvi,46.0,46.0,47.0,47.0,46.0,47.0,47.0,47.0,48.0,48.0,49.0,49.0
Kankaanpää,44.0,44.0,45.0,45.0,45.0,45.0,46.0,46.0,46.0,47.0,47.0,47.0
Karvia,48.0,48.0,49.0,49.0,49.0,49.0,49.0,50.0,50.0,50.0,50.0,50.0
Kokemäki,46.0,46.0,46.0,47.0,47.0,47.0,48.0,48.0,48.0,49.0,49.0,49.0
Merikarvia,48.0,49.0,49.0,50.0,49.0,50.0,50.0,50.0,51.0,51.0,51.0,50.0
Nakkila,44.0,44.0,44.0,44.0,45.0,45.0,45.0,46.0,46.0,47.0,47.0,48.0
Pomarkku,46.0,47.0,47.0,47.0,47.0,47.0,48.0,48.0,48.0,49.0,49.0,50.0
Pori,43.0,44.0,44.0,44.0,44.0,44.0,44.0,45.0,45.0,45.0,45.0,46.0
Rauma,43.0,43.0,44.0,44.0,44.0,44.0,45.0,45.0,45.0,45.0,46.0,46.0
Siikainen,49.0,49.0,49.0,50.0,50.0,51.0,51.0,51.0,52.0,52.0,53.0,53.0
Säkylä,45.0,46.0,46.0,46.0,47.0,47.0,48.0,48.0,48.0,49.0,49.0,50.0
Ulvila,43.0,43.0,43.0,43.0,44.0,44.0,44.0,44.0,45.0,45.0,46.0,46.0
