City,2010_asukkaiden_keskitulot_hr,2011_asukkaiden_keskitulot_hr,2012_asukkaiden_keskitulot_hr,2013_asukkaiden_keskitulot_hr,2014_asukkaiden_keskitulot_hr,2015_asukkaiden_keskitulot_hr,2016_asukkaiden_keskitulot_hr,2017_asukkaiden_keskitulot_hr,2018_asukkaiden_keskitulot_hr,2019_asukkaiden_keskitulot_hr,2020_asukkaiden_keskitulot_hr,2021_asukkaiden_keskitulot_hr
Askola,22648.0,24000.0,24066.0,24409.0,25160.0,24697.0,24903.0,27547.0,26126.0,26391.0,26989.0,27856.0
Espoo,28244.0,29370.0,29397.0,30480.0,29701.0,30546.0,30677.0,31769.0,32454.0,32768.0,33124.0,34876.0
Hanko,21026.0,21748.0,22162.0,22118.0,22497.0,22454.0,22596.0,23258.0,24394.0,24624.0,25176.0,27928.0
Helsinki,24659.0,25401.0,25567.0,26217.0,26240.0,26914.0,27203.0,28260.0,29522.0,30157.0,30431.0,32522.0
Hyvinkää,22230.0,23269.0,23738.0,23833.0,23967.0,24344.0,24549.0,25216.0,25843.0,26560.0,26641.0,27601.0
Inkoo,24409.0,24899.0,25073.0,26407.0,25642.0,26213.0,26019.0,27185.0,27320.0,28530.0,28032.0,30105.0
Järvenpää,24057.0,24504.0,25144.0,25357.0,25288.0,25425.0,25751.0,26242.0,26872.0,27583.0,27679.0,28494.0
Karkkila,20397.0,21142.0,21897.0,21937.0,22122.0,22286.0,22487.0,22909.0,23396.0,23675.0,23993.0,24655.0
Kauniainen,42823.0,46544.0,44604.0,48020.0,44774.0,46484.0,53086.0,48985.0,51648.0,50947.0,51871.0,56235.0
Kerava,23138.0,24024.0,24575.0,24804.0,24503.0,24678.0,25070.0,25524.0,25941.0,26524.0,26645.0,27532.0
Kirkkonummi,27044.0,27725.0,28190.0,28239.0,28633.0,28918.0,28881.0,29804.0,30324.0,31005.0,30826.0,33542.0
Lapinjärvi,19859.0,22085.0,22305.0,22707.0,21504.0,22217.0,22594.0,23455.0,24515.0,25100.0,24918.0,27218.0
Lohja,22410.0,23157.0,23576.0,23789.0,23888.0,24195.0,24299.0,24866.0,25627.0,26060.0,26544.0,26983.0
Loviisa,20734.0,21449.0,21988.0,22260.0,22526.0,22986.0,22869.0,23459.0,23925.0,24481.0,24505.0,25656.0
Myrskylä,19080.0,20778.0,20555.0,20976.0,20856.0,21119.0,21511.0,22193.0,22924.0,23245.0,23704.0,24891.0
Mäntsälä,22549.0,23510.0,24040.0,24290.0,24689.0,24495.0,24718.0,25347.0,25938.0,26558.0,27051.0,29032.0
Nurmijärvi,25250.0,26452.0,26787.0,27003.0,27365.0,27513.0,27676.0,28605.0,28947.0,29570.0,29255.0,30706.0
Pornainen,23471.0,24294.0,24886.0,25151.0,25190.0,25704.0,25370.0,26154.0,26726.0,27571.0,27273.0,28471.0
Porvoo,23761.0,24336.0,24737.0,25174.0,25569.0,26003.0,25916.0,26470.0,27289.0,27852.0,27839.0,29312.0
Pukkila,21339.0,22910.0,22780.0,23122.0,23166.0,22916.0,22948.0,22984.0,24131.0,24738.0,24794.0,25559.0
Raasepori,20951.0,21824.0,21925.0,21991.0,22464.0,22617.0,22831.0,23261.0,23781.0,24415.0,24458.0,25468.0
Sipoo,26215.0,27460.0,27671.0,28527.0,27990.0,28437.0,28761.0,29654.0,30316.0,31009.0,31122.0,32681.0
Siuntio,24632.0,25714.0,26556.0,26266.0,26698.0,27418.0,26944.0,27907.0,28429.0,28547.0,29453.0,31132.0
Tuusula,26139.0,26861.0,27294.0,27228.0,27546.0,27830.0,28050.0,28747.0,29509.0,30231.0,30308.0,31457.0
Vantaa,23163.0,24001.0,24535.0,24641.0,24771.0,25011.0,25166.0,25812.0,26191.0,26687.0,26647.0,27644.0
Vihti,23870.0,24739.0,25241.0,26294.0,25489.0,25693.0,25884.0,26528.0,27028.0,27883.0,27836.0,29068.0
Aura,20967.0,21710.0,22578.0,22684.0,22795.0,23126.0,23500.0,23736.0,24188.0,25138.0,25514.0,27154.0
Kaarina,24265.0,25540.0,26213.0,26388.0,26111.0,26702.0,27574.0,27826.0,29461.0,29030.0,29092.0,30928.0
Kemiönsaari,19362.0,20149.0,20870.0,20696.0,21028.0,21261.0,21515.0,22132.0,22493.0,23057.0,23574.0,24882.0
Koski Tl,19143.0,19276.0,20501.0,20584.0,21123.0,21638.0,21498.0,21810.0,22458.0,23011.0,23212.0,24012.0
Kustavi,19916.0,19973.0,20786.0,20992.0,21242.0,21831.0,21988.0,23377.0,24772.0,25832.0,28203.0,35616.0
Laitila,19396.0,20211.0,20767.0,21173.0,21602.0,21799.0,22097.0,22508.0,23272.0,23945.0,23889.0,24675.0
Lieto,23432.0,24197.0,24883.0,25001.0,25607.0,25673.0,25923.0,26505.0,27153.0,27719.0,27924.0,29118.0
Loimaa,19381.0,20201.0,20914.0,20839.0,21182.0,21353.0,21576.0,22164.0,22772.0,23080.0,23280.0,24095.0
Marttila,20873.0,20723.0,22130.0,21547.0,21986.0,21907.0,22865.0,23008.0,24369.0,24678.0,24482.0,25595.0
Masku,23974.0,24762.0,25059.0,25053.0,25197.0,25325.0,25820.0,26432.0,27186.0,28330.0,28253.0,29516.0
Mynämäki,20842.0,21364.0,21771.0,21734.0,22082.0,22303.0,22727.0,23360.0,24108.0,24439.0,24338.0,25099.0
Naantali,24998.0,26559.0,26317.0,26664.0,26271.0,27375.0,27249.0,28419.0,29983.0,29812.0,30409.0,31494.0
Nousiainen,21647.0,22585.0,23271.0,23306.0,23589.0,23554.0,24059.0,24782.0,24881.0,26050.0,26019.0,26883.0
Oripää,20706.0,21078.0,21912.0,22008.0,22634.0,22590.0,25666.0,23899.0,25068.0,24860.0,26158.0,25366.0
Paimio,22889.0,23226.0,23773.0,24044.0,23979.0,24238.0,24688.0,25142.0,25627.0,26260.0,26438.0,27533.0
Parainen,22234.0,22952.0,23472.0,23557.0,24202.0,24627.0,24897.0,25424.0,26392.0,26898.0,26977.0,28617.0
Pyhäranta,21541.0,21978.0,22392.0,22254.0,22426.0,22392.0,22529.0,24035.0,23822.0,24363.0,24368.0,25280.0
