City,2010_asukkaiden_mediaanitulot_hr,2011_asukkaiden_mediaanitulot_hr,2012_asukkaiden_mediaanitulot_hr,2013_asukkaiden_mediaanitulot_hr,2014_asukkaiden_mediaanitulot_hr,2015_asukkaiden_mediaanitulot_hr,2016_asukkaiden_mediaanitulot_hr,2017_asukkaiden_mediaanitulot_hr,2018_asukkaiden_mediaanitulot_hr,2019_asukkaiden_mediaanitulot_hr,2020_asukkaiden_mediaanitulot_hr,2021_asukkaiden_mediaanitulot_hr
Askola,20959.0,21763.0,22200.0,22709.0,22711.0,22695.0,23123.0,23199.0,24074.0,24471.0,24619.0,25168.0
Espoo,23471.0,24145.0,24802.0,24827.0,24900.0,25013.0,25264.0,25676.0,26207.0,26928.0,27165.0,27891.0
Hanko,19246.0,19811.0,20178.0,20051.0,20126.0,20296.0,20680.0,21056.0,21181.0,21727.0,21869.0,22508.0
Helsinki,20754.0,21174.0,21875.0,22055.0,22266.0,22502.0,22880.0,23395.0,24217.0,25006.0,25156.0,25911.0
Hyvinkää,20324.0,20906.0,21605.0,21761.0,21812.0,22008.0,22194.0,22638.0,23155.0,23750.0,23919.0,24420.0
Inkoo,21071.0,21671.0,22382.0,22473.0,22742.0,22883.0,23319.0,23522.0,24026.0,24756.0,24669.0,25864.0
Järvenpää,22029.0,22613.0,23370.0,23435.0,23519.0,23541.0,23863.0,24217.0,24737.0,25387.0,25463.0,25939.0
Karkkila,18678.0,19328.0,20304.0,20466.0,20564.0,20535.0,20721.0,20897.0,21343.0,21942.0,21979.0,22371.0
Kauniainen,27477.0,28429.0,29008.0,29176.0,29332.0,29638.0,30277.0,30464.0,31338.0,32114.0,32313.0,33811.0
Kerava,21592.0,22193.0,22751.0,22900.0,22884.0,22933.0,23239.0,23535.0,23950.0,24410.0,24569.0,25181.0
Kirkkonummi,23350.0,24083.0,24831.0,24805.0,24864.0,24894.0,25103.0,25439.0,25885.0,26535.0,26593.0,27416.0
Lapinjärvi,16887.0,18118.0,18381.0,18592.0,18925.0,19055.0,19409.0,20203.0,20376.0,20841.0,20745.0,21172.0
Lohja,20210.0,20876.0,21611.0,21681.0,21778.0,21792.0,22083.0,22421.0,22802.0,23413.0,23699.0,24097.0
Loviisa,18404.0,19100.0,19775.0,19934.0,20108.0,20233.0,20544.0,20858.0,21236.0,21794.0,21884.0,22568.0
Myrskylä,16856.0,17964.0,18402.0,18239.0,18801.0,18814.0,19539.0,19777.0,20440.0,20936.0,21576.0,21787.0
Mäntsälä,21144.0,21872.0,22710.0,22789.0,22947.0,22865.0,23052.0,23450.0,23926.0,24638.0,24903.0,25331.0
Nurmijärvi,23323.0,24090.0,24785.0,24907.0,24869.0,24939.0,25183.0,25562.0,25994.0,26547.0,26460.0,27258.0
Pornainen,22493.0,23456.0,23966.0,24060.0,24199.0,23891.0,24124.0,24538.0,25233.0,25924.0,26157.0,26911.0
Porvoo,20936.0,21535.0,22241.0,22439.0,22637.0,22867.0,23148.0,23523.0,24007.0,24620.0,24845.0,25548.0
Pukkila,19134.0,19879.0,21037.0,21242.0,21120.0,20796.0,20739.0,20719.0,21570.0,22022.0,22430.0,23282.0
Raasepori,18449.0,19118.0,19677.0,19722.0,19745.0,19850.0,20270.0,20604.0,20969.0,21486.0,21644.0,22396.0
Sipoo,22868.0,23607.0,24484.0,24616.0,24678.0,24796.0,25236.0,25608.0,26226.0,26697.0,26746.0,27627.0
Siuntio,22154.0,22780.0,23583.0,23841.0,23880.0,24013.0,24090.0,24452.0,24938.0,25457.0,25463.0,26562.0
Tuusula,23444.0,24120.0,24774.0,24636.0,24795.0,24901.0,25143.0,25522.0,25992.0,26610.0,26699.0,27329.0
Vantaa,21623.0,22205.0,22925.0,22980.0,23118.0,23225.0,23404.0,23719.0,24138.0,24729.0,24694.0,25178.0
Vihti,21934.0,22606.0,23462.0,23489.0,23537.0,23552.0,23757.0,24123.0,24540.0,25153.0,25195.0,25977.0
Aura,20417.0,20964.0,21750.0,21800.0,21922.0,22066.0,22441.0,22671.0,23094.0,23829.0,24075.0,24920.0
Kaarina,21422.0,22148.0,22877.0,22745.0,22966.0,23064.0,23389.0,23766.0,24282.0,24930.0,25223.0,25888.0
Kemiönsaari,16820.0,17434.0,18357.0,18123.0,18481.0,18688.0,19115.0,19223.0,19587.0,19924.0,20424.0,21073.0
Koski Tl,15969.0,16422.0,17487.0,17442.0,18173.0,18545.0,18761.0,19522.0,19754.0,20158.0,20229.0,20851.0
Kustavi,16751.0,17297.0,17962.0,17861.0,18472.0,18518.0,18198.0,19219.0,20280.0,21487.0,22121.0,23448.0
Laitila,17519.0,18654.0,19165.0,19635.0,20103.0,20137.0,20307.0,20816.0,21426.0,21946.0,21988.0,22501.0
Lieto,21646.0,22401.0,23202.0,23275.0,23429.0,23562.0,23822.0,24159.0,24727.0,25339.0,25665.0,26401.0
Loimaa,16626.0,17318.0,18327.0,18325.0,18607.0,18688.0,18917.0,19452.0,19892.0,20075.0,20288.0,20935.0
Marttila,17372.0,18070.0,19168.0,18819.0,18937.0,19395.0,19616.0,20274.0,21235.0,21622.0,21565.0,22458.0
Masku,22465.0,23321.0,23695.0,23748.0,23658.0,23697.0,24189.0,24608.0,25206.0,25834.0,25918.0,26926.0
Mynämäki,18854.0,19533.0,19916.0,20248.0,20553.0,20650.0,20953.0,21237.0,21842.0,22325.0,22405.0,23113.0
Naantali,21294.0,21917.0,22582.0,22467.0,22740.0,22894.0,23124.0,23529.0,23872.0,24509.0,24924.0,25624.0
Nousiainen,20792.0,21615.0,22607.0,22593.0,22760.0,22745.0,23125.0,23449.0,23743.0,24523.0,24687.0,25097.0
Oripää,17438.0,18143.0,19525.0,19200.0,19230.0,19113.0,19939.0,19916.0,20630.0,20431.0,21031.0,21842.0
Paimio,20453.0,21396.0,22030.0,22137.0,22241.0,22342.0,22407.0,22794.0,23512.0,24122.0,24267.0,25000.0
Parainen,20034.0,20768.0,21267.0,21274.0,21622.0,21834.0,22212.0,22577.0,23076.0,23636.0,23790.0,24199.0
Pyhäranta,19130.0,19346.0,20239.0,20601.0,20680.0,20762.0,21264.0,21667.0,22433.0,22624.0,22917.0,23457.0
Pöytyä,17948.0,18735.0,19396.0,19590.0,19480.0,19758.0,19961.0,20642.0,21049.0,21482.0,21578.0,22225.0
Raisio,20338.0,20903.0,21530.0,21493.0,21355.0,21523.0,21842.0,22271.0,22755.0,23458.0,23609.0,24031.0
Rusko,21589.0,22454.0,23396.0,23211.0,23347.0,23520.0,23878.0,24168.0,24768.0,25244.0,25556.0,26325.0
