City,Y2021,Y2022,Y2023,Y2024,Y2025,Y2026,Y2027,Y2028,Y2029,Y2030,Y2031
Kajaani,36429,36251,36069,35887,35702,35510,35321,35125,34928,34732,34533
Enonkoski,1356,1342,1327,1314,1300,1287,1274,1259,1246,1230,1214
Parikkala,4556,4463,4377,4295,4219,4144,4070,4002,3935,3870,3806
Tuusniemi,2377,2329,2283,2244,2207,2174,2142,2113,2084,2058,2033
Kuortane,3497,3458,3423,3387,3354,3319,3287,3257,3229,3204,3177
Finström,2625,2636,2649,2660,2671,2678,2683,2689,2695,2700,2704
Taipalsaari,4600,4567,4535,4501,4469,4436,4406,4375,4344,4316,4287
Kyyjärvi,1264,1239,1218,1199,1179,1161,1143,1124,1105,1086,1069
Eckerö,966,970,976,982,987,993,998,1003,1009,1016,1020
Luumäki,4469,4407,4347,4296,4245,4198,4150,4103,4061,4017,3979
Pedersören kunta,11203,11226,11251,11270,11291,11309,11322,11332,11341,11350,11357
Evijärvi,2378,2348,2321,2294,2269,2244,2219,2195,2169,2142,2119
Kemiönsaari,6540,6475,6418,6365,6320,6278,6238,6200,6164,6129,6094
Nokia,34758,35023,35273,35510,35731,35942,36139,36322,36503,36680,36849
Hailuoto,941,936,932,926,920,914,908,901,895,889,884
Mäntyharju,5598,5519,5449,5380,5317,5256,5196,5140,5086,5034,4987
Saarijärvi,9084,8955,8833,8716,8602,8489,8382,8278,8179,8084,7992
Aura,3953,3956,3959,3962,3967,3973,3982,3988,3992,3995,3999
Rantasalmi,3291,3224,3161,3106,3052,3005,2959,2914,2871,2829,2785
Rautavaara,1527,1496,1465,1435,1408,1381,1355,1331,1309,1287,1266
Konnevesi,2556,2519,2484,2450,2419,2390,2360,2331,2305,2279,2254
Hammarland,1616,1628,1638,1645,1653,1661,1667,1673,1679,1686,1693
Virolahti,3044,2997,2953,2912,2876,2842,2809,2776,2742,2710,2679
Simo,2901,2853,2808,2765,2720,2678,2641,2600,2563,2526,2489
Kalajoki,12367,12323,12272,12216,12159,12100,12038,11974,11911,11844,11775
Loppi,7797,7746,7695,7647,7603,7557,7515,7471,7431,7393,7360
Ruovesi,4127,4045,3969,3903,3842,3788,3738,3692,3647,3606,3570
Saltvik,1807,1803,1798,1797,1794,1793,1792,1791,1791,1790,1790
Laukaa,18814,18797,18774,18747,18713,18674,18634,18590,18544,18487,18426
Alajärvi,9303,9181,9064,8951,8841,8730,8621,8512,8407,8307,8210
Raasepori,27352,27180,27017,26860,26709,26564,26427,26297,26173,26057,25949
Siikainen,1359,1335,1313,1292,1275,1258,1243,1225,1209,1192,1175
Puumala,2116,2091,2071,2050,2033,2016,2000,1983,1968,1954,1940
Nakkila,5186,5115,5046,4977,4907,4840,4776,4713,4651,4591,4531
Miehikkälä,1829,1794,1761,1729,1702,1675,1649,1625,1602,1580,1558
Juuka,4436,4346,4255,4169,4086,4005,3934,3865,3801,3743,3686
Kemi,20150,19869,19599,19342,19094,18855,18624,18403,18188,17979,17779
Pirkkala,19982,20155,20319,20477,20631,20778,20917,21049,21173,21288,21396
Ristijärvi,1216,1201,1188,1174,1166,1156,1145,1137,1128,1119,1111
Maalahti,5435,5421,5411,5400,5388,5376,5362,5341,5321,5303,5288
Savonlinna,32135,31617,31123,30654,30207,29775,29358,28955,28565,28185,27817
Padasjoki,2812,2764,2720,2680,2642,2606,2572,2539,2509,2480,2453
Orimattila,15793,15708,15615,15523,15433,15348,15266,15184,15101,15024,14946
Veteli,3020,2973,2929,2887,2843,2801,2758,2716,2673,2632,2595
Sottunga,103,103,105,107,107,108,111,111,113,113,114
Orivesi,8920,8838,8758,8683,8613,8545,8480,8419,8359,8305,8253
Turku,196094,197464,198764,200019,201244,202440,203605,204743,205853,206909,207878
Kinnula,1571,1547,1522,1496,1474,1450,1428,1409,1388,1368,1349
Korsnäs,2055,2040,2027,2015,2005,1995,1982,1971,1959,1948,1937
Pyhtää,5094,5064,5029,4987,4946,4907,4868,4825,4778,4730,4683
Heinola,18270,18046,17840,17645,17462,17290,17127,16968,16817,16672,16534
Sund,1009,1009,1007,1007,1004,999,995,993,991,989,985
Maarianhamina - Mariehamn,11778,11801,11829,11860,11891,11924,11955,11985,12018,12047,12074
Kerava,37535,37908,38263,38599,38915,39218,39499,39767,40022,40261,40493
Raisio,24439,24469,24505,24547,24594,24637,24679,24724,24768,24809,24848
Säkylä,6560,6479,6401,6326,6256,6185,6118,6052,5988,5927,5870
Pudasjärvi,7686,7588,7494,7401,7314,7228,7149,7071,6995,6920,6849
Paltamo,3183,3137,3094,3052,3012,2974,2938,2903,2868,2835,2806
