City,2011_keski_ika_miehet,2012_keski_ika_miehet,2013_keski_ika_miehet,2014_keski_ika_miehet,2015_keski_ika_miehet,2016_keski_ika_miehet,2017_keski_ika_miehet,2018_keski_ika_miehet,2019_keski_ika_miehet,2020_keski_ika_miehet,2021_keski_ika_miehet,2022_keski_ika_miehet
Askola,38.8,38.9,39.1,39.5,39.6,39.9,40.3,40.6,41.4,41.8,42.4,43.2
Espoo,36.0,36.2,36.4,36.5,36.7,36.8,37.0,37.1,37.3,37.5,37.7,37.8
Hanko,44.1,44.2,44.8,45.4,46.1,46.7,47.2,47.7,48.2,48.9,49.1,49.7
Helsinki,38.6,38.7,38.7,38.8,38.8,38.9,39.0,39.2,39.3,39.5,39.6,39.7
Hyvinkää,39.6,39.9,40.0,40.2,40.6,40.9,41.1,41.6,42.0,42.3,42.6,42.9
Inkoo,41.3,41.9,42.2,42.3,42.8,42.8,43.6,44.7,45.0,45.6,45.8,46.4
Järvenpää,37.7,37.8,38.0,38.3,38.6,38.8,38.9,39.2,39.5,39.8,40.0,40.1
Karkkila,42.0,42.2,42.4,43.0,43.2,43.7,43.9,44.4,45.0,45.5,45.7,45.9
Kauniainen,39.8,40.1,40.4,40.5,40.5,40.8,41.0,41.5,41.8,41.6,41.6,42.2
Kerava,38.3,38.8,39.0,39.1,39.3,39.6,39.8,39.9,40.2,40.4,40.6,40.8
Kirkkonummi,36.5,36.8,37.1,37.6,38.0,38.1,38.6,39.0,39.3,39.8,40.1,40.5
Lapinjärvi,44.3,45.0,45.5,45.5,45.9,46.4,46.6,46.8,47.0,47.1,47.3,47.9
Lohja,40.3,40.6,40.9,41.3,41.7,42.1,42.5,43.0,43.4,43.8,44.2,44.5
Loviisa,43.9,44.2,44.4,44.6,45.2,45.5,45.8,46.3,46.7,46.8,47.2,47.6
Myrskylä,43.0,43.5,43.7,43.3,44.1,44.3,45.1,45.8,46.6,46.5,47.5,47.4
Mäntsälä,38.1,38.1,38.5,38.8,39.1,39.3,39.7,40.3,40.5,40.9,41.1,41.3
Nurmijärvi,36.6,37.0,37.2,37.5,37.8,38.1,38.5,38.7,39.1,39.4,39.6,39.9
Pornainen,35.7,36.3,36.4,36.9,37.3,37.6,38.2,38.9,39.4,39.7,40.1,40.9
Porvoo,39.6,39.9,40.1,40.3,40.6,40.8,41.0,41.3,41.6,42.0,42.2,42.4
Pukkila,41.7,41.7,42.3,42.8,43.0,43.1,43.7,44.1,44.9,45.5,45.7,46.0
