City,2011_keski_ika_molemmat_sukupuolet,2012_keski_ika_molemmat_sukupuolet,2013_keski_ika_molemmat_sukupuolet,2014_keski_ika_molemmat_sukupuolet,2015_keski_ika_molemmat_sukupuolet,2016_keski_ika_molemmat_sukupuolet,2017_keski_ika_molemmat_sukupuolet,2018_keski_ika_molemmat_sukupuolet,2019_keski_ika_molemmat_sukupuolet,2020_keski_ika_molemmat_sukupuolet,2021_keski_ika_molemmat_sukupuolet,2022_keski_ika_molemmat_sukupuolet
Askola,39.6,39.6,39.7,40.0,40.1,40.4,40.9,41.3,41.8,42.3,42.8,43.6
Espoo,37.3,37.5,37.7,37.8,38.0,38.1,38.3,38.5,38.6,38.8,39.0,39.0
Hanko,45.3,45.6,46.2,46.7,47.2,47.8,48.4,48.9,49.5,50.1,50.5,51.0
Helsinki,40.4,40.4,40.4,40.4,40.5,40.5,40.6,40.7,40.8,40.9,41.1,41.1
Hyvinkää,41.2,41.5,41.7,41.9,42.2,42.5,42.8,43.3,43.6,43.9,44.2,44.5
Inkoo,42.2,42.7,42.9,43.2,43.7,44.0,44.6,45.5,46.0,46.6,46.7,47.4
Järvenpää,39.1,39.3,39.5,39.8,40.0,40.3,40.5,40.7,41.0,41.3,41.5,41.7
Karkkila,43.0,43.2,43.7,44.0,44.2,44.6,44.9,45.5,46.0,46.4,46.8,47.1
Kauniainen,41.4,41.6,41.8,41.9,41.8,42.1,42.3,42.7,42.9,42.9,43.0,43.5
Kerava,39.6,40.0,40.3,40.4,40.7,41.0,41.2,41.3,41.6,41.8,42.1,42.3
Kirkkonummi,37.2,37.6,37.9,38.4,38.7,39.0,39.5,39.9,40.2,40.6,41.0,41.3
Lapinjärvi,45.6,46.2,46.6,46.8,46.9,47.4,47.5,47.7,47.8,47.9,48.1,48.4
Lohja,41.4,41.7,42.0,42.3,42.9,43.2,43.7,44.2,44.7,45.1,45.4,45.8
Loviisa,45.2,45.4,45.6,45.8,46.4,46.6,47.0,47.5,47.9,48.0,48.4,48.9
Myrskylä,44.6,44.9,45.3,44.8,45.4,45.5,45.8,46.3,47.2,47.3,48.4,48.5
