City,2011_keski_ika_naiset,2012_keski_ika_naiset,2013_keski_ika_naiset,2014_keski_ika_naiset,2015_keski_ika_naiset,2016_keski_ika_naiset,2017_keski_ika_naiset,2018_keski_ika_naiset,2019_keski_ika_naiset,2020_keski_ika_naiset,2021_keski_ika_naiset,2022_keski_ika_naiset
Askola,40.4,40.4,40.3,40.4,40.7,40.9,41.5,41.9,42.2,42.9,43.3,43.9
Espoo,38.7,38.8,39.0,39.1,39.3,39.5,39.6,39.8,39.9,40.1,40.3,40.3
Hanko,46.6,47.1,47.7,48.1,48.4,49.0,49.6,50.1,50.7,51.4,51.8,52.3
Helsinki,42.0,41.9,41.9,41.9,41.9,42.0,42.0,42.1,42.2,42.3,42.4,42.4
Hyvinkää,42.8,43.1,43.2,43.5,43.7,44.0,44.4,44.9,45.2,45.5,45.7,46.0
Inkoo,43.1,43.4,43.7,44.1,44.6,45.1,45.7,46.4,46.9,47.5,47.7,48.3
Järvenpää,40.4,40.6,40.9,41.1,41.4,41.7,41.9,42.1,42.5,42.7,42.9,43.2
Karkkila,44.0,44.3,44.9,45.0,45.2,45.6,46.0,46.5,47.0,47.3,47.9,48.3
Kauniainen,42.8,43.0,43.2,43.1,43.0,43.3,43.5,43.9,43.9,44.1,44.2,44.7
Kerava,40.8,41.2,41.5,41.7,42.0,42.3,42.5,42.7,42.9,43.1,43.5,43.7
Kirkkonummi,38.0,38.4,38.7,39.2,39.5,39.9,40.4,40.8,41.1,41.4,41.8,42.1
Lapinjärvi,47.0,47.4,47.6,48.0,47.9,48.5,48.4,48.5,48.5,48.8,48.9,49.0
Lohja,42.4,42.8,43.1,43.4,44.0,44.4,44.8,45.4,45.9,46.3,46.7,47.1
Loviisa,46.5,46.6,46.9,47.1,47.5,47.8,48.1,48.7,49.2,49.3,49.6,50.1
Myrskylä,46.2,46.4,46.9,46.3,46.6,46.5,46.5,46.7,47.7,48.1,49.2,49.7
Mäntsälä,39.4,39.6,39.9,40.3,40.6,40.9,41.3,41.8,42.1,42.6,43.1,43.5
Nurmijärvi,38.1,38.4,38.7,39.1,39.4,39.8,40.3,40.6,41.0,41.4,41.7,42.0
Pornainen,37.1,37.4,37.8,38.3,39.0,39.7,39.9,40.8,41.3,41.7,42.1,42.6
Porvoo,41.9,42.2,42.3,42.5,42.7,43.1,43.4,43.7,44.1,44.4,44.6,44.9
Pukkila,43.2,43.2,43.4,43.3,43.8,43.8,44.3,45.1,45.6,46.2,46.3,47.0
Raasepori,45.3,45.6,45.9,46.1,46.4,46.9,47.3,47.7,48.1,48.2,48.5,48.7
Sipoo,40.5,40.7,40.9,41.3,41.5,41.8,42.1,42.3,42.7,42.9,43.0,43.3
Siuntio,39.1,39.4,39.7,40.2,40.9,41.3,41.7,42.4,43.1,43.7,44.1,44.5
Tuusula,39.0,39.4,39.8,40.1,40.5,40.9,41.4,42.0,42.4,42.8,42.8,42.9
Vantaa,39.4,39.6,39.8,40.0,40.1,40.2,40.3,40.4,40.4,40.6,40.8,40.9
Vihti,39.5,39.9,40.3,40.7,41.2,41.7,42.2,42.6,43.0,43.5,43.8,44.3
Aura,39.5,40.3,40.3,40.3,40.5,40.8,41.2,41.5,42.3,42.7,43.1,43.2
Kaarina,41.3,41.6,41.9,42.2,42.4,42.7,42.9,43.2,43.4,43.6,43.6,43.7
Kemiönsaari,48.9,49.4,49.6,49.9,50.1,50.0,50.4,51.0,51.2,51.7,51.9,52.3
Koski Tl,48.8,48.2,48.9,48.2,48.5,48.9,49.4,50.0,51.1,51.1,51.0,51.3
Kustavi,53.6,54.1,54.9,54.6,55.5,55.6,55.5,56.0,55.3,56.0,56.3,56.8
Laitila,45.0,45.2,45.0,45.1,45.4,45.5,45.4,45.5,45.9,46.4,46.6,46.7
Lieto,40.0,40.2,40.5,40.7,41.0,41.3,41.6,41.7,42.0,42.3,42.7,42.9
Loimaa,47.2,47.3,47.3,47.7,48.0,48.5,48.6,49.0,49.4,49.8,50.1,50.4
Marttila,46.8,47.0,46.3,46.2,46.7,46.8,47.4,47.2,47.6,47.8,48.2,47.6
Masku,39.0,39.3,39.8,40.0,40.6,41.0,41.5,41.8,42.2,42.5,42.5,42.7
Mynämäki,45.0,45.4,45.6,45.9,46.1,46.2,46.5,46.7,47.2,47.6,47.9,48.1
Naantali,43.9,44.3,44.9,45.3,45.7,46.0,46.4,46.9,47.3,47.8,48.2,48.3
Nousiainen,40.5,40.5,40.7,40.7,40.9,41.3,41.8,42.3,42.8,43.1,43.3,43.5
Oripää,44.8,44.2,44.7,45.0,46.6,47.1,47.3,48.1,48.1,48.3,47.7,47.7
Paimio,42.4,42.4,42.4,42.5,42.9,43.0,43.1,43.5,43.7,43.9,43.9,44.2
Parainen,45.3,45.3,45.6,46.0,46.4,46.6,46.9,47.2,47.7,48.0,48.4,48.6
Pyhäranta,45.8,45.8,46.1,47.0,47.2,47.5,47.1,47.6,47.8,47.8,47.8,48.9
Pöytyä,44.0,44.0,44.3,44.1,44.5,44.6,44.7,45.0,45.3,45.8,45.9,46.3
Raisio,43.1,43.4,43.7,44.3,44.6,44.6,44.9,45.2,45.7,45.8,45.8,45.9
Rusko,39.6,40.0,40.3,40.6,40.9,41.4,41.7,42.2,42.4,42.4,42.7,43.2
Salo,44.4,44.8,45.2,45.6,46.1,46.6,47.1,47.5,48.0,48.5,48.8,49.3
Sauvo,44.6,44.4,44.9,45.5,45.6,45.6,46.4,46.7,47.8,48.0,48.0,48.4
Somero,48.4,48.7,48.9,49.2,49.3,49.5,49.7,50.1,50.4,50.6,50.9,51.2
Taivassalo,50.3,50.4,50.5,50.6,50.9,50.9,50.9,51.4,52.1,51.9,52.1,52.3
Turku,43.4,43.4,43.4,43.4,43.3,43.4,43.4,43.3,43.4,43.5,43.5,43.4
Uusikaupunki,46.8,47.2,47.5,47.6,47.8,48.2,48.3,48.5,49.1,49.4,49.6,50.0
Vehmaa,47.4,47.6,48.0,48.3,48.6,48.6,48.9,48.6,48.5,48.7,49.0,49.5
