City,2010_keskimmaiseen_tuloluokkaan_kuuluvat_asukkaat_hr,2011_keskimmaiseen_tuloluokkaan_kuuluvat_asukkaat_hr,2012_keskimmaiseen_tuloluokkaan_kuuluvat_asukkaat_hr,2013_keskimmaiseen_tuloluokkaan_kuuluvat_asukkaat_hr,2014_keskimmaiseen_tuloluokkaan_kuuluvat_asukkaat_hr,2015_keskimmaiseen_tuloluokkaan_kuuluvat_asukkaat_hr,2016_keskimmaiseen_tuloluokkaan_kuuluvat_asukkaat_hr,2017_keskimmaiseen_tuloluokkaan_kuuluvat_asukkaat_hr,2018_keskimmaiseen_tuloluokkaan_kuuluvat_asukkaat_hr,2019_keskimmaiseen_tuloluokkaan_kuuluvat_asukkaat_hr,2020_keskimmaiseen_tuloluokkaan_kuuluvat_asukkaat_hr,2021_keskimmaiseen_tuloluokkaan_kuuluvat_asukkaat_hr
Askola,2054.0,2040.0,2090.0,2108.0,2142.0,2128.0,2113.0,2064.0,2093.0,2134.0,2143.0,2159.0
Espoo,89263.0,91535.0,93132.0,94042.0,95485.0,96967.0,99097.0,101459.0,104095.0,106829.0,107450.0,110086.0
Hanko,5047.0,5072.0,5022.0,5045.0,5008.0,4916.0,4840.0,4741.0,4757.0,4640.0,4561.0,4548.0
Helsinki,264611.0,272169.0,274156.0,277179.0,279248.0,280808.0,283961.0,288226.0,288692.0,289451.0,288733.0,289862.0
Hyvinkää,22041.0,22073.0,22133.0,22387.0,22700.0,22819.0,22872.0,23134.0,23108.0,23099.0,23314.0,23493.0
Inkoo,2327.0,2355.0,2334.0,2355.0,2371.0,2371.0,2396.0,2348.0,2387.0,2428.0,2397.0,2346.0
Järvenpää,17213.0,17512.0,17974.0,18030.0,18446.0,18841.0,19209.0,19835.0,20469.0,20775.0,21348.0,21876.0
Karkkila,4771.0,4770.0,4658.0,4725.0,4679.0,4635.0,4629.0,4621.0,4530.0,4541.0,4555.0,4591.0
Kauniainen,2237.0,2262.0,2309.0,2373.0,2442.0,2422.0,2388.0,2586.0,2611.0,2714.0,2880.0,2912.0
Kerava,16083.0,16310.0,16395.0,16689.0,16958.0,17013.0,17249.0,17268.0,17963.0,18309.0,18464.0,18606.0
Kirkkonummi,13769.0,13881.0,14026.0,14157.0,14369.0,14580.0,14747.0,14967.0,15279.0,15629.0,16035.0,16397.0
Lapinjärvi,1407.0,1387.0,1383.0,1396.0,1383.0,1363.0,1355.0,1341.0,1331.0,1305.0,1322.0,1303.0
Lohja,22031.0,21991.0,22019.0,22066.0,22262.0,22321.0,22342.0,22443.0,22284.0,22309.0,22536.0,22621.0
