City,2010_koulutetut_yhteensa_ko,2011_koulutetut_yhteensa_ko,2012_koulutetut_yhteensa_ko,2013_koulutetut_yhteensa_ko,2014_koulutetut_yhteensa_ko,2015_koulutetut_yhteensa_ko,2016_koulutetut_yhteensa_ko,2017_koulutetut_yhteensa_ko,2018_koulutetut_yhteensa_ko,2019_koulutetut_yhteensa_ko,2020_koulutetut_yhteensa_ko,2021_koulutetut_yhteensa_ko
Askola,2417.0,2479.0,2560.0,2610.0,2687.0,2709.0,2693.0,2706.0,2736.0,2787.0,2784.0,2820.0
Espoo,147039.0,150238.0,153385.0,156726.0,159748.0,162183.0,165684.0,169486.0,176253.0,180373.0,182141.0,184648.0
Hanko,4371.0,4402.0,4386.0,4454.0,4464.0,4443.0,4408.0,4416.0,4432.0,4403.0,4416.0,4446.0
Helsinki,360173.0,367252.0,375080.0,384217.0,391717.0,397017.0,403570.0,411755.0,424568.0,430079.0,433265.0,433814.0
Hyvinkää,25057.0,25378.0,25814.0,26517.0,27031.0,27295.0,27585.0,28020.0,28344.0,28532.0,28886.0,29251.0
Inkoo,2997.0,3049.0,3066.0,3130.0,3161.0,3176.0,3218.0,3240.0,3261.0,3279.0,3279.0,3341.0
Järvenpää,21955.0,22397.0,23017.0,23532.0,23979.0,24347.0,24896.0,25811.0,26693.0,27075.0,27721.0,28377.0
Karkkila,4401.0,4470.0,4499.0,4568.0,4609.0,4570.0,4604.0,4657.0,4708.0,4731.0,4772.0,4860.0
Kauniainen,5599.0,5722.0,5809.0,6012.0,6237.0,6330.0,6282.0,6490.0,6477.0,6573.0,6857.0,6994.0
Kerava,19030.0,19314.0,19548.0,20036.0,20359.0,20390.0,20647.0,20768.0,21498.0,21873.0,22156.0,22206.0
Kirkkonummi,19905.0,20243.0,20600.0,20980.0,21357.0,21755.0,22171.0,22577.0,23056.0,23466.0,24003.0,24417.0
Lapinjärvi,1400.0,1400.0,1398.0,1426.0,1418.0,1410.0,1407.0,1410.0,1418.0,1411.0,1436.0,1422.0
Lohja,24382.0,24696.0,25038.0,25570.0,25902.0,26093.0,26316.0,26458.0,26605.0,26762.0,27000.0,27387.0
Loviisa,7672.0,7761.0,7864.0,7986.0,8125.0,8162.0,8182.0,8312.0,8419.0,8471.0,8570.0,8638.0
Myrskylä,975.0,990.0,1016.0,1034.0,1036.0,1045.0,1064.0,1078.0,1061.0,1064.0,1057.0,1051.0
Mäntsälä,9794.0,10047.0,10405.0,10620.0,10858.0,10992.0,11189.0,11323.0,11513.0,11688.0,11843.0,12040.0
Nurmijärvi,20549.0,21082.0,21494.0,22067.0,22554.0,22918.0,23193.0,23489.0,24260.0,24663.0,25357.0,25900.0
Pornainen,2404.0,2474.0,2531.0,2582.0,2651.0,2664.0,2688.0,2768.0,2794.0,2836.0,2914.0,2953.0
Porvoo,25916.0,26339.0,26897.0,27538.0,28029.0,28299.0,28673.0,29048.0,29671.0,30041.0,30456.0,31025.0
Pukkila,985.0,1014.0,1059.0,1068.0,1063.0,1052.0,1082.0,1067.0,1076.0,1069.0,1079.0,1108.0
Raasepori,14684.0,14878.0,15027.0,15236.0,15524.0,15539.0,15549.0,15713.0,15857.0,16016.0,16228.0,16348.0
Sipoo,9575.0,9869.0,10190.0,10403.0,10612.0,10946.0,11423.0,11796.0,12207.0,12697.0,13230.0,13634.0
Siuntio,3167.0,3268.0,3328.0,3359.0,3428.0,3421.0,3426.0,3460.0,3546.0,3634.0,3673.0,3729.0
Tuusula,19676.0,20198.0,20620.0,21003.0,21301.0,21565.0,21894.0,22223.0,22555.0,22723.0,23078.0,23879.0
Vantaa,108262.0,110785.0,112795.0,115099.0,117110.0,119581.0,122879.0,125770.0,131776.0,135668.0,137750.0,138586.0
Vihti,14883.0,15261.0,15503.0,15862.0,16059.0,16148.0,16349.0,16614.0,16946.0,17137.0,17323.0,17487.0
Aura,1943.0,1994.0,2002.0,2036.0,2066.0,2076.0,2111.0,2170.0,2215.0,2223.0,2283.0,2300.0
Kaarina,17302.0,17641.0,17966.0,18411.0,18835.0,19201.0,19542.0,20010.0,20569.0,21095.0,21806.0,22470.0
Kemiönsaari,3488.0,3547.0,3571.0,3610.0,3647.0,3701.0,3724.0,3756.0,3816.0,3793.0,3895.0,3937.0
Koski Tl,1183.0,1196.0,1229.0,1242.0,1264.0,1255.0,1278.0,1282.0,1298.0,1298.0,1319.0,1320.0
Kustavi,437.0,451.0,470.0,466.0,490.0,498.0,522.0,542.0,561.0,583.0,603.0,614.0
Laitila,4303.0,4295.0,4371.0,4407.0,4494.0,4517.0,4565.0,4680.0,4773.0,4783.0,4750.0,4789.0
Lieto,9783.0,10171.0,10507.0,10727.0,10933.0,11064.0,11314.0,11604.0,11901.0,12172.0,12366.0,12597.0
Loimaa,8904.0,8989.0,9026.0,9147.0,9252.0,9152.0,9221.0,9266.0,9324.0,9366.0,9383.0,9400.0
Marttila,996.0,1001.0,1020.0,1058.0,1075.0,1067.0,1075.0,1092.0,1127.0,1152.0,1140.0,1162.0
Masku,5187.0,5306.0,5409.0,5494.0,5590.0,5606.0,5651.0,5735.0,5738.0,5811.0,5861.0,5981.0
Mynämäki,4170.0,4242.0,4304.0,4351.0,4406.0,4440.0,4495.0,4558.0,4598.0,4583.0,4629.0,4661.0
Naantali,10718.0,10878.0,11002.0,11214.0,11389.0,11530.0,11713.0,11975.0,12219.0,12374.0,12615.0,12881.0
Nousiainen,2530.0,2561.0,2617.0,2661.0,2699.0,2725.0,2750.0,2782.0,2787.0,2814.0,2842.0,2853.0
Oripää,642.0,650.0,655.0,657.0,654.0,641.0,644.0,663.0,680.0,674.0,677.0,690.0
Paimio,5721.0,5841.0,5974.0,6064.0,6162.0,6218.0,6368.0,6400.0,6527.0,6565.0,6681.0,6820.0
Parainen,8493.0,8596.0,8731.0,8799.0,8928.0,9013.0,9063.0,9160.0,9233.0,9329.0,9432.0,9544.0
