City,2011_maapinta_ala,2012_maapinta_ala,2013_maapinta_ala,2014_maapinta_ala,2015_maapinta_ala,2016_maapinta_ala,2017_maapinta_ala,2018_maapinta_ala,2019_maapinta_ala,2020_maapinta_ala,2021_maapinta_ala,2022_maapinta_ala
Askola,212.42,212.41,212.41,212.42,212.42,212.42,212.42,212.42,212.44,212.44,212.44,212.44
Espoo,312.2,312.2,312.2,312.19,312.22,312.29,312.29,312.33,312.32,312.33,312.34,312.35
Hanko,116.89,116.89,116.89,116.92,116.92,116.92,116.92,117.41,117.42,117.46,117.46,117.44
Helsinki,213.75,213.75,213.75,213.92,214.21,214.21,214.25,214.25,214.25,214.29,214.19,214.42
Hyvinkää,322.61,322.62,322.62,322.62,322.66,322.66,322.68,322.68,322.68,322.69,322.69,322.69
Inkoo,349.87,349.89,349.89,349.89,349.89,349.89,349.9,349.89,349.89,349.89,349.89,350.85
Järvenpää,37.55,37.55,37.55,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54
Karkkila,242.36,242.36,242.36,242.36,242.36,242.36,242.36,242.36,242.36,242.35,242.35,242.44
Kauniainen,5.88,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89
Kerava,30.62,30.62,30.62,30.62,30.63,30.63,30.63,30.63,30.63,30.63,30.63,30.63
Kirkkonummi,366.16,366.15,366.15,366.15,366.15,366.21,366.23,366.23,366.23,366.23,366.23,366.60
Lapinjärvi,329.9,329.87,329.87,329.87,329.87,329.87,329.88,329.88,329.88,329.89,329.89,329.89
Lohja,939.02,939.14,939.14,939.14,939.14,939.12,939.15,939.16,939.17,939.44,939.44,940.16
Loviisa,819.74,819.78,819.78,819.78,819.76,819.76,819.76,819.76,819.74,819.81,819.81,819.82
Myrskylä,200.36,200.37,200.37,200.35,200.35,200.35,200.36,200.36,200.37,200.44,200.44,200.44
Mäntsälä,580.83,580.83,580.83,580.86,580.86,580.88,580.82,580.82,580.81,580.85,580.85,580.85
Nurmijärvi,361.84,361.86,361.86,361.82,361.86,361.87,361.87,361.87,361.87,361.87,361.9,361.90
Pornainen,146.5,146.5,146.5,146.52,146.52,146.52,146.52,146.52,146.52,146.52,146.53,146.53
Porvoo,654.52,654.51,654.51,654.42,654.42,654.42,654.42,654.42,654.54,654.55,654.56,654.56
Pukkila,145.04,145.04,145.04,145.03,145.03,145.03,145.03,145.03,145.07,145.09,145.09,145.09
Raasepori,1147.7,1147.99,1147.99,1148.0,1148.0,1147.99,1148.12,1148.27,1148.3,1148.34,1148.34,1149.36
Sipoo,339.61,339.62,339.62,339.63,339.63,339.62,339.62,339.62,339.7,339.69,339.67,339.66
Siuntio,241.08,241.08,241.08,241.08,241.08,241.07,241.07,241.1,241.11,241.11,241.11,241.27
Tuusula,219.51,219.5,219.5,219.5,219.5,219.49,219.49,219.5,219.5,219.54,219.53,219.53
Vantaa,238.37,238.37,238.37,238.35,238.36,238.37,238.37,238.37,238.37,238.37,238.38,238.38
Vihti,522.03,522.04,522.04,522.04,522.06,522.03,522.03,522.02,522.02,522.02,522.01,522.02
Aura,94.99,95.0,95.0,95.0,95.0,95.0,95.01,95.01,95.01,95.01,95.01,95.01
Kaarina,150.34,150.35,150.35,150.42,150.42,150.43,150.42,150.64,150.65,150.65,150.57,150.57
Kemiönsaari,686.93,686.93,686.93,686.96,686.96,686.96,686.95,686.84,686.84,686.85,686.9,686.91
Koski Tl,191.46,191.46,191.46,191.46,191.46,191.48,191.48,191.49,191.49,191.5,191.5,191.50
Kustavi,165.76,165.83,165.83,165.82,165.83,165.8,165.81,165.81,165.82,165.78,165.84,165.84
Laitila,531.67,531.65,531.65,531.66,531.66,531.56,531.61,531.61,531.85,531.85,531.87,531.88
Lieto,300.46,300.46,300.46,300.46,300.46,300.46,300.49,300.52,300.52,300.54,300.54,300.54
Loimaa,848.09,848.1,848.1,848.11,848.11,848.11,848.12,848.13,848.13,848.13,848.06,848.09
Marttila,195.28,195.28,195.28,195.28,195.28,195.3,195.3,195.31,195.31,195.31,195.31,195.31
Masku,174.9,174.9,174.9,174.87,174.86,174.85,174.85,174.75,174.75,174.87,174.89,174.89
Mynämäki,519.72,519.77,519.77,519.86,519.86,519.85,519.79,519.79,519.8,519.8,519.82,519.84
Naantali,311.49,311.47,311.47,311.9,311.9,312.37,312.37,312.45,312.46,312.53,312.57,312.58
