City,2010_miehet_he,2011_miehet_he,2012_miehet_he,2013_miehet_he,2014_miehet_he,2015_miehet_he,2016_miehet_he,2017_miehet_he,2018_miehet_he,2019_miehet_he,2020_miehet_he,2021_miehet_he
Askola,2455.0,2482.0,2505.0,2518.0,2549.0,2565.0,2530.0,2519.0,2519.0,2496.0,2486.0,2453.0
Espoo,122287.0,124542.0,126856.0,128937.0,131429.0,133648.0,136237.0,138553.0,141016.0,144163.0,145892.0,147968.0
Hanko,4785.0,4760.0,4679.0,4592.0,4546.0,4425.0,4331.0,4257.0,4187.0,4118.0,4036.0,4016.0
Helsinki,276361.0,280064.0,284562.0,288957.0,293113.0,297151.0,301010.0,305237.0,307633.0,310702.0,312196.0,313429.0
Hyvinkää,22232.0,22219.0,22236.0,22505.0,22643.0,22643.0,22795.0,22886.0,22752.0,22710.0,22760.0,22896.0
Inkoo,2735.0,2732.0,2727.0,2732.0,2746.0,2743.0,2798.0,2746.0,2695.0,2677.0,2634.0,2660.0
Järvenpää,18826.0,18963.0,19302.0,19492.0,19730.0,19953.0,20258.0,20719.0,21177.0,21360.0,21633.0,21970.0
Karkkila,4540.0,4541.0,4502.0,4483.0,4428.0,4407.0,4397.0,4404.0,4347.0,4322.0,4302.0,4329.0
Kauniainen,4217.0,4256.0,4332.0,4417.0,4539.0,4610.0,4571.0,4654.0,4627.0,4720.0,4929.0,5024.0
Kerava,16730.0,16847.0,16820.0,17017.0,17260.0,17304.0,17395.0,17433.0,17825.0,18103.0,18252.0,18392.0
Kirkkonummi,18426.0,18548.0,18711.0,18882.0,19024.0,19255.0,19474.0,19542.0,19572.0,19747.0,19979.0,20155.0
Lapinjärvi,1426.0,1417.0,1407.0,1403.0,1393.0,1392.0,1371.0,1352.0,1333.0,1308.0,1323.0,1313.0
Lohja,23411.0,23421.0,23461.0,23519.0,23442.0,23363.0,23251.0,23089.0,22850.0,22707.0,22675.0,22697.0
Loviisa,7769.0,7758.0,7751.0,7735.0,7729.0,7650.0,7601.0,7534.0,7476.0,7447.0,7432.0,7362.0
Myrskylä,1004.0,1005.0,994.0,989.0,984.0,970.0,976.0,956.0,938.0,910.0,906.0,883.0
Mäntsälä,9840.0,9948.0,10124.0,10149.0,10204.0,10259.0,10374.0,10340.0,10262.0,10334.0,10385.0,10449.0
Nurmijärvi,19896.0,20101.0,20281.0,20488.0,20704.0,20905.0,20941.0,21014.0,21314.0,21528.0,21911.0,22234.0
Pornainen,2575.0,2586.0,2590.0,2585.0,2613.0,2598.0,2596.0,2579.0,2567.0,2568.0,2608.0,2618.0
Porvoo,23836.0,23900.0,24045.0,24271.0,24425.0,24505.0,24669.0,24685.0,24686.0,24758.0,24818.0,25082.0
Pukkila,1020.0,1009.0,1026.0,1021.0,1007.0,995.0,1010.0,994.0,968.0,957.0,946.0,951.0
Raasepori,14264.0,14212.0,14170.0,14089.0,14102.0,13954.0,13823.0,13741.0,13597.0,13616.0,13640.0,13581.0
Sipoo,9083.0,9235.0,9359.0,9445.0,9502.0,9695.0,9985.0,10167.0,10367.0,10598.0,10899.0,11134.0
Siuntio,3098.0,3116.0,3138.0,3136.0,3146.0,3147.0,3165.0,3135.0,3129.0,3145.0,3138.0,3161.0
Tuusula,18554.0,18780.0,18924.0,19036.0,19011.0,19174.0,19223.0,19292.0,19333.0,19281.0,19467.0,19906.0
Vantaa,97965.0,99489.0,100808.0,102377.0,103787.0,105765.0,108428.0,110613.0,113444.0,116438.0,118484.0,120079.0
Vihti,14056.0,14195.0,14283.0,14406.0,14437.0,14419.0,14473.0,14531.0,14567.0,14514.0,14525.0,14564.0
Aura,1932.0,1946.0,1953.0,1944.0,1957.0,1951.0,1948.0,1945.0,1934.0,1910.0,1934.0,1952.0
Kaarina,15046.0,15173.0,15346.0,15562.0,15751.0,15958.0,15986.0,16174.0,16339.0,16558.0,16921.0,17301.0
Kemiönsaari,3564.0,3553.0,3531.0,3502.0,3467.0,3470.0,3466.0,3421.0,3387.0,3344.0,3323.0,3310.0
Koski Tl,1212.0,1206.0,1204.0,1198.0,1209.0,1190.0,1207.0,1173.0,1158.0,1148.0,1129.0,1125.0
Kustavi,437.0,443.0,449.0,445.0,460.0,460.0,468.0,489.0,489.0,496.0,504.0,510.0
Laitila,4187.0,4160.0,4198.0,4184.0,4219.0,4219.0,4213.0,4302.0,4339.0,4312.0,4247.0,4246.0
Lieto,9099.0,9308.0,9506.0,9567.0,9570.0,9577.0,9659.0,9728.0,9860.0,9937.0,9998.0,10082.0
