City,2010_naiset_he,2011_naiset_he,2012_naiset_he,2013_naiset_he,2014_naiset_he,2015_naiset_he,2016_naiset_he,2017_naiset_he,2018_naiset_he,2019_naiset_he,2020_naiset_he,2021_naiset_he
Askola,2409.0,2429.0,2483.0,2473.0,2515.0,2539.0,2516.0,2471.0,2439.0,2447.0,2392.0,2394.0
Espoo,125683.0,127897.0,129968.0,131816.0,134114.0,136154.0,138346.0,140491.0,142616.0,145568.0,146904.0,149164.0
Hanko,4677.0,4657.0,4588.0,4517.0,4475.0,4439.0,4332.0,4260.0,4192.0,4081.0,4006.0,3963.0
Helsinki,312188.0,315320.0,319406.0,323707.0,327602.0,331057.0,334171.0,338035.0,340409.0,343133.0,344724.0,345028.0
Hyvinkää,23257.0,23308.0,23356.0,23683.0,23723.0,23820.0,23801.0,23853.0,23752.0,23760.0,23816.0,23984.0
Inkoo,2811.0,2829.0,2811.0,2830.0,2814.0,2798.0,2787.0,2735.0,2708.0,2709.0,2687.0,2693.0
Järvenpää,19854.0,20003.0,20344.0,20461.0,20660.0,20947.0,21271.0,21853.0,22233.0,22351.0,22822.0,23256.0
Karkkila,4669.0,4649.0,4617.0,4591.0,4549.0,4562.0,4514.0,4496.0,4431.0,4392.0,4394.0,4388.0
Kauniainen,4472.0,4551.0,4578.0,4684.0,4818.0,4876.0,4826.0,4970.0,4988.0,5077.0,5249.0,5372.0
Kerava,17552.0,17702.0,17671.0,17896.0,18057.0,17989.0,18116.0,18121.0,18429.0,18653.0,18853.0,18840.0
Kirkkonummi,18516.0,18644.0,18856.0,19017.0,19196.0,19394.0,19559.0,19628.0,19690.0,19839.0,20103.0,20278.0
Lapinjärvi,1446.0,1431.0,1422.0,1417.0,1386.0,1382.0,1368.0,1354.0,1332.0,1298.0,1298.0,1267.0
Lohja,23930.0,23953.0,24055.0,24184.0,24182.0,23990.0,23898.0,23696.0,23446.0,23258.0,23211.0,23291.0
Loviisa,7826.0,7794.0,7768.0,7758.0,7751.0,7661.0,7607.0,7551.0,7415.0,7325.0,7313.0,7281.0
Myrskylä,1002.0,1003.0,998.0,998.0,1001.0,999.0,1010.0,1013.0,984.0,972.0,965.0,933.0
