City,2010_perusasteen_suorittaneet_ko,2011_perusasteen_suorittaneet_ko,2012_perusasteen_suorittaneet_ko,2013_perusasteen_suorittaneet_ko,2014_perusasteen_suorittaneet_ko,2015_perusasteen_suorittaneet_ko,2016_perusasteen_suorittaneet_ko,2017_perusasteen_suorittaneet_ko,2018_perusasteen_suorittaneet_ko,2019_perusasteen_suorittaneet_ko,2020_perusasteen_suorittaneet_ko,2021_perusasteen_suorittaneet_ko
Askola,1233.0,1217.0,1185.0,1132.0,1128.0,1123.0,1092.0,1049.0,1012.0,987.0,978.0,957.0
Espoo,42949.0,43643.0,44196.0,44184.0,44799.0,45762.0,46024.0,45889.0,42876.0,44353.0,45253.0,46796.0
Hanko,3384.0,3310.0,3234.0,3090.0,3028.0,2935.0,2824.0,2723.0,2626.0,2539.0,2420.0,2355.0
Helsinki,131444.0,130587.0,130359.0,128424.0,127355.0,127661.0,126371.0,124168.0,114948.0,114006.0,112835.0,113112.0
Hyvinkää,10816.0,10700.0,10489.0,10382.0,10106.0,10013.0,9905.0,9671.0,9254.0,9176.0,9081.0,8990.0
Inkoo,1308.0,1286.0,1256.0,1228.0,1182.0,1167.0,1147.0,1103.0,1065.0,1041.0,1024.0,1011.0
Järvenpää,8229.0,8138.0,8164.0,7942.0,7891.0,7964.0,7914.0,7961.0,7800.0,7723.0,7739.0,7764.0
Karkkila,2898.0,2846.0,2756.0,2673.0,2567.0,2573.0,2500.0,2475.0,2350.0,2312.0,2292.0,2262.0
Kauniainen,998.0,980.0,1021.0,1023.0,1011.0,1009.0,986.0,970.0,956.0,1000.0,1023.0,1070.0
Kerava,7985.0,7996.0,7900.0,7823.0,7880.0,7861.0,7752.0,7643.0,7564.0,7687.0,7662.0,7702.0
Kirkkonummi,6991.0,6892.0,6922.0,6868.0,6881.0,6973.0,7013.0,6864.0,6630.0,6663.0,6718.0,6790.0
Lapinjärvi,945.0,921.0,920.0,887.0,866.0,865.0,845.0,819.0,772.0,728.0,722.0,701.0
Lohja,12350.0,12148.0,11997.0,11768.0,11488.0,11305.0,10965.0,10690.0,10291.0,10094.0,9893.0,9732.0
Loviisa,5015.0,4895.0,4772.0,4651.0,4535.0,4410.0,4331.0,4158.0,3956.0,3862.0,3746.0,3623.0
Myrskylä,621.0,610.0,586.0,581.0,567.0,549.0,536.0,517.0,507.0,477.0,469.0,451.0
Mäntsälä,4863.0,4787.0,4717.0,4621.0,4486.0,4436.0,4400.0,4328.0,4169.0,4091.0,4035.0,3953.0
Nurmijärvi,8212.0,8049.0,8080.0,7980.0,7884.0,7833.0,7750.0,7735.0,7574.0,7638.0,7752.0,7731.0
Pornainen,1085.0,1063.0,1079.0,1049.0,1025.0,1016.0,1007.0,952.0,940.0,894.0,896.0,886.0
Porvoo,11956.0,11778.0,11537.0,11269.0,11109.0,11017.0,10834.0,10538.0,10101.0,9919.0,9800.0,9700.0
Pukkila,561.0,537.0,515.0,510.0,497.0,487.0,480.0,460.0,434.0,423.0,401.0,396.0
Raasepori,8600.0,8383.0,8196.0,7957.0,7745.0,7569.0,7381.0,7077.0,6761.0,6623.0,6423.0,6307.0
Sipoo,3973.0,3912.0,3851.0,3779.0,3754.0,3774.0,3730.0,3707.0,3670.0,3717.0,3710.0,3719.0
Siuntio,1333.0,1295.0,1256.0,1258.0,1237.0,1256.0,1242.0,1224.0,1166.0,1139.0,1163.0,1165.0
Tuusula,7727.0,7705.0,7652.0,7537.0,7425.0,7503.0,7359.0,7192.0,7086.0,6964.0,6972.0,7032.0
Vantaa,47694.0,47905.0,48030.0,48209.0,48433.0,49220.0,49939.0,50423.0,49013.0,49962.0,50918.0,52160.0
Vihti,6267.0,6191.0,6080.0,5988.0,5908.0,5831.0,5804.0,5712.0,5594.0,5473.0,5401.0,5345.0
Aura,1006.0,1001.0,984.0,932.0,927.0,909.0,892.0,865.0,828.0,809.0,769.0,752.0
Kaarina,6247.0,6117.0,6018.0,5967.0,5844.0,5874.0,5693.0,5598.0,5369.0,5269.0,5172.0,5123.0
Kemiönsaari,2454.0,2385.0,2302.0,2239.0,2184.0,2092.0,2016.0,1949.0,1861.0,1810.0,1733.0,1694.0
Koski Tl,811.0,797.0,778.0,743.0,723.0,701.0,706.0,662.0,640.0,633.0,590.0,580.0
Kustavi,318.0,317.0,305.0,302.0,299.0,300.0,291.0,288.0,274.0,268.0,254.0,253.0
Laitila,2430.0,2380.0,2343.0,2318.0,2265.0,2250.0,2187.0,2188.0,2114.0,2100.0,2059.0,2015.0
Lieto,3705.0,3653.0,3615.0,3542.0,3450.0,3397.0,3322.0,3242.0,3146.0,3057.0,3040.0,2974.0
Loimaa,4878.0,4796.0,4659.0,4523.0,4386.0,4403.0,4210.0,4058.0,3929.0,3828.0,3746.0,3627.0
Marttila,624.0,623.0,609.0,591.0,587.0,565.0,552.0,528.0,505.0,482.0,486.0,456.0
Masku,1710.0,1694.0,1672.0,1656.0,1597.0,1593.0,1540.0,1478.0,1443.0,1384.0,1362.0,1301.0
Mynämäki,2159.0,2117.0,2046.0,1987.0,1942.0,1876.0,1824.0,1802.0,1714.0,1647.0,1609.0,1556.0
Naantali,4060.0,4027.0,3949.0,3848.0,3747.0,3677.0,3612.0,3492.0,3386.0,3332.0,3229.0,3181.0
Nousiainen,1090.0,1027.0,996.0,977.0,916.0,909.0,869.0,857.0,810.0,808.0,757.0,746.0
Oripää,454.0,448.0,445.0,432.0,425.0,418.0,412.0,411.0,386.0,369.0,379.0,378.0
Paimio,2349.0,2271.0,2251.0,2092.0,2039.0,1999.0,1948.0,1906.0,1856.0,1820.0,1758.0,1753.0
Parainen,3743.0,3667.0,3583.0,3489.0,3422.0,3350.0,3302.0,3138.0,3054.0,2928.0,2840.0,2797.0
Pyhäranta,664.0,640.0,621.0,587.0,564.0,573.0,540.0,510.0,484.0,484.0,468.0,448.0
Pöytyä,2523.0,2490.0,2428.0,2392.0,2323.0,2309.0,2235.0,2163.0,2059.0,1999.0,1979.0,1945.0
Raisio,5883.0,5834.0,5757.0,5623.0,5473.0,5404.0,5237.0,5057.0,4813.0,4671.0,4665.0,4614.0
Rusko,1117.0,1107.0,1114.0,1082.0,1046.0,1048.0,1029.0,997.0,974.0,966.0,928.0,926.0
Salo,15597.0,15247.0,14856.0,14444.0,14110.0,13936.0,13614.0,13237.0,12588.0,12195.0,11985.0,11652.0
Sauvo,794.0,772.0,739.0,742.0,705.0,685.0,681.0,655.0,636.0,617.0,607.0,604.0
Somero,3179.0,3106.0,3050.0,2930.0,2873.0,2772.0,2680.0,2571.0,2490.0,2428.0,2343.0,2268.0
Taivassalo,599.0,595.0,574.0,554.0,542.0,523.0,500.0,483.0,466.0,465.0,454.0,448.0
Turku,40708.0,40008.0,39607.0,38694.0,37993.0,37842.0,37328.0,36571.0,34739.0,34159.0,34006.0,33781.0
Uusikaupunki,4229.0,4125.0,3977.0,3865.0,3751.0,3708.0,3637.0,3618.0,3536.0,3475.0,3434.0,3475.0
Vehmaa,697.0,676.0,664.0,656.0,638.0,605.0,597.0,583.0,562.0,532.0,542.0,521.0
Eura,3961.0,3845.0,3788.0,3663.0,3525.0,3429.0,3319.0,3209.0,3043.0,2925.0,2822.0,2725.0
Eurajoki,2470.0,2368.0,2333.0,2268.0,2210.0,2162.0,2202.0,2231.0,2098.0,1996.0,1952.0,1843.0
Harjavalta,2268.0,2205.0,2155.0,2069.0,1999.0,1950.0,1897.0,1811.0,1738.0,1687.0,1663.0,1607.0
Huittinen,3182.0,3127.0,3066.0,2948.0,2836.0,2776.0,2710.0,2599.0,2459.0,2403.0,2305.0,2262.0
Jämijärvi,652.0,627.0,607.0,579.0,570.0,561.0,535.0,501.0,466.0,426.0,409.0,388.0
Kankaanpää,4093.0,3913.0,3811.0,3703.0,3573.0,3471.0,3373.0,3299.0,3169.0,3057.0,2978.0,2890.0
Karvia,985.0,950.0,910.0,877.0,848.0,825.0,792.0,761.0,724.0,693.0,675.0,639.0
Kokemäki,2509.0,2437.0,2362.0,2271.0,2204.0,2123.0,2058.0,1959.0,1868.0,1824.0,1724.0,1658.0
Merikarvia,1253.0,1215.0,1172.0,1123.0,1094.0,1068.0,1040.0,983.0,943.0,900.0,873.0,830.0
Nakkila,1665.0,1634.0,1576.0,1510.0,1467.0,1448.0,1374.0,1346.0,1279.0,1215.0,1160.0,1115.0
