City,2011_ruotsinkielisia,2012_ruotsinkielisia,2013_ruotsinkielisia,2014_ruotsinkielisia,2015_ruotsinkielisia,2016_ruotsinkielisia,2017_ruotsinkielisia,2018_ruotsinkielisia,2019_ruotsinkielisia,2020_ruotsinkielisia,2021_ruotsinkielisia,2022_ruotsinkielisia
Askola,154.0,168.0,159.0,164.0,166.0,153.0,161.0,167.0,170.0,167.0,178.0,186
Espoo,20211.0,20241.0,20275.0,20261.0,20216.0,20131.0,20077.0,19999.0,20033.0,19970.0,20034.0,20136
Hanko,4043.0,3977.0,3901.0,3841.0,3768.0,3718.0,3644.0,3575.0,3512.0,3449.0,3439.0,3350
Helsinki,35537.0,35674.0,35844.0,35845.0,36004.0,36197.0,36361.0,36533.0,36665.0,36754.0,36856.0,36748
Hyvinkää,355.0,370.0,376.0,385.0,390.0,389.0,409.0,419.0,419.0,428.0,431.0,429
Inkoo,3082.0,3037.0,3019.0,3022.0,2976.0,2965.0,2897.0,2839.0,2813.0,2770.0,2782.0,2796
Järvenpää,358.0,352.0,353.0,370.0,394.0,403.0,429.0,447.0,447.0,459.0,461.0,471
Karkkila,82.0,78.0,74.0,77.0,76.0,80.0,80.0,72.0,69.0,66.0,65.0,66
Kauniainen,3299.0,3286.0,3265.0,3256.0,3265.0,3201.0,3250.0,3202.0,3197.0,3215.0,3197.0,3159
Kerava,379.0,385.0,423.0,420.0,434.0,434.0,465.0,465.0,449.0,454.0,464.0,467
Kirkkonummi,6639.0,6641.0,6661.0,6639.0,6623.0,6580.0,6519.0,6498.0,6433.0,6405.0,6335.0,6239
Lapinjärvi,938.0,927.0,925.0,919.0,891.0,855.0,843.0,819.0,792.0,782.0,765.0,751
Lohja,1678.0,1670.0,1685.0,1659.0,1657.0,1655.0,1643.0,1617.0,1617.0,1614.0,1623.0,1602
Loviisa,6593.0,6549.0,6504.0,6458.0,6366.0,6278.0,6150.0,6052.0,5978.0,5904.0,5818.0,5747
Myrskylä,203.0,199.0,194.0,185.0,191.0,190.0,181.0,176.0,176.0,174.0,172.0,158
Mäntsälä,174.0,190.0,192.0,192.0,195.0,197.0,196.0,196.0,199.0,175.0,172.0,167
Nurmijärvi,491.0,491.0,478.0,480.0,488.0,486.0,505.0,510.0,521.0,538.0,542.0,546
Pornainen,118.0,115.0,106.0,109.0,104.0,113.0,118.0,122.0,115.0,115.0,119.0,110
Porvoo,15091.0,15057.0,15006.0,14961.0,14887.0,14839.0,14768.0,14672.0,14572.0,14554.0,14494.0,14445
Pukkila,17.0,17.0,20.0,17.0,16.0,16.0,17.0,18.0,17.0,12.0,14.0,15
Raasepori,19009.0,18904.0,18756.0,18649.0,18464.0,18208.0,18020.0,17832.0,17778.0,17689.0,17618.0,17471
Sipoo,6808.0,6767.0,6724.0,6669.0,6616.0,6616.0,6615.0,6611.0,6504.0,6496.0,6471.0,6432
Siuntio,1846.0,1843.0,1831.0,1819.0,1800.0,1797.0,1754.0,1729.0,1706.0,1696.0,1664.0,1643
Tuusula,617.0,604.0,602.0,611.0,589.0,590.0,591.0,592.0,581.0,578.0,572.0,577
Vantaa,5777.0,5712.0,5722.0,5704.0,5676.0,5631.0,5594.0,5559.0,5575.0,5579.0,5532.0,5447
Vihti,493.0,510.0,516.0,503.0,508.0,484.0,483.0,491.0,491.0,496.0,490.0,490
Aura,28.0,25.0,24.0,32.0,29.0,24.0,24.0,27.0,27.0,25.0,25.0,25
Kaarina,1183.0,1261.0,1314.0,1366.0,1390.0,1424.0,1433.0,1470.0,1523.0,1574.0,1664.0,1740
Kemiönsaari,5070.0,4981.0,4932.0,4847.0,4793.0,4720.0,4652.0,4604.0,4518.0,4464.0,4440.0,4396
Koski Tl,10.0,6.0,9.0,8.0,7.0,8.0,8.0,9.0,5.0,7.0,6.0,9
Kustavi,10.0,10.0,12.0,10.0,11.0,10.0,13.0,12.0,14.0,13.0,13.0,15
Laitila,28.0,28.0,30.0,35.0,33.0,33.0,33.0,36.0,35.0,34.0,31.0,25
Lieto,206.0,215.0,234.0,247.0,251.0,257.0,274.0,274.0,280.0,287.0,305.0,303
Loimaa,32.0,35.0,34.0,33.0,30.0,29.0,32.0,32.0,36.0,39.0,36.0,33
Marttila,19.0,20.0,21.0,21.0,22.0,22.0,21.0,21.0,19.0,19.0,19.0,19
Masku,96.0,98.0,99.0,101.0,96.0,99.0,108.0,101.0,105.0,107.0,115.0,123
Mynämäki,56.0,54.0,56.0,58.0,59.0,61.0,63.0,56.0,53.0,63.0,65.0,65
Naantali,244.0,249.0,262.0,242.0,242.0,246.0,260.0,251.0,252.0,260.0,271.0,270
Nousiainen,36.0,38.0,32.0,33.0,36.0,33.0,36.0,39.0,44.0,42.0,41.0,37
Oripää,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6
Paimio,93.0,96.0,91.0,91.0,100.0,105.0,106.0,103.0,113.0,117.0,117.0,105
Parainen,8833.0,8798.0,8745.0,8700.0,8640.0,8566.0,8463.0,8396.0,8345.0,8321.0,8288.0,8181
Pyhäranta,8.0,8.0,9.0,8.0,8.0,7.0,7.0,6.0,7.0,7.0,9.0,10
Pöytyä,45.0,42.0,39.0,42.0,43.0,49.0,49.0,49.0,51.0,48.0,52.0,50
Raisio,350.0,356.0,354.0,350.0,352.0,346.0,339.0,342.0,331.0,334.0,339.0,354
Rusko,78.0,79.0,79.0,82.0,94.0,95.0,98.0,102.0,100.0,106.0,104.0,102
Salo,606.0,592.0,589.0,586.0,603.0,608.0,593.0,588.0,593.0,607.0,592.0,596
Sauvo,81.0,77.0,76.0,72.0,77.0,76.0,72.0,74.0,74.0,80.0,80.0,80
Somero,42.0,47.0,46.0,49.0,49.0,46.0,49.0,50.0,49.0,48.0,46.0,44
Taivassalo,10.0,9.0,10.0,10.0,11.0,12.0,12.0,10.0,13.0,12.0,12.0,13
Turku,9540.0,9645.0,9783.0,9924.0,10033.0,10175.0,10310.0,10406.0,10618.0,10657.0,10710.0,10854
Uusikaupunki,72.0,67.0,63.0,62.0,61.0,63.0,65.0,62.0,59.0,60.0,60.0,57
Vehmaa,15.0,14.0,19.0,21.0,20.0,17.0,15.0,16.0,15.0,16.0,13.0,13
Eura,16.0,16.0,18.0,20.0,18.0,20.0,22.0,21.0,25.0,21.0,22.0,21
Eurajoki,30.0,33.0,29.0,29.0,30.0,31.0,31.0,31.0,33.0,34.0,31.0,29
Harjavalta,19.0,17.0,15.0,16.0,13.0,13.0,13.0,12.0,12.0,13.0,15.0,13
Huittinen,10.0,11.0,14.0,13.0,14.0,13.0,15.0,17.0,19.0,17.0,16.0,17
Jämijärvi,0.0,0.0,0.0,0.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,3
Kankaanpää,16.0,17.0,18.0,20.0,23.0,17.0,15.0,12.0,14.0,14.0,13.0,11
Karvia,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1
Kokemäki,11.0,12.0,12.0,12.0,10.0,13.0,11.0,12.0,11.0,13.0,14.0,16
Merikarvia,9.0,10.0,11.0,10.0,11.0,12.0,13.0,13.0,13.0,13.0,15.0,15
Nakkila,17.0,25.0,25.0,22.0,23.0,24.0,26.0,27.0,27.0,26.0,24.0,29
Pomarkku,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1
Pori,456.0,450.0,452.0,444.0,440.0,451.0,463.0,464.0,458.0,466.0,477.0,477
Rauma,135.0,135.0,134.0,132.0,125.0,116.0,114.0,118.0,121.0,114.0,119.0,117
Siikainen,2.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2
Säkylä,18.0,17.0,15.0,14.0,11.0,11.0,11.0,12.0,13.0,15.0,16.0,18
Ulvila,30.0,34.0,35.0,35.0,38.0,38.0,35.0,35.0,40.0,33.0,37.0,37
Forssa,47.0,48.0,45.0,46.0,50.0,48.0,46.0,41.0,42.0,42.0,46.0,49
Hattula,33.0,31.0,30.0,33.0,38.0,32.0,34.0,32.0,38.0,37.0,39.0,40
Hausjärvi,42.0,43.0,40.0,38.0,42.0,40.0,35.0,32.0,35.0,33.0,37.0,40
Humppila,5.0,5.0,4.0,6.0,6.0,8.0,6.0,5.0,2.0,2.0,2.0,3
Hämeenlinna,238.0,215.0,219.0,218.0,232.0,245.0,235.0,242.0,259.0,259.0,252.0,254
Janakkala,76.0,72.0,65.0,67.0,62.0,58.0,59.0,62.0,67.0,67.0,70.0,68
Jokioinen,27.0,25.0,25.0,25.0,25.0,26.0,29.0,27.0,21.0,23.0,21.0,22
Loppi,39.0,37.0,40.0,41.0,40.0,38.0,36.0,37.0,36.0,37.0,38.0,37
Riihimäki,127.0,123.0,137.0,133.0,124.0,130.0,123.0,114.0,117.0,118.0,106.0,113
Tammela,16.0,14.0,12.0,11.0,11.0,13.0,14.0,13.0,12.0,21.0,15.0,13
Ypäjä,16.0,17.0,17.0,14.0,14.0,14.0,16.0,14.0,16.0,14.0,15.0,12
Akaa,34.0,33.0,34.0,34.0,29.0,32.0,26.0,29.0,31.0,31.0,31.0,25
Hämeenkyrö,14.0,10.0,12.0,12.0,15.0,15.0,16.0,17.0,14.0,17.0,18.0,17
Ikaalinen,11.0,9.0,10.0,12.0,14.0,11.0,13.0,14.0,17.0,15.0,12.0,13
Juupajoki,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,5.0,3
Kangasala,79.0,77.0,77.0,74.0,76.0,71.0,73.0,77.0,77.0,76.0,81.0,78
Kihniö,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Kuhmoinen,4.0,4.0,4.0,5.0,6.0,6.0,4.0,5.0,5.0,4.0,6.0,7
Lempäälä,56.0,63.0,63.0,60.0,58.0,61.0,64.0,64.0,65.0,72.0,74.0,70
Mänttä-Vilppula,23.0,24.0,18.0,20.0,19.0,20.0,18.0,19.0,18.0,16.0,14.0,14
Nokia,109.0,108.0,111.0,114.0,107.0,106.0,102.0,107.0,121.0,119.0,117.0,117
Orivesi,16.0,17.0,16.0,15.0,15.0,15.0,14.0,12.0,15.0,12.0,11.0,14
Parkano,12.0,13.0,6.0,7.0,6.0,8.0,7.0,7.0,6.0,10.0,10.0,8
Pirkkala,71.0,73.0,73.0,70.0,72.0,74.0,81.0,84.0,80.0,72.0,77.0,77
Punkalaidun,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,1.0,2
Pälkäne,27.0,26.0,25.0,26.0,27.0,28.0,28.0,26.0,28.0,27.0,31.0,26
Ruovesi,14.0,14.0,13.0,13.0,13.0,12.0,12.0,12.0,11.0,13.0,13.0,12
Sastamala,45.0,43.0,31.0,34.0,34.0,31.0,34.0,35.0,41.0,38.0,39.0,40
Tampere,1111.0,1156.0,1172.0,1175.0,1207.0,1233.0,1269.0,1268.0,1264.0,1276.0,1321.0,1333
Urjala,15.0,14.0,13.0,12.0,14.0,11.0,13.0,12.0,12.0,12.0,12.0,12
Valkeakoski,46.0,51.0,42.0,44.0,45.0,45.0,44.0,43.0,41.0,40.0,40.0,37
Vesilahti,11.0,15.0,16.0,16.0,16.0,14.0,15.0,15.0,14.0,13.0,17.0,18
Virrat,10.0,10.0,11.0,10.0,9.0,9.0,10.0,7.0,7.0,7.0,8.0,9
Ylöjärvi,94.0,90.0,91.0,96.0,101.0,110.0,112.0,114.0,109.0,116.0,115.0,124
Asikkala,20.0,20.0,16.0,13.0,16.0,18.0,17.0,17.0,14.0,16.0,15.0,12
Hartola,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2
Heinola,38.0,33.0,32.0,37.0,39.0,40.0,41.0,38.0,41.0,45.0,38.0,43
Hollola,79.0,79.0,76.0,77.0,73.0,74.0,69.0,73.0,69.0,73.0,69.0,69
Iitti,24.0,26.0,24.0,20.0,16.0,20.0,19.0,16.0,14.0,15.0,15.0,16
Kärkölä,20.0,18.0,21.0,22.0,20.0,19.0,21.0,20.0,20.0,18.0,18.0,19
