City,2011_saamenkielisia,2012_saamenkielisia,2013_saamenkielisia,2014_saamenkielisia,2015_saamenkielisia,2016_saamenkielisia,2017_saamenkielisia,2018_saamenkielisia,2019_saamenkielisia,2020_saamenkielisia,2021_saamenkielisia,2022_saamenkielisia
Askola,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Espoo,11.0,13.0,9.0,10.0,9.0,11.0,13.0,15.0,16.0,15.0,16.0,16
Hanko,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
Helsinki,52.0,59.0,63.0,64.0,61.0,62.0,71.0,67.0,68.0,63.0,64.0,63
Hyvinkää,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Inkoo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Järvenpää,0.0,0.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,4.0,3.0,4
Karkkila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
Kauniainen,1.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3
Kerava,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Kirkkonummi,5.0,5.0,7.0,12.0,11.0,8.0,7.0,7.0,7.0,8.0,8.0,9
Lapinjärvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Lohja,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,2.0,2
Loviisa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Myrskylä,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mäntsälä,1.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,5.0,5.0,6.0,6
Nurmijärvi,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
Pornainen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Porvoo,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1
Pukkila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Raasepori,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
Sipoo,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,4.0,3
Siuntio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Tuusula,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2
Vantaa,14.0,15.0,17.0,22.0,20.0,22.0,21.0,21.0,20.0,21.0,25.0,25
Vihti,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3
Aura,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Kaarina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Kemiönsaari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Koski Tl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Kustavi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Laitila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
