City,2011_suomenkielisia,2012_suomenkielisia,2013_suomenkielisia,2014_suomenkielisia,2015_suomenkielisia,2016_suomenkielisia,2017_suomenkielisia,2018_suomenkielisia,2019_suomenkielisia,2020_suomenkielisia,2021_suomenkielisia,2022_suomenkielisia
Askola,4669.0,4720.0,4724.0,4790.0,4811.0,4764.0,4704.0,4666.0,4639.0,4571.0,4515.0,4413
Espoo,206206.0,207594.0,208520.0,210078.0,211252.0,212789.0,214299.0,215533.0,217486.0,217187.0,217472.0,218392
Hanko,5046.0,4907.0,4828.0,4797.0,4708.0,4533.0,4470.0,4417.0,4319.0,4227.0,4168.0,4122
Helsinki,491472.0,494627.0,498288.0,501257.0,504011.0,505708.0,508571.0,509617.0,511043.0,510849.0,507420.0,505533
Hyvinkää,43400.0,43283.0,43742.0,43784.0,43804.0,43774.0,43746.0,43384.0,43216.0,43120.0,43257.0,42989
Inkoo,2327.0,2340.0,2373.0,2351.0,2373.0,2386.0,2355.0,2341.0,2350.0,2318.0,2321.0,2325
Järvenpää,37260.0,37746.0,37950.0,38208.0,38600.0,39019.0,39910.0,40519.0,40672.0,41139.0,41678.0,41856
Karkkila,8731.0,8623.0,8557.0,8477.0,8449.0,8372.0,8305.0,8180.0,8113.0,8075.0,8038.0,7883
Kauniainen,5126.0,5220.0,5380.0,5579.0,5634.0,5593.0,5721.0,5675.0,5770.0,6043.0,6203.0,6107
Kerava,32133.0,31841.0,31941.0,32048.0,31796.0,31801.0,31554.0,31897.0,32054.0,32005.0,31725.0,31718
Kirkkonummi,28829.0,28916.0,29031.0,29204.0,29520.0,29681.0,29692.0,29599.0,29738.0,29925.0,30090.0,30111
Lapinjärvi,1832.0,1808.0,1789.0,1746.0,1761.0,1748.0,1723.0,1710.0,1676.0,1689.0,1645.0,1594
Lohja,44347.0,44334.0,44416.0,44235.0,43916.0,43608.0,43227.0,42739.0,42317.0,42037.0,41976.0,41640
Loviisa,8521.0,8492.0,8480.0,8480.0,8412.0,8346.0,8349.0,8221.0,8168.0,8171.0,8129.0,8101
Myrskylä,1763.0,1751.0,1751.0,1753.0,1726.0,1728.0,1718.0,1671.0,1638.0,1613.0,1582.0,1539
Mäntsälä,19602.0,19892.0,19916.0,19986.0,20005.0,20111.0,19983.0,19824.0,19785.0,19796.0,19795.0,19769
Nurmijärvi,38873.0,39112.0,39480.0,39748.0,39957.0,39869.0,39891.0,40178.0,40191.0,40537.0,40745.0,40747
Pornainen,4924.0,4938.0,4950.0,4947.0,4917.0,4882.0,4883.0,4812.0,4773.0,4785.0,4760.0,4708
Porvoo,31630.0,31707.0,32002.0,32105.0,32193.0,32167.0,32088.0,32168.0,32252.0,32388.0,32797.0,32732
Pukkila,1969.0,2001.0,1984.0,1961.0,1911.0,1911.0,1866.0,1823.0,1788.0,1765.0,1779.0,1738
Raasepori,8944.0,8858.0,8820.0,8844.0,8747.0,8611.0,8585.0,8517.0,8452.0,8476.0,8451.0,8370
Sipoo,11254.0,11474.0,11612.0,11731.0,12069.0,12465.0,12744.0,13045.0,13574.0,13945.0,14357.0,14465
Siuntio,4093.0,4117.0,4111.0,4137.0,4116.0,4067.0,4069.0,4086.0,4088.0,4062.0,4083.0,4102
Tuusula,36159.0,36319.0,36382.0,36372.0,36509.0,36445.0,36309.0,36034.0,35769.0,35749.0,36367.0,36892
Vantaa,175209.0,175219.0,174844.0,174815.0,175824.0,177241.0,178024.0,179457.0,180904.0,180471.0,178696.0,177067
Vihti,27245.0,27230.0,27384.0,27372.0,27205.0,27150.0,27150.0,27163.0,27025.0,26900.0,26911.0,26533
Aura,3877.0,3862.0,3851.0,3855.0,3843.0,3850.0,3861.0,3845.0,3810.0,3831.0,3831.0,3839
Kaarina,29014.0,29105.0,29389.0,29585.0,29941.0,29934.0,30166.0,30355.0,30683.0,31246.0,31888.0,32027
Kemiönsaari,1980.0,1956.0,1931.0,1932.0,1924.0,1931.0,1903.0,1898.0,1896.0,1928.0,1952.0,1946
Koski Tl,2378.0,2375.0,2341.0,2339.0,2298.0,2295.0,2247.0,2234.0,2205.0,2190.0,2167.0,2115
Kustavi,855.0,857.0,837.0,858.0,858.0,872.0,878.0,887.0,913.0,926.0,931.0,900
Laitila,8181.0,8198.0,8192.0,8190.0,8139.0,8073.0,8114.0,8027.0,7916.0,7750.0,7677.0,7520
Lieto,18065.0,18370.0,18475.0,18509.0,18502.0,18613.0,18750.0,18939.0,19067.0,19149.0,19218.0,19346
Loimaa,16533.0,16376.0,16290.0,16169.0,16002.0,15782.0,15632.0,15499.0,15286.0,15108.0,14974.0,14699
Marttila,1958.0,1972.0,2009.0,2013.0,1970.0,1960.0,1926.0,1947.0,1941.0,1924.0,1916.0,1901
Masku,9389.0,9460.0,9507.0,9540.0,9484.0,9441.0,9399.0,9295.0,9256.0,9227.0,9274.0,9278
Mynämäki,7891.0,7820.0,7778.0,7746.0,7677.0,7652.0,7637.0,7563.0,7432.0,7397.0,7315.0,7237
Naantali,18360.0,18304.0,18298.0,18294.0,18356.0,18420.0,18480.0,18512.0,18543.0,18613.0,18688.0,18921
Nousiainen,4733.0,4759.0,4783.0,4745.0,4762.0,4724.0,4714.0,4623.0,4602.0,4570.0,4548.0,4501
Oripää,1370.0,1371.0,1352.0,1333.0,1298.0,1288.0,1304.0,1269.0,1235.0,1231.0,1221.0,1206
Paimio,10247.0,10349.0,10345.0,10377.0,10332.0,10389.0,10381.0,10449.0,10442.0,10480.0,10576.0,10639
Parainen,6393.0,6468.0,6436.0,6437.0,6426.0,6420.0,6375.0,6348.0,6295.0,6286.0,6280.0,6223
Pyhäranta,2180.0,2172.0,2148.0,2105.0,2102.0,2041.0,2041.0,1988.0,1956.0,1944.0,1927.0,1896
Pöytyä,8301.0,8358.0,8362.0,8358.0,8281.0,8193.0,8097.0,8001.0,7921.0,7846.0,7806.0,7712
Raisio,23000.0,22893.0,22799.0,22515.0,22363.0,22299.0,22145.0,21969.0,21735.0,21851.0,22037.0,21936
Rusko,5741.0,5774.0,5847.0,5888.0,5936.0,5935.0,6042.0,6016.0,6082.0,6090.0,6094.0,6129
Salo,51850.0,51414.0,51026.0,50621.0,50230.0,49769.0,49236.0,48563.0,48041.0,47621.0,47385.0,46698
Sauvo,2896.0,2893.0,2892.0,2860.0,2877.0,2905.0,2860.0,2833.0,2781.0,2781.0,2774.0,2723
Somero,9026.0,8973.0,8878.0,8867.0,8793.0,8714.0,8597.0,8512.0,8368.0,8290.0,8204.0,8065
Taivassalo,1630.0,1612.0,1596.0,1569.0,1557.0,1545.0,1570.0,1576.0,1549.0,1564.0,1576.0,1577
Turku,154744.0,154964.0,155573.0,156161.0,157081.0,157536.0,158343.0,159018.0,159506.0,159812.0,159283.0,159726
Uusikaupunki,15465.0,15254.0,15204.0,15241.0,15129.0,14983.0,15148.0,14857.0,14542.0,14305.0,14195.0,13903
Vehmaa,2318.0,2288.0,2281.0,2286.0,2219.0,2220.0,2253.0,2219.0,2225.0,2209.0,2180.0,2132
Eura,12206.0,12151.0,12070.0,11985.0,11783.0,11646.0,11543.0,11360.0,11228.0,11073.0,10974.0,10809
Eurajoki,9031.0,9112.0,9101.0,9109.0,9091.0,9086.0,9081.0,9096.0,9049.0,9075.0,8995.0,8868
Harjavalta,7348.0,7317.0,7222.0,7169.0,7092.0,7014.0,6901.0,6780.0,6693.0,6615.0,6512.0,6460
Huittinen,10336.0,10321.0,10229.0,10164.0,10120.0,10044.0,9822.0,9692.0,9631.0,9523.0,9447.0,9297
Jämijärvi,1991.0,1972.0,1946.0,1962.0,1909.0,1875.0,1830.0,1773.0,1703.0,1669.0,1649.0,1644
