City,2010_taloudet_yhteensa_te,2011_taloudet_yhteensa_te,2012_taloudet_yhteensa_te,2013_taloudet_yhteensa_te,2014_taloudet_yhteensa_te,2015_taloudet_yhteensa_te,2016_taloudet_yhteensa_te,2017_taloudet_yhteensa_te,2018_taloudet_yhteensa_te,2019_taloudet_yhteensa_te,2020_taloudet_yhteensa_te,2021_taloudet_yhteensa_te
Askola,1974.0,1996.0,2030.0,2048.0,2067.0,2071.0,2067.0,2064.0,2077.0,2084.0,2110.0,2111.0
Espoo,107913.0,109940.0,112203.0,113790.0,115652.0,117424.0,119963.0,122910.0,125871.0,129908.0,132797.0,136194.0
Hanko,4684.0,4672.0,4614.0,4583.0,4547.0,4506.0,4414.0,4376.0,4360.0,4307.0,4287.0,4247.0
Helsinki,303982.0,306918.0,311243.0,315141.0,318225.0,321381.0,325319.0,330933.0,335061.0,339786.0,344898.0,347146.0
Hyvinkää,21316.0,21425.0,21587.0,21970.0,22123.0,22349.0,22564.0,22768.0,22950.0,23154.0,23512.0,23907.0
Inkoo,2316.0,2363.0,2372.0,2384.0,2381.0,2386.0,2402.0,2397.0,2405.0,2410.0,2410.0,2422.0
Järvenpää,17635.0,17861.0,18361.0,18524.0,18850.0,19171.0,19560.0,20346.0,21020.0,21360.0,22045.0,22577.0
Karkkila,4290.0,4299.0,4270.0,4283.0,4249.0,4242.0,4207.0,4217.0,4208.0,4268.0,4302.0,4316.0
Kauniainen,3428.0,3462.0,3557.0,3669.0,3787.0,3826.0,3813.0,3994.0,4029.0,4106.0,4369.0,4474.0
Kerava,16010.0,16205.0,16330.0,16598.0,16856.0,16915.0,17103.0,17257.0,17855.0,18295.0,18659.0,18760.0
Kirkkonummi,14700.0,14854.0,15046.0,15274.0,15531.0,15854.0,16116.0,16368.0,16652.0,17012.0,17462.0,17879.0
Lapinjärvi,1314.0,1327.0,1319.0,1319.0,1315.0,1314.0,1305.0,1276.0,1260.0,1247.0,1251.0,1248.0
Lohja,21257.0,21324.0,21537.0,21664.0,21760.0,21728.0,21779.0,21847.0,21816.0,21904.0,22026.0,22281.0
Loviisa,7570.0,7550.0,7578.0,7570.0,7572.0,7569.0,7545.0,7540.0,7491.0,7480.0,7512.0,7493.0
Myrskylä,892.0,902.0,883.0,886.0,881.0,877.0,887.0,892.0,878.0,875.0,886.0,871.0
Mäntsälä,8087.0,8153.0,8329.0,8405.0,8519.0,8595.0,8721.0,8802.0,8894.0,8968.0,9115.0,9188.0
Nurmijärvi,15498.0,15746.0,16006.0,16280.0,16541.0,16798.0,17072.0,17297.0,17816.0,18327.0,18907.0,19223.0
Pornainen,1795.0,1832.0,1852.0,1878.0,1895.0,1897.0,1903.0,1935.0,1936.0,1966.0,1996.0,2018.0
Porvoo,21788.0,21928.0,22128.0,22359.0,22579.0,22855.0,22919.0,23053.0,23280.0,23536.0,23884.0,24219.0
Pukkila,868.0,862.0,875.0,884.0,882.0,869.0,872.0,862.0,866.0,853.0,854.0,863.0
Raasepori,13587.0,13624.0,13599.0,13584.0,13646.0,13641.0,13613.0,13565.0,13586.0,13665.0,13711.0,13822.0
Sipoo,7224.0,7271.0,7420.0,7509.0,7579.0,7829.0,8161.0,8376.0,8662.0,9087.0,9509.0,9774.0
Siuntio,2382.0,2420.0,2448.0,2484.0,2515.0,2537.0,2540.0,2537.0,2565.0,2605.0,2632.0,2670.0
Tuusula,15048.0,15285.0,15447.0,15610.0,15754.0,15986.0,16183.0,16345.0,16536.0,16659.0,16964.0,17516.0
Vantaa,91152.0,92745.0,94090.0,95398.0,96687.0,98885.0,101529.0,104180.0,107440.0,111348.0,114198.0,116058.0
Vihti,11718.0,11933.0,12063.0,12186.0,12301.0,12391.0,12493.0,12745.0,12903.0,13057.0,13166.0,13284.0
Aura,1653.0,1672.0,1702.0,1708.0,1718.0,1734.0,1747.0,1764.0,1774.0,1786.0,1790.0,1805.0
Kaarina,13225.0,13343.0,13530.0,13779.0,13999.0,14152.0,14263.0,14549.0,14842.0,15159.0,15643.0,16025.0
Kemiönsaari,3420.0,3446.0,3443.0,3442.0,3427.0,3418.0,3421.0,3409.0,3385.0,3348.0,3373.0,3390.0
Koski Tl,1188.0,1207.0,1189.0,1181.0,1182.0,1173.0,1192.0,1174.0,1179.0,1171.0,1167.0,1164.0
Kustavi,446.0,443.0,452.0,444.0,459.0,470.0,480.0,487.0,483.0,501.0,505.0,509.0
Laitila,3903.0,3887.0,3930.0,3942.0,3953.0,3999.0,4000.0,4041.0,4082.0,4097.0,4069.0,4068.0
Lieto,7241.0,7448.0,7617.0,7679.0,7740.0,7820.0,7951.0,8096.0,8215.0,8384.0,8562.0,8701.0
Loimaa,8187.0,8224.0,8185.0,8191.0,8199.0,8180.0,8111.0,8107.0,8113.0,8094.0,8096.0,8090.0
Marttila,929.0,934.0,939.0,957.0,961.0,954.0,964.0,948.0,959.0,959.0,959.0,973.0
Masku,3616.0,3678.0,3731.0,3774.0,3794.0,3809.0,3824.0,3841.0,3842.0,3865.0,3888.0,3930.0
Mynämäki,3531.0,3560.0,3550.0,3562.0,3584.0,3579.0,3595.0,3612.0,3617.0,3590.0,3612.0,3594.0
Naantali,8584.0,8673.0,8710.0,8727.0,8834.0,8900.0,8949.0,9004.0,9126.0,9226.0,9406.0,9574.0
Nousiainen,1905.0,1907.0,1930.0,1935.0,1941.0,1963.0,1957.0,1969.0,1968.0,1980.0,1970.0,1966.0
Oripää,635.0,635.0,644.0,640.0,634.0,624.0,623.0,629.0,619.0,614.0,616.0,610.0
Paimio,4627.0,4667.0,4738.0,4717.0,4760.0,4806.0,4858.0,4874.0,4925.0,4970.0,5018.0,5099.0
Parainen,7021.0,7004.0,7008.0,7002.0,7042.0,7090.0,7112.0,7092.0,7105.0,7116.0,7192.0,7229.0
Pyhäranta,962.0,961.0,956.0,947.0,948.0,950.0,940.0,953.0,955.0,953.0,948.0,953.0
Pöytyä,3742.0,3758.0,3790.0,3811.0,3812.0,3812.0,3793.0,3792.0,3797.0,3781.0,3785.0,3815.0
Raisio,11391.0,11486.0,11547.0,11564.0,11559.0,11577.0,11642.0,11700.0,11700.0,11735.0,11974.0,12217.0
Rusko,2165.0,2211.0,2249.0,2286.0,2342.0,2383.0,2402.0,2472.0,2499.0,2520.0,2546.0,2586.0
Salo,26204.0,26227.0,26208.0,26161.0,26150.0,26155.0,26122.0,26101.0,26048.0,25997.0,26128.0,26300.0
Sauvo,1335.0,1336.0,1345.0,1363.0,1359.0,1366.0,1376.0,1368.0,1354.0,1366.0,1378.0,1385.0
Somero,4443.0,4426.0,4452.0,4422.0,4452.0,4434.0,4429.0,4385.0,4381.0,4345.0,4342.0,4325.0
Taivassalo,810.0,815.0,809.0,806.0,793.0,792.0,788.0,816.0,816.0,810.0,812.0,819.0
Turku,95185.0,96072.0,97346.0,98252.0,99052.0,100153.0,101331.0,102969.0,105025.0,106987.0,108794.0,110254.0
Uusikaupunki,7813.0,7762.0,7675.0,7692.0,7781.0,7796.0,7815.0,7972.0,8013.0,8005.0,7982.0,8081.0
Vehmaa,1107.0,1112.0,1102.0,1110.0,1109.0,1088.0,1091.0,1123.0,1119.0,1118.0,1128.0,1122.0
Eura,5748.0,5724.0,5734.0,5747.0,5740.0,5738.0,5703.0,5648.0,5612.0,5576.0,5579.0,5570.0
Eurajoki,3957.0,3942.0,3980.0,3991.0,4010.0,4006.0,4060.0,4144.0,4118.0,4132.0,4163.0,4118.0
Harjavalta,3812.0,3801.0,3831.0,3816.0,3801.0,3772.0,3747.0,3737.0,3705.0,3676.0,3656.0,3622.0
Huittinen,5162.0,5127.0,5151.0,5168.0,5178.0,5168.0,5150.0,5108.0,5084.0,5121.0,5106.0,5093.0
Jämijärvi,896.0,871.0,871.0,874.0,876.0,865.0,851.0,836.0,822.0,812.0,813.0,807.0
Kankaanpää,6645.0,6607.0,6597.0,6623.0,6595.0,6595.0,6560.0,6512.0,6507.0,6471.0,6446.0,6444.0
Karvia,1200.0,1199.0,1182.0,1177.0,1183.0,1195.0,1188.0,1165.0,1166.0,1151.0,1153.0,1149.0
Kokemäki,3830.0,3798.0,3807.0,3774.0,3782.0,3739.0,3703.0,3670.0,3649.0,3625.0,3634.0,3607.0
Merikarvia,1561.0,1558.0,1531.0,1548.0,1542.0,1514.0,1513.0,1509.0,1501.0,1482.0,1479.0,1477.0
