City,2011_ulkomaalaistaustaisia,2012_ulkomaalaistaustaisia,2013_ulkomaalaistaustaisia,2014_ulkomaalaistaustaisia,2015_ulkomaalaistaustaisia,2016_ulkomaalaistaustaisia,2017_ulkomaalaistaustaisia,2018_ulkomaalaistaustaisia,2019_ulkomaalaistaustaisia,2020_ulkomaalaistaustaisia,2021_ulkomaalaistaustaisia,2022_ulkomaalaistaustaisia
Askola,97.0,108.0,117.0,115.0,133.0,132.0,128.0,128.0,140.0,144.0,156.0,166
Espoo,26402.0,29369.0,32361.0,35585.0,38631.0,41963.0,44935.0,48346.0,52379.0,55821.0,59837.0,67089
Hanko,354.0,407.0,407.0,404.0,398.0,422.0,410.0,400.0,381.0,376.0,378.0,372
Helsinki,70553.0,75842.0,80610.0,85592.0,89878.0,94980.0,99996.0,103499.0,107757.0,111013.0,116004.0,123676
Hyvinkää,1854.0,2014.0,2164.0,2279.0,2345.0,2505.0,2644.0,2751.0,2872.0,3044.0,3208.0,3389
Inkoo,167.0,175.0,192.0,209.0,213.0,255.0,249.0,242.0,237.0,251.0,268.0,280
Järvenpää,1331.0,1535.0,1635.0,1792.0,1872.0,2086.0,2206.0,2417.0,2583.0,2857.0,3102.0,3323
Karkkila,388.0,434.0,453.0,433.0,454.0,468.0,527.0,537.0,536.0,562.0,622.0,658
Kauniainen,423.0,436.0,487.0,541.0,577.0,599.0,648.0,725.0,825.0,915.0,991.0,1009
Kerava,2100.0,2332.0,2611.0,2915.0,3118.0,3338.0,3590.0,3948.0,4332.0,4726.0,5127.0,5586
Kirkkonummi,1768.0,2054.0,2247.0,2428.0,2542.0,2815.0,3006.0,3209.0,3464.0,3789.0,4052.0,4411
Lapinjärvi,88.0,106.0,117.0,125.0,132.0,147.0,151.0,147.0,149.0,162.0,177.0,180
Lohja,1431.0,1583.0,1676.0,1798.0,1830.0,1938.0,1974.0,2006.0,2097.0,2291.0,2448.0,2641
Loviisa,475.0,506.0,533.0,563.0,556.0,614.0,612.0,649.0,655.0,696.0,727.0,749
Myrskylä,35.0,35.0,36.0,44.0,51.0,67.0,70.0,76.0,69.0,85.0,66.0,68
Mäntsälä,369.0,415.0,438.0,458.0,497.0,553.0,631.0,659.0,735.0,811.0,871.0,972
Nurmijärvi,1015.0,1147.0,1244.0,1370.0,1466.0,1664.0,1780.0,2004.0,2313.0,2643.0,2900.0,3234
Pornainen,81.0,87.0,92.0,96.0,107.0,112.0,122.0,139.0,151.0,174.0,189.0,191
Porvoo,2272.0,2426.0,2557.0,2817.0,2976.0,3274.0,3443.0,3553.0,3696.0,3822.0,3993.0,4201
Pukkila,33.0,31.0,34.0,41.0,46.0,62.0,60.0,60.0,56.0,57.0,57.0,56
