City,2011_ulkomaan_kansalaisia,2012_ulkomaan_kansalaisia,2013_ulkomaan_kansalaisia,2014_ulkomaan_kansalaisia,2015_ulkomaan_kansalaisia,2016_ulkomaan_kansalaisia,2017_ulkomaan_kansalaisia,2018_ulkomaan_kansalaisia,2019_ulkomaan_kansalaisia,2020_ulkomaan_kansalaisia,2021_ulkomaan_kansalaisia,2022_ulkomaan_kansalaisia
Askola,76.0,84.0,91.0,88.0,103.0,102.0,89.0,84.0,92.0,90.0,100.0,109
Espoo,18813.0,20612.0,22398.0,24490.0,26243.0,27983.0,29173.0,31051.0,33576.0,35810.0,38557.0,43958
Hanko,266.0,324.0,322.0,315.0,307.0,320.0,311.0,300.0,271.0,274.0,279.0,267
Helsinki,47878.0,50661.0,52882.0,55445.0,57607.0,59770.0,60969.0,62079.0,63650.0,64937.0,68033.0,73076
Hyvinkää,1261.0,1346.0,1433.0,1512.0,1545.0,1674.0,1764.0,1797.0,1878.0,1995.0,2120.0,2202
Inkoo,131.0,128.0,134.0,146.0,150.0,186.0,180.0,167.0,167.0,180.0,190.0,200
Järvenpää,910.0,1046.0,1119.0,1233.0,1290.0,1428.0,1450.0,1594.0,1698.0,1855.0,2009.0,2153
Karkkila,345.0,385.0,397.0,378.0,398.0,408.0,452.0,458.0,452.0,473.0,524.0,547
Kauniainen,319.0,336.0,364.0,397.0,425.0,442.0,469.0,524.0,582.0,618.0,669.0,701
Kerava,1566.0,1733.0,1921.0,2168.0,2341.0,2488.0,2623.0,2843.0,3031.0,3290.0,3622.0,3958
Kirkkonummi,1330.0,1548.0,1684.0,1812.0,1901.0,2079.0,2167.0,2314.0,2488.0,2709.0,2875.0,3106
Lapinjärvi,83.0,99.0,107.0,114.0,123.0,134.0,139.0,127.0,122.0,141.0,155.0,155
Lohja,1115.0,1238.0,1312.0,1385.0,1398.0,1470.0,1463.0,1451.0,1496.0,1647.0,1754.0,1872
Loviisa,378.0,404.0,425.0,438.0,437.0,489.0,479.0,500.0,501.0,527.0,538.0,552
Myrskylä,33.0,33.0,32.0,41.0,42.0,49.0,52.0,55.0,58.0,63.0,58.0,59
