City,2011_vaestollinen_huoltosuhde,2012_vaestollinen_huoltosuhde,2013_vaestollinen_huoltosuhde,2014_vaestollinen_huoltosuhde,2015_vaestollinen_huoltosuhde,2016_vaestollinen_huoltosuhde,2017_vaestollinen_huoltosuhde,2018_vaestollinen_huoltosuhde,2019_vaestollinen_huoltosuhde,2020_vaestollinen_huoltosuhde,2021_vaestollinen_huoltosuhde,2022_vaestollinen_huoltosuhde
Askola,54.2,55.9,57.5,58.8,61.3,63.0,64.2,64.3,63.9,63.8,64.9,65.3
Espoo,46.1,47.2,48.4,49.5,50.2,50.7,51.1,51.4,50.9,51.0,50.7,49.8
Hanko,60.5,64.1,67.2,69.9,72.3,74.5,77.5,78.9,81.0,81.5,83.2,83.5
Helsinki,40.8,41.6,42.6,43.4,44.0,44.5,45.2,45.6,46.1,46.5,46.9,46.8
Hyvinkää,51.3,52.3,53.7,54.9,56.2,57.3,58.3,59.9,60.3,60.8,61.9,62.3
Inkoo,59.8,61.6,63.8,66.1,68.2,68.3,68.4,68.9,71.0,69.0,68.9,70.8
Järvenpää,44.3,45.8,47.9,49.3,50.8,52.1,53.1,53.7,54.8,55.5,56.2,57.1
Karkkila,57.7,60.2,62.4,64.2,66.4,68.1,69.3,70.8,70.6,71.4,72.3,73.0
Kauniainen,63.5,64.6,64.1,64.4,64.4,64.5,64.9,65.7,66.2,65.5,66.7,68.5
Kerava,45.8,47.2,49.3,50.8,52.3,53.8,55.4,55.3,55.7,56.8,57.8,57.1
Kirkkonummi,52.3,53.3,54.7,55.7,56.3,56.1,56.7,56.9,56.4,56.0,56.1,55.5
Lapinjärvi,63.9,67.5,69.2,69.5,72.2,73.1,76.5,78.6,78.2,79.8,81.9,82.3
Lohja,56.3,57.8,59.1,60.4,62.1,63.1,64.6,66.1,67.2,68.2,68.7,68.7
Loviisa,61.0,63.4,65.5,66.2,68.6,69.5,70.8,72.4,74.1,75.5,76.6,77.9
Myrskylä,62.1,64.5,65.9,69.1,72.0,77.2,76.0,77.5,79.2,81.8,80.0,80.2
Mäntsälä,56.8,57.8,59.0,59.8,60.6,61.9,62.1,62.8,63.2,63.9,64.1,63.5
Nurmijärvi,54.7,55.6,56.4,57.3,58.2,58.8,59.4,59.2,59.0,58.3,57.9,58.1
Pornainen,58.0,57.3,58.0,58.8,57.8,58.1,58.1,58.1,56.9,56.9,56.5,57.6
Porvoo,52.1,53.9,55.6,56.7,58.3,59.2,60.7,61.3,61.9,62.7,63.3,63.8
Pukkila,64.6,64.9,64.2,66.0,65.6,64.8,66.7,64.1,65.8,65.1,63.0,63.2
Raasepori,61.0,62.5,64.0,65.0,66.8,68.2,69.6,71.3,72.4,72.5,73.5,73.8
Sipoo,56.1,56.0,57.4,57.9,58.0,57.8,58.1,57.8,56.1,55.7,55.8,55.9
Siuntio,53.7,53.9,56.0,56.5,58.6,59.7,61.0,60.2,59.6,58.6,58.4,59.1
Tuusula,51.5,52.3,53.5,55.2,55.9,57.0,57.1,57.3,57.9,57.9,57.1,57.1
Vantaa,44.8,46.2,47.4,48.4,49.0,49.0,49.2,48.9,48.7,48.6,48.4,47.8
Vihti,51.5,53.4,54.7,55.7,57.0,58.1,59.2,60.5,61.2,61.8,61.7,62.1
Aura,54.2,56.7,57.5,58.7,60.5,61.0,61.5,62.4,63.5,66.2,68.1,68.7
Kaarina,56.1,58.1,60.0,61.2,62.7,63.7,64.4,65.3,66.1,65.9,66.3,66.1
Kemiönsaari,67.4,72.0,74.6,77.5,78.4,80.8,82.2,83.9,86.9,87.5,90.2,91.4
Koski Tl,71.3,72.3,78.0,78.3,81.3,81.1,84.6,85.7,89.0,89.6,86.8,85.6
Kustavi,67.2,67.7,70.4,77.3,79.4,84.9,86.8,89.0,91.3,93.2,97.4,101.7
Laitila,62.9,64.2,66.3,67.3,68.2,68.2,68.2,68.2,68.8,71.2,71.2,71.6
Lieto,57.5,58.9,60.6,61.7,63.0,62.8,63.4,63.9,64.0,64.4,64.6,65.3
Loimaa,63.7,66.1,68.5,70.7,72.4,73.8,75.3,76.8,76.9,79.5,81.6,82.2
Marttila,64.6,67.4,69.6,70.1,72.7,73.5,75.3,76.1,75.2,77.5,80.3,81.6
Masku,57.4,57.8,59.4,60.4,61.2,62.0,62.7,63.7,64.2,63.6,63.3,62.8
