City,2011_vakiluvun_muutos,2012_vakiluvun_muutos,2013_vakiluvun_muutos,2014_vakiluvun_muutos,2015_vakiluvun_muutos,2016_vakiluvun_muutos,2017_vakiluvun_muutos,2018_vakiluvun_muutos,2019_vakiluvun_muutos,2020_vakiluvun_muutos,2021_vakiluvun_muutos,2022_vakiluvun_muutos
Askola,47.0,77.0,3.0,73.0,40.0,-58.0,-56.0,-32.0,-15.0,-65.0,-31.0,-84
Espoo,4469.0,4385.0,3929.0,4790.0,4259.0,4781.0,4461.0,4588.0,6099.0,3065.0,4336.0,8142
Hanko,-45.0,-150.0,-158.0,-88.0,-157.0,-201.0,-146.0,-138.0,-180.0,-157.0,-63.0,-147
Helsinki,6835.0,8584.0,8696.0,8051.0,7493.0,6973.0,8091.0,4770.0,5793.0,3085.0,1537.0,5571
Hyvinkää,38.0,65.0,596.0,178.0,97.0,133.0,143.0,-235.0,-34.0,106.0,304.0,-83
Inkoo,15.0,-23.0,24.0,-2.0,-19.0,44.0,-104.0,-78.0,-17.0,-65.0,32.0,31
Järvenpää,286.0,680.0,307.0,437.0,510.0,629.0,1043.0,838.0,301.0,744.0,771.0,404
Karkkila,-19.0,-71.0,-45.0,-97.0,-8.0,-58.0,-11.0,-122.0,-64.0,-18.0,21.0,-114
Kauniainen,118.0,103.0,191.0,256.0,129.0,-89.0,227.0,-9.0,182.0,381.0,218.0,-112
Kerava,267.0,-58.0,422.0,404.0,-24.0,218.0,43.0,700.0,502.0,349.0,127.0,444
Kirkkonummi,250.0,375.0,332.0,321.0,429.0,384.0,137.0,92.0,324.0,496.0,351.0,289
Lapinjärvi,-24.0,-19.0,-9.0,-41.0,-5.0,-35.0,-33.0,-41.0,-59.0,15.0,-41.0,-62
Lohja,33.0,142.0,187.0,-79.0,-271.0,-204.0,-364.0,-489.0,-331.0,-79.0,102.0,-177
Loviisa,-43.0,-33.0,-26.0,-13.0,-169.0,-103.0,-123.0,-194.0,-119.0,-27.0,-102.0,-75
Myrskylä,2.0,-16.0,-5.0,-2.0,-16.0,17.0,-17.0,-47.0,-40.0,-11.0,-55.0,-52
Mäntsälä,156.0,347.0,56.0,87.0,64.0,168.0,-50.0,-117.0,35.0,62.0,54.0,75
Nurmijärvi,412.0,370.0,459.0,399.0,320.0,113.0,149.0,506.0,328.0,670.0,464.0,331
Pornainen,15.0,15.0,8.0,3.0,-23.0,-17.0,13.0,-53.0,-33.0,35.0,-4.0,-55
Porvoo,65.0,195.0,398.0,302.0,200.0,216.0,15.0,103.0,118.0,239.0,530.0,83
Pukkila,-8.0,31.0,-11.0,-23.0,-42.0,17.0,-48.0,-41.0,-39.0,-27.0,15.0,-41
Raasepori,-106.0,-130.0,-134.0,-21.0,-269.0,-328.0,-226.0,-259.0,-56.0,-8.0,-44.0,-178
Sipoo,273.0,213.0,175.0,120.0,365.0,523.0,388.0,356.0,504.0,517.0,503.0,130
Siuntio,44.0,22.0,13.0,16.0,-17.0,-4.0,-32.0,-12.0,11.0,4.0,49.0,19
Tuusula,453.0,269.0,189.0,73.0,261.0,129.0,58.0,18.0,-65.0,184.0,935.0,666
Vantaa,2946.0,2311.0,2786.0,2705.0,3802.0,4736.0,3686.0,5139.0,5609.0,3456.0,1975.0,3613
Vihti,270.0,93.0,255.0,66.0,-76.0,48.0,87.0,157.0,-53.0,2.0,79.0,-326
Aura,64.0,-4.0,-9.0,20.0,4.0,-2.0,7.0,-7.0,-43.0,18.0,-4.0,10
Kaarina,170.0,282.0,435.0,350.0,442.0,148.0,361.0,359.0,479.0,730.0,830.0,351
Kemiönsaari,-18.0,-98.0,-63.0,-69.0,-34.0,-37.0,-79.0,-69.0,-84.0,-31.0,5.0,-65
Koski Tl,5.0,9.0,-27.0,15.0,-39.0,17.0,-57.0,-19.0,-32.0,-16.0,-21.0,-44
Kustavi,12.0,3.0,-20.0,23.0,3.0,13.0,15.0,3.0,23.0,13.0,9.0,-21
Laitila,-32.0,52.0,27.0,55.0,-22.0,0.0,90.0,37.0,-59.0,-120.0,-12.0,-90
Lieto,429.0,348.0,146.0,81.0,54.0,155.0,178.0,235.0,163.0,152.0,145.0,206
Loimaa,-68.0,-111.0,-37.0,-93.0,-140.0,-200.0,-117.0,-118.0,-157.0,-105.0,-142.0,-236
Marttila,4.0,19.0,39.0,14.0,-42.0,-7.0,-33.0,30.0,-5.0,-14.0,-9.0,-12
Masku,130.0,86.0,58.0,38.0,-61.0,-31.0,-19.0,-102.0,-20.0,9.0,69.0,30
Mynämäki,3.0,-66.0,-28.0,-33.0,-58.0,-17.0,-4.0,-72.0,-112.0,-9.0,-51.0,-55
