City,2011_vakiluvun_muutos_p,2012_vakiluvun_muutos_p,2013_vakiluvun_muutos_p,2014_vakiluvun_muutos_p,2015_vakiluvun_muutos_p,2016_vakiluvun_muutos_p,2017_vakiluvun_muutos_p,2018_vakiluvun_muutos_p,2019_vakiluvun_muutos_p,2020_vakiluvun_muutos_p,2021_vakiluvun_muutos_p,2022_vakiluvun_muutos_p
Askola,1.0,1.6,0.1,1.5,0.8,-1.1,-1.1,-0.6,-0.3,-1.3,-0.6,-1.7
Espoo,1.8,1.7,1.5,1.8,1.6,1.8,1.6,1.6,2.2,1.1,1.5,2.7
Hanko,-0.5,-1.6,-1.7,-1.0,-1.7,-2.3,-1.7,-1.6,-2.1,-1.9,-0.8,-1.8
Helsinki,1.2,1.4,1.4,1.3,1.2,1.1,1.3,0.7,0.9,0.5,0.2,0.8
Hyvinkää,0.1,0.1,1.3,0.4,0.2,0.3,0.3,-0.5,-0.1,0.2,0.7,-0.2
Inkoo,0.3,-0.4,0.4,0.0,-0.3,0.8,-1.9,-1.4,-0.3,-1.2,0.6,0.6
Järvenpää,0.7,1.7,0.8,1.1,1.3,1.5,2.5,2.0,0.7,1.7,1.7,0.9
Karkkila,-0.2,-0.8,-0.5,-1.1,-0.1,-0.6,-0.1,-1.4,-0.7,-0.2,0.2,-1.3
Kauniainen,1.4,1.2,2.1,2.8,1.4,-0.9,2.4,-0.1,1.9,3.9,2.1,-1.1
Kerava,0.8,-0.2,1.2,1.2,-0.1,0.6,0.1,2.0,1.4,0.9,0.3,1.2
Kirkkonummi,0.7,1.0,0.9,0.8,1.1,1.0,0.4,0.2,0.8,1.3,0.9,0.7
Lapinjärvi,-0.8,-0.7,-0.3,-1.5,-0.2,-1.3,-1.2,-1.5,-2.2,0.6,-1.6,-2.4
Lohja,0.1,0.3,0.4,-0.2,-0.6,-0.4,-0.8,-1.0,-0.7,-0.2,0.2,-0.4
Loviisa,-0.3,-0.2,-0.2,-0.1,-1.1,-0.7,-0.8,-1.3,-0.8,-0.2,-0.7,-0.5
Myrskylä,0.1,-0.8,-0.3,-0.1,-0.8,0.9,-0.9,-2.4,-2.1,-0.6,-2.9,-2.9
Mäntsälä,0.8,1.7,0.3,0.4,0.3,0.8,-0.2,-0.6,0.2,0.3,0.3,0.4
