City,2011_vieraskielisia,2012_vieraskielisia,2013_vieraskielisia,2014_vieraskielisia,2015_vieraskielisia,2016_vieraskielisia,2017_vieraskielisia,2018_vieraskielisia,2019_vieraskielisia,2020_vieraskielisia,2021_vieraskielisia,2022_vieraskielisia
Askola,88.0,99.0,108.0,110.0,127.0,129.0,125.0,125.0,134.0,140.0,154.0,164
Espoo,26011.0,28976.0,31949.0,35194.0,38325.0,41652.0,44655.0,48085.0,52196.0,55624.0,59610.0,66730
Hanko,327.0,382.0,379.0,382.0,387.0,411.0,402.0,386.0,367.0,365.0,371.0,359
Helsinki,68323.0,73608.0,78469.0,83549.0,88132.0,93214.0,98269.0,101825.0,106059.0,109254.0,114117.0,121684
Hyvinkää,1771.0,1938.0,2070.0,2197.0,2269.0,2433.0,2584.0,2701.0,2835.0,3028.0,3192.0,3379
Inkoo,152.0,161.0,170.0,187.0,192.0,234.0,229.0,223.0,223.0,233.0,250.0,263
Järvenpää,1348.0,1548.0,1648.0,1809.0,1904.0,2105.0,2232.0,2443.0,2589.0,2853.0,3084.0,3299
Karkkila,377.0,418.0,443.0,423.0,444.0,459.0,515.0,526.0,531.0,554.0,613.0,653
Kauniainen,381.0,403.0,456.0,519.0,584.0,600.0,650.0,735.0,827.0,917.0,993.0,1015
Kerava,2037.0,2265.0,2549.0,2849.0,3062.0,3275.0,3535.0,3892.0,4253.0,4646.0,5043.0,5491
Kirkkonummi,1719.0,2005.0,2200.0,2365.0,2495.0,2764.0,2952.0,3158.0,3408.0,3744.0,4000.0,4363
Lapinjärvi,78.0,94.0,106.0,114.0,122.0,136.0,140.0,136.0,138.0,150.0,170.0,173
Lohja,1345.0,1508.0,1598.0,1726.0,1776.0,1881.0,1910.0,1935.0,2027.0,2231.0,2387.0,2567
Loviisa,438.0,478.0,509.0,542.0,533.0,584.0,586.0,618.0,626.0,670.0,696.0,720
Myrskylä,42.0,42.0,42.0,47.0,52.0,68.0,70.0,75.0,68.0,84.0,62.0,67
Mäntsälä,354.0,393.0,423.0,441.0,483.0,542.0,621.0,663.0,732.0,807.0,864.0,970
Nurmijärvi,984.0,1115.0,1219.0,1348.0,1451.0,1654.0,1762.0,1976.0,2280.0,2587.0,2839.0,3164
Pornainen,80.0,84.0,89.0,92.0,104.0,113.0,120.0,134.0,147.0,170.0,187.0,193
Porvoo,2111.0,2263.0,2417.0,2661.0,2847.0,3137.0,3303.0,3422.0,3556.0,3677.0,3857.0,4054
Pukkila,30.0,29.0,32.0,35.0,44.0,61.0,57.0,58.0,55.0,56.0,55.0,54
Raasepori,1006.0,1067.0,1119.0,1181.0,1193.0,1257.0,1245.0,1242.0,1305.0,1362.0,1414.0,1464
Sipoo,464.0,498.0,578.0,634.0,714.0,841.0,949.0,1007.0,1089.0,1243.0,1358.0,1420
Siuntio,209.0,210.0,241.0,243.0,266.0,314.0,323.0,319.0,351.0,391.0,451.0,472
Tuusula,889.0,1011.0,1139.0,1213.0,1358.0,1551.0,1743.0,2035.0,2246.0,2454.0,2776.0,2913
