City,2010_ylimpaan_tuloluokkaan_kuuluvat_asukkaat_hr,2011_ylimpaan_tuloluokkaan_kuuluvat_asukkaat_hr,2012_ylimpaan_tuloluokkaan_kuuluvat_asukkaat_hr,2013_ylimpaan_tuloluokkaan_kuuluvat_asukkaat_hr,2014_ylimpaan_tuloluokkaan_kuuluvat_asukkaat_hr,2015_ylimpaan_tuloluokkaan_kuuluvat_asukkaat_hr,2016_ylimpaan_tuloluokkaan_kuuluvat_asukkaat_hr,2017_ylimpaan_tuloluokkaan_kuuluvat_asukkaat_hr,2018_ylimpaan_tuloluokkaan_kuuluvat_asukkaat_hr,2019_ylimpaan_tuloluokkaan_kuuluvat_asukkaat_hr,2020_ylimpaan_tuloluokkaan_kuuluvat_asukkaat_hr,2021_ylimpaan_tuloluokkaan_kuuluvat_asukkaat_hr
Askola,937.0,959.0,967.0,952.0,980.0,996.0,952.0,974.0,939.0,927.0,917.0,919.0
Espoo,68681.0,69739.0,70792.0,71374.0,72284.0,73586.0,74170.0,75139.0,76008.0,77835.0,78947.0,80062.0
Hanko,1526.0,1437.0,1341.0,1248.0,1224.0,1216.0,1199.0,1219.0,1134.0,1143.0,1140.0,1123.0
Helsinki,132963.0,130354.0,132636.0,135221.0,137724.0,141176.0,143147.0,145735.0,150373.0,153985.0,154660.0,155568.0
Hyvinkää,7961.0,8086.0,8293.0,8326.0,8209.0,8328.0,8382.0,8375.0,8257.0,8414.0,8419.0,8358.0
Inkoo,1201.0,1206.0,1211.0,1212.0,1207.0,1215.0,1210.0,1237.0,1190.0,1153.0,1172.0,1216.0
Järvenpää,8389.0,8470.0,8603.0,8757.0,8616.0,8697.0,8799.0,8940.0,8945.0,8985.0,9087.0,8966.0
Karkkila,1253.0,1267.0,1329.0,1251.0,1243.0,1266.0,1221.0,1185.0,1159.0,1123.0,1164.0,1132.0
Kauniainen,3150.0,3232.0,3267.0,3347.0,3443.0,3514.0,3529.0,3549.0,3547.0,3622.0,3769.0,3908.0
Kerava,6963.0,6950.0,6991.0,6996.0,6940.0,6944.0,6917.0,6842.0,6724.0,6779.0,6800.0,6651.0
Kirkkonummi,9242.0,9336.0,9466.0,9539.0,9541.0,9678.0,9786.0,9803.0,9748.0,9759.0,9761.0,9879.0
Lapinjärvi,397.0,412.0,381.0,386.0,382.0,371.0,369.0,372.0,366.0,351.0,332.0,330.0
Lohja,8596.0,8704.0,8832.0,8870.0,8705.0,8613.0,8542.0,8394.0,8171.0,8162.0,8104.0,7972.0
Loviisa,2405.0,2371.0,2395.0,2425.0,2447.0,2409.0,2346.0,2340.0,2295.0,2251.0,2191.0,2173.0
Myrskylä,260.0,270.0,269.0,261.0,250.0,257.0,249.0,259.0,259.0,252.0,264.0,266.0
Mäntsälä,3663.0,3784.0,3871.0,3928.0,3979.0,3859.0,3862.0,3908.0,3894.0,3893.0,3877.0,3803.0
Nurmijärvi,9323.0,9417.0,9579.0,9661.0,9724.0,9717.0,9664.0,9693.0,9709.0,9729.0,9627.0,9739.0
Pornainen,1003.0,1033.0,1058.0,1077.0,1071.0,1026.0,1009.0,1020.0,1026.0,1055.0,1033.0,1058.0
Porvoo,10023.0,10025.0,10146.0,10250.0,10393.0,10500.0,10521.0,10417.0,10416.0,10446.0,10469.0,10622.0
Pukkila,332.0,332.0,335.0,337.0,325.0,304.0,308.0,289.0,299.0,293.0,289.0,291.0
Raasepori,4027.0,4019.0,3893.0,3839.0,3812.0,3784.0,3788.0,3742.0,3635.0,3638.0,3612.0,3722.0
Sipoo,4338.0,4512.0,4593.0,4662.0,4745.0,4855.0,4998.0,5111.0,5149.0,5229.0,5335.0,5436.0
Siuntio,1335.0,1379.0,1396.0,1388.0,1379.0,1383.0,1374.0,1383.0,1391.0,1342.0,1353.0,1401.0
Tuusula,8937.0,9104.0,9212.0,9068.0,9065.0,9154.0,9164.0,9201.0,9077.0,9046.0,9108.0,9122.0
Vantaa,39876.0,40363.0,40979.0,41345.0,41762.0,42656.0,42973.0,43331.0,43548.0,44359.0,44341.0,43598.0
Vihti,5945.0,5983.0,6095.0,6161.0,6098.0,6095.0,6032.0,5995.0,5977.0,5939.0,5979.0,5944.0
Aura,564.0,556.0,591.0,588.0,564.0,579.0,577.0,570.0,552.0,543.0,569.0,547.0
Kaarina,6025.0,6191.0,6256.0,6157.0,6246.0,6308.0,6387.0,6383.0,6427.0,6515.0,6685.0,6724.0
Kemiönsaari,868.0,884.0,880.0,824.0,865.0,854.0,847.0,849.0,827.0,814.0,818.0,865.0
Koski Tl,310.0,276.0,311.0,305.0,303.0,305.0,307.0,301.0,299.0,300.0,278.0,281.0
Kustavi,115.0,109.0,126.0,127.0,121.0,128.0,121.0,132.0,144.0,156.0,177.0,183.0
Laitila,961.0,968.0,942.0,977.0,1051.0,1001.0,1022.0,1059.0,1047.0,1019.0,980.0,975.0
Lieto,3472.0,3516.0,3669.0,3644.0,3711.0,3722.0,3796.0,3813.0,3822.0,3901.0,3876.0,3907.0
Loimaa,1875.0,1919.0,1965.0,1901.0,1952.0,1898.0,1870.0,1904.0,1904.0,1809.0,1799.0,1755.0
Marttila,282.0,265.0,291.0,276.0,278.0,281.0,293.0,297.0,325.0,315.0,298.0,284.0
Masku,1844.0,1895.0,1871.0,1849.0,1837.0,1823.0,1880.0,1919.0,1867.0,1881.0,1877.0,1922.0
Mynämäki,1137.0,1086.0,1110.0,1122.0,1078.0,1062.0,1076.0,1073.0,1070.0,1056.0,1054.0,999.0
Naantali,3813.0,3816.0,3805.0,3770.0,3771.0,3921.0,3929.0,3973.0,3965.0,3952.0,4062.0,4147.0
Nousiainen,770.0,794.0,806.0,788.0,753.0,757.0,763.0,778.0,743.0,762.0,750.0,733.0
Oripää,185.0,181.0,186.0,191.0,182.0,181.0,189.0,189.0,205.0,182.0,185.0,183.0
Paimio,1712.0,1778.0,1850.0,1819.0,1805.0,1782.0,1803.0,1782.0,1778.0,1783.0,1800.0,1772.0
Parainen,2729.0,2760.0,2788.0,2673.0,2745.0,2814.0,2804.0,2785.0,2732.0,2730.0,2680.0,2632.0
Pyhäranta,344.0,333.0,316.0,313.0,301.0,297.0,288.0,291.0,290.0,286.0,270.0,271.0
Pöytyä,1094.0,1037.0,1101.0,1080.0,1038.0,1043.0,1052.0,1073.0,1018.0,1026.0,992.0,1011.0
Raisio,4068.0,4089.0,4172.0,4007.0,3792.0,3855.0,3841.0,3821.0,3763.0,3859.0,3809.0,3715.0
Rusko,1063.0,1098.0,1099.0,1119.0,1139.0,1130.0,1156.0,1207.0,1177.0,1168.0,1175.0,1201.0
Salo,7987.0,7737.0,8014.0,7101.0,7040.0,6884.0,6800.0,6497.0,6604.0,6671.0,6619.0,6737.0
Sauvo,535.0,539.0,514.0,514.0,491.0,497.0,522.0,525.0,480.0,462.0,482.0,479.0
Somero,1108.0,1142.0,1213.0,1148.0,1182.0,1153.0,1167.0,1165.0,1139.0,1156.0,1108.0,1060.0
Taivassalo,193.0,208.0,229.0,234.0,222.0,221.0,230.0,244.0,234.0,238.0,252.0,255.0
Turku,24688.0,24776.0,25133.0,25196.0,24939.0,25432.0,25753.0,26182.0,26205.0,26794.0,26858.0,26993.0
Uusikaupunki,1874.0,1934.0,1810.0,1889.0,1927.0,1914.0,1905.0,2037.0,1980.0,1907.0,1842.0,1822.0
Vehmaa,243.0,280.0,274.0,283.0,286.0,269.0,285.0,295.0,262.0,268.0,262.0,243.0
Eura,1679.0,1654.0,1624.0,1624.0,1671.0,1628.0,1628.0,1689.0,1683.0,1661.0,1664.0,1552.0
Eurajoki,1499.0,1536.0,1577.0,1536.0,1545.0,1517.0,1575.0,1642.0,1634.0,1581.0,1626.0,1648.0
Harjavalta,983.0,960.0,999.0,1013.0,957.0,931.0,940.0,921.0,869.0,807.0,830.0,809.0
Huittinen,1190.0,1176.0,1261.0,1207.0,1257.0,1161.0,1184.0,1231.0,1178.0,1175.0,1173.0,1174.0
Jämijärvi,205.0,200.0,197.0,198.0,194.0,172.0,193.0,172.0,167.0,158.0,152.0,171.0
Kankaanpää,1522.0,1535.0,1523.0,1528.0,1514.0,1474.0,1460.0,1475.0,1419.0,1393.0,1388.0,1380.0
Karvia,242.0,217.0,184.0,207.0,227.0,181.0,209.0,207.0,216.0,218.0,217.0,231.0
Kokemäki,907.0,895.0,945.0,849.0,860.0,851.0,808.0,800.0,798.0,771.0,771.0,754.0
Merikarvia,302.0,312.0,309.0,318.0,329.0,318.0,325.0,324.0,311.0,322.0,309.0,329.0
Nakkila,728.0,706.0,727.0,697.0,696.0,700.0,673.0,666.0,647.0,652.0,641.0,635.0
Pomarkku,254.0,246.0,267.0,246.0,254.0,242.0,245.0,249.0,234.0,236.0,243.0,228.0
Pori,11317.0,11332.0,11307.0,11349.0,11483.0,11316.0,11023.0,11053.0,11020.0,10640.0,10520.0,10120.0
Rauma,6739.0,6682.0,6704.0,6800.0,6641.0,6552.0,6264.0,6468.0,6398.0,6307.0,6122.0,6232.0
Siikainen,167.0,155.0,168.0,146.0,154.0,133.0,132.0,138.0,130.0,123.0,119.0,131.0
Säkylä,1013.0,1025.0,1006.0,965.0,995.0,997.0,966.0,976.0,898.0,897.0,878.0,889.0
Ulvila,1948.0,1911.0,1957.0,1860.0,1885.0,1841.0,1831.0,1827.0,1818.0,1768.0,1672.0,1714.0
Forssa,1916.0,1950.0,2022.0,1918.0,1939.0,1927.0,1930.0,1853.0,1790.0,1755.0,1753.0,1755.0
Hattula,1558.0,1564.0,1629.0,1585.0,1644.0,1630.0,1659.0,1612.0,1570.0,1573.0,1547.0,1556.0
Hausjärvi,1442.0,1447.0,1478.0,1436.0,1440.0,1404.0,1415.0,1402.0,1365.0,1332.0,1341.0,1284.0
Humppila,257.0,260.0,288.0,239.0,256.0,236.0,254.0,259.0,248.0,238.0,244.0,235.0
Hämeenlinna,10308.0,10493.0,10510.0,10759.0,10715.0,10521.0,10457.0,10281.0,10125.0,10133.0,10158.0,10244.0
Janakkala,2598.0,2614.0,2624.0,2689.0,2625.0,2668.0,2618.0,2564.0,2476.0,2498.0,2469.0,2524.0
Jokioinen,696.0,699.0,734.0,732.0,762.0,716.0,734.0,712.0,694.0,673.0,666.0,646.0
Loppi,1227.0,1250.0,1283.0,1316.0,1291.0,1251.0,1232.0,1217.0,1206.0,1166.0,1175.0,1163.0
Riihimäki,4597.0,4715.0,4770.0,4773.0,4766.0,4750.0,4717.0,4581.0,4479.0,4501.0,4466.0,4380.0
Tammela,962.0,996.0,1038.0,1014.0,991.0,952.0,964.0,899.0,876.0,868.0,883.0,896.0
Ypäjä,279.0,272.0,318.0,276.0,291.0,270.0,270.0,274.0,292.0,282.0,278.0,283.0
Akaa,2174.0,2256.0,2288.0,2250.0,2260.0,2261.0,2190.0,2219.0,2198.0,2153.0,2119.0,2126.0
Hämeenkyrö,1437.0,1517.0,1510.0,1516.0,1479.0,1517.0,1523.0,1470.0,1405.0,1359.0,1397.0,1414.0
Ikaalinen,844.0,864.0,854.0,800.0,841.0,791.0,819.0,798.0,817.0,782.0,729.0,725.0
Juupajoki,237.0,218.0,247.0,239.0,246.0,238.0,257.0,245.0,237.0,239.0,256.0,271.0
Kangasala,4896.0,5040.0,5127.0,5172.0,5076.0,5126.0,5289.0,5276.0,5339.0,5322.0,5407.0,5546.0
