City,2010_ylioppilastutkinnon_suorittaneet_ko,2011_ylioppilastutkinnon_suorittaneet_ko,2012_ylioppilastutkinnon_suorittaneet_ko,2013_ylioppilastutkinnon_suorittaneet_ko,2014_ylioppilastutkinnon_suorittaneet_ko,2015_ylioppilastutkinnon_suorittaneet_ko,2016_ylioppilastutkinnon_suorittaneet_ko,2017_ylioppilastutkinnon_suorittaneet_ko,2018_ylioppilastutkinnon_suorittaneet_ko,2019_ylioppilastutkinnon_suorittaneet_ko,2020_ylioppilastutkinnon_suorittaneet_ko,2021_ylioppilastutkinnon_suorittaneet_ko
Askola,188.0,168.0,176.0,183.0,194.0,193.0,179.0,177.0,181.0,172.0,156.0,156.0
Espoo,23985.0,24078.0,23955.0,23384.0,23314.0,23195.0,23122.0,22856.0,23180.0,23282.0,22675.0,22743.0
Hanko,394.0,395.0,389.0,391.0,367.0,372.0,364.0,344.0,335.0,323.0,322.0,329.0
Helsinki,69434.0,69447.0,69401.0,67788.0,67334.0,66845.0,65508.0,64092.0,64604.0,63807.0,62978.0,62547.0
Hyvinkää,2276.0,2253.0,2175.0,2173.0,2209.0,2170.0,2115.0,2085.0,2061.0,2029.0,2062.0,2051.0
Inkoo,330.0,328.0,325.0,322.0,336.0,329.0,316.0,309.0,301.0,306.0,287.0,294.0
Järvenpää,2396.0,2411.0,2408.0,2335.0,2298.0,2315.0,2262.0,2280.0,2335.0,2296.0,2312.0,2315.0
Karkkila,322.0,308.0,316.0,300.0,313.0,308.0,305.0,293.0,312.0,293.0,296.0,290.0
Kauniainen,937.0,938.0,952.0,974.0,1028.0,1049.0,972.0,959.0,888.0,885.0,886.0,886.0
Kerava,2153.0,2161.0,2139.0,2134.0,2113.0,2038.0,1998.0,1948.0,2000.0,1953.0,1941.0,1870.0
Kirkkonummi,2231.0,2262.0,2310.0,2295.0,2345.0,2357.0,2428.0,2381.0,2394.0,2390.0,2460.0,2363.0
Lapinjärvi,110.0,96.0,84.0,92.0,87.0,85.0,89.0,83.0,80.0,82.0,76.0,74.0
Lohja,1923.0,1923.0,1877.0,1897.0,1928.0,1923.0,1873.0,1814.0,1819.0,1818.0,1771.0,1729.0
Loviisa,587.0,590.0,603.0,581.0,567.0,563.0,560.0,562.0,577.0,566.0,576.0,550.0
Myrskylä,64.0,62.0,71.0,77.0,80.0,81.0,70.0,67.0,65.0,58.0,60.0,64.0
Mäntsälä,705.0,748.0,797.0,776.0,781.0,751.0,752.0,734.0,745.0,759.0,731.0,716.0
Nurmijärvi,1993.0,2065.0,2020.0,2033.0,2068.0,2094.0,2062.0,2028.0,2116.0,2136.0,2183.0,2206.0
